B_dom	B_cod	A_dom	A_cod	count	probability
dancer	flower	butterfly	beauty	225	0.225
dancer	flower	butterfly	flower	160	0.16
dancer	flower	butterfly	skirt	126	0.126
dancer	flower	butterfly	fly	56	0.056
dancer	flower	butterfly	feather	64	0.064
dancer	flower	butterfly	sky	80	0.08
dancer	flower	butterfly	dance	81	0.081
dancer	flower	butterfly	spin	7	0.007
dancer	flower	NA	NA	201	0.201
dancer	music	butterfly	dance	405	0.405
dancer	music	butterfly	skirt	27	0.027
dancer	music	butterfly	spin	14	0.014
dancer	music	butterfly	flower	91	0.091
dancer	music	butterfly	sky	67	0.067
dancer	music	butterfly	beauty	121	0.121
dancer	music	butterfly	feather	30	0.03
dancer	music	butterfly	fly	44	0.044
dancer	music	NA	NA	201	0.201
music	flower	dance	beauty	180	0.18
music	flower	skirt	flower	9	0.009
music	flower	dance	skirt	75	0.075
music	flower	spin	fly	5	0.005
music	flower	dance	feather	13	0.013
music	flower	dance	flower	90	0.09
music	flower	dance	fly	26	0.026
music	flower	flower	fly	16	0.016
music	flower	dance	sky	18	0.018
music	flower	flower	dance	16	0.016
music	flower	flower	sky	32	0.032
music	flower	sky	flower	22	0.022
music	flower	beauty	skirt	21	0.021
music	flower	feather	flower	4	0.004
music	flower	spin	beauty	4	0.004
music	flower	sky	feather	16	0.016
music	flower	beauty	flower	25	0.025
music	flower	sky	beauty	18	0.018
music	flower	beauty	dance	49	0.049
music	flower	flower	beauty	11	0.011
music	flower	feather	sky	8	0.008
music	flower	fly	skirt	8	0.008
music	flower	skirt	beauty	6	0.006
music	flower	spin	feather	2	0.002
music	flower	feather	dance	1	0.001
music	flower	fly	spin	3	0.003
music	flower	beauty	sky	14	0.014
music	flower	fly	dance	8	0.008
music	flower	skirt	sky	4	0.004
music	flower	fly	flower	9	0.009
music	flower	fly	beauty	3	0.003
music	flower	skirt	feather	6	0.006
music	flower	flower	skirt	7	0.007
music	flower	flower	feather	9	0.009
music	flower	feather	fly	4	0.004
music	flower	beauty	feather	9	0.009
music	flower	spin	dance	2	0.002
music	flower	beauty	spin	1	0.001
music	flower	fly	sky	4	0.004
music	flower	feather	beauty	3	0.003
music	flower	feather	skirt	10	0.01
music	flower	fly	feather	9	0.009
music	flower	sky	fly	3	0.003
music	flower	sky	dance	3	0.003
music	flower	sky	skirt	5	0.005
music	flower	dance	spin	3	0.003
music	flower	beauty	fly	2	0.002
music	flower	skirt	dance	2	0.002
music	flower	spin	flower	1	0.001
music	flower	NA	NA	201	0.201
