B_dom	B_cod	A_dom	A_cod	count	probability
dancer	music	butterfly	flower	74	0.074
dancer	music	butterfly	beauty	101	0.101
dancer	music	butterfly	woman	16	0.016
dancer	music	butterfly	empty	7	0.007
dancer	music	butterfly	dance	92	0.092
dancer	music	butterfly	feather	11	0.011
dancer	music	butterfly	fly	16	0.016
dancer	music	butterfly	sky	31	0.031
dancer	music	NA	NA	652	0.652
dancer	shake	butterfly	empty	115	0.115
dancer	shake	butterfly	dance	90	0.09
dancer	shake	butterfly	beauty	4	0.004
dancer	shake	butterfly	woman	22	0.022
dancer	shake	butterfly	feather	32	0.032
dancer	shake	butterfly	sky	28	0.028
dancer	shake	butterfly	flower	11	0.011
dancer	shake	butterfly	fly	46	0.046
dancer	shake	NA	NA	652	0.652
music	shake	flower	empty	31	0.031
music	shake	beauty	empty	37	0.037
music	shake	woman	dance	6	0.006
music	shake	empty	beauty	1	0.001
music	shake	dance	empty	29	0.029
music	shake	flower	dance	30	0.03
music	shake	feather	empty	3	0.003
music	shake	beauty	woman	3	0.003
music	shake	fly	feather	2	0.002
music	shake	dance	feather	15	0.015
music	shake	fly	sky	1	0.001
music	shake	dance	woman	13	0.013
music	shake	dance	flower	4	0.004
music	shake	dance	fly	15	0.015
music	shake	feather	dance	5	0.005
music	shake	beauty	fly	15	0.015
music	shake	beauty	sky	10	0.01
music	shake	sky	dance	19	0.019
music	shake	beauty	dance	23	0.023
music	shake	woman	empty	3	0.003
music	shake	beauty	feather	10	0.01
music	shake	fly	dance	7	0.007
music	shake	dance	sky	13	0.013
music	shake	sky	empty	8	0.008
music	shake	woman	fly	1	0.001
music	shake	woman	feather	3	0.003
music	shake	sky	feather	2	0.002
music	shake	woman	sky	3	0.003
music	shake	flower	fly	12	0.012
music	shake	beauty	flower	3	0.003
music	shake	fly	woman	2	0.002
music	shake	empty	woman	3	0.003
music	shake	dance	beauty	3	0.003
music	shake	fly	empty	4	0.004
music	shake	flower	woman	1	0.001
music	shake	feather	fly	3	0.003
music	shake	empty	sky	1	0.001
music	shake	empty	flower	2	0.002
music	shake	sky	flower	2	0.002
music	shake	NA	NA	652	0.652
