B_dom	B_cod	A_dom	A_cod	count	probability
music	skirt	beauty	feather	67	0.067
music	skirt	flower	feather	13	0.013
music	skirt	beauty	dance	18	0.018
music	skirt	fly	sky	2	0.002
music	skirt	dance	flower	35	0.035
music	skirt	flower	dance	21	0.021
music	skirt	dance	sky	34	0.034
music	skirt	dance	fly	14	0.014
music	skirt	fly	woman	12	0.012
music	skirt	beauty	empty	10	0.01
music	skirt	feather	dance	3	0.003
music	skirt	feather	beauty	5	0.005
music	skirt	dance	woman	38	0.038
music	skirt	dance	feather	76	0.076
music	skirt	flower	empty	8	0.008
music	skirt	fly	flower	3	0.003
music	skirt	fly	feather	9	0.009
music	skirt	beauty	sky	26	0.026
music	skirt	beauty	flower	7	0.007
music	skirt	sky	flower	10	0.01
music	skirt	sky	woman	19	0.019
music	skirt	woman	feather	8	0.008
music	skirt	fly	dance	3	0.003
music	skirt	dance	beauty	32	0.032
music	skirt	sky	dance	7	0.007
music	skirt	beauty	fly	27	0.027
music	skirt	woman	sky	8	0.008
music	skirt	dance	empty	6	0.006
music	skirt	empty	flower	5	0.005
music	skirt	feather	woman	2	0.002
music	skirt	flower	fly	21	0.021
music	skirt	sky	beauty	7	0.007
music	skirt	flower	woman	4	0.004
music	skirt	woman	beauty	2	0.002
music	skirt	feather	flower	4	0.004
music	skirt	empty	beauty	6	0.006
music	skirt	fly	beauty	7	0.007
music	skirt	woman	flower	3	0.003
music	skirt	beauty	woman	9	0.009
music	skirt	woman	fly	7	0.007
music	skirt	feather	fly	1	0.001
music	skirt	woman	dance	1	0.001
music	skirt	empty	feather	3	0.003
music	skirt	flower	beauty	2	0.002
music	skirt	sky	feather	5	0.005
music	skirt	empty	dance	2	0.002
music	skirt	feather	sky	1	0.001
music	skirt	feather	empty	1	0.001
music	skirt	flower	sky	5	0.005
music	skirt	fly	empty	2	0.002
music	skirt	sky	fly	1	0.001
music	skirt	empty	woman	1	0.001
music	skirt	NA	NA	377	0.377
dancer	skirt	butterfly	feather	181	0.181
dancer	skirt	butterfly	dance	55	0.055
dancer	skirt	butterfly	sky	76	0.076
dancer	skirt	butterfly	flower	67	0.067
dancer	skirt	butterfly	fly	71	0.071
dancer	skirt	butterfly	woman	85	0.085
dancer	skirt	butterfly	empty	27	0.027
dancer	skirt	butterfly	beauty	61	0.061
dancer	skirt	NA	NA	377	0.377
dancer	music	butterfly	beauty	164	0.164
dancer	music	butterfly	flower	74	0.074
dancer	music	butterfly	fly	38	0.038
dancer	music	butterfly	dance	235	0.235
dancer	music	butterfly	feather	17	0.017
dancer	music	butterfly	sky	49	0.049
dancer	music	butterfly	woman	29	0.029
dancer	music	butterfly	empty	17	0.017
dancer	music	NA	NA	377	0.377
