B_dom	B_cod	A_dom	A_cod	count	probability
music	stage	woman	dance	8	0.008
music	stage	sky	woman	3	0.003
music	stage	flower	dance	41	0.041
music	stage	beauty	feather	16	0.016
music	stage	dance	beauty	10	0.01
music	stage	beauty	dance	47	0.047
music	stage	beauty	flower	3	0.003
music	stage	dance	woman	23	0.023
music	stage	dance	fly	14	0.014
music	stage	dance	feather	18	0.018
music	stage	beauty	sky	9	0.009
music	stage	flower	fly	7	0.007
music	stage	dance	flower	19	0.019
music	stage	beauty	empty	6	0.006
music	stage	fly	dance	11	0.011
music	stage	flower	sky	5	0.005
music	stage	fly	feather	4	0.004
music	stage	flower	feather	6	0.006
music	stage	sky	flower	3	0.003
music	stage	woman	flower	2	0.002
music	stage	fly	flower	4	0.004
music	stage	feather	woman	5	0.005
music	stage	sky	beauty	3	0.003
music	stage	empty	dance	3	0.003
music	stage	woman	feather	1	0.001
music	stage	sky	dance	12	0.012
music	stage	beauty	fly	3	0.003
music	stage	flower	beauty	2	0.002
music	stage	dance	empty	6	0.006
music	stage	beauty	woman	6	0.006
music	stage	dance	sky	4	0.004
music	stage	feather	dance	7	0.007
music	stage	sky	feather	3	0.003
music	stage	flower	woman	3	0.003
music	stage	empty	feather	1	0.001
music	stage	feather	flower	3	0.003
music	stage	flower	empty	2	0.002
music	stage	fly	beauty	1	0.001
music	stage	fly	empty	1	0.001
music	stage	empty	sky	1	0.001
music	stage	feather	fly	1	0.001
music	stage	feather	beauty	1	0.001
music	stage	feather	empty	2	0.002
music	stage	NA	NA	670	0.67
dancer	music	butterfly	woman	11	0.011
dancer	music	butterfly	sky	24	0.024
dancer	music	butterfly	flower	66	0.066
dancer	music	butterfly	beauty	90	0.09
dancer	music	butterfly	dance	94	0.094
dancer	music	butterfly	fly	21	0.021
dancer	music	butterfly	feather	19	0.019
dancer	music	butterfly	empty	5	0.005
dancer	music	NA	NA	670	0.67
dancer	stage	butterfly	dance	129	0.129
dancer	stage	butterfly	woman	40	0.04
dancer	stage	butterfly	feather	49	0.049
dancer	stage	butterfly	beauty	17	0.017
dancer	stage	butterfly	flower	34	0.034
dancer	stage	butterfly	fly	25	0.025
dancer	stage	butterfly	sky	19	0.019
dancer	stage	butterfly	empty	17	0.017
dancer	stage	NA	NA	670	0.67
