B_dom	B_cod	A_dom	A_cod	count	probability
dancer	music	butterfly	sky	76	0.076
dancer	music	butterfly	fly	58	0.058
dancer	music	butterfly	beauty	117	0.117
dancer	music	butterfly	dance	393	0.393
dancer	music	butterfly	feather	28	0.028
dancer	music	butterfly	empty	24	0.024
dancer	music	butterfly	flower	69	0.069
dancer	music	butterfly	woman	18	0.018
dancer	music	NA	NA	217	0.217
dancer	woman	butterfly	beauty	96	0.096
dancer	woman	butterfly	flower	163	0.163
dancer	woman	butterfly	woman	363	0.363
dancer	woman	butterfly	sky	42	0.042
dancer	woman	butterfly	dance	33	0.033
dancer	woman	butterfly	feather	59	0.059
dancer	woman	butterfly	empty	17	0.017
dancer	woman	butterfly	fly	10	0.01
dancer	woman	NA	NA	217	0.217
music	woman	sky	beauty	10	0.01
music	woman	fly	flower	16	0.016
music	woman	beauty	flower	14	0.014
music	woman	dance	beauty	67	0.067
music	woman	feather	beauty	5	0.005
music	woman	empty	flower	14	0.014
music	woman	flower	woman	34	0.034
music	woman	feather	flower	6	0.006
music	woman	dance	woman	199	0.199
music	woman	beauty	sky	16	0.016
music	woman	woman	beauty	2	0.002
music	woman	sky	woman	41	0.041
music	woman	beauty	dance	13	0.013
music	woman	beauty	woman	42	0.042
music	woman	fly	woman	25	0.025
music	woman	woman	sky	5	0.005
music	woman	flower	dance	13	0.013
music	woman	sky	feather	1	0.001
music	woman	dance	flower	82	0.082
music	woman	dance	sky	16	0.016
music	woman	empty	woman	6	0.006
music	woman	dance	feather	27	0.027
music	woman	beauty	feather	23	0.023
music	woman	sky	flower	24	0.024
music	woman	woman	flower	7	0.007
music	woman	flower	sky	5	0.005
music	woman	fly	feather	3	0.003
music	woman	feather	woman	16	0.016
music	woman	fly	dance	6	0.006
music	woman	beauty	empty	3	0.003
music	woman	flower	feather	3	0.003
music	woman	fly	beauty	8	0.008
music	woman	flower	empty	14	0.014
music	woman	beauty	fly	6	0.006
music	woman	empty	beauty	4	0.004
music	woman	woman	feather	2	0.002
music	woman	woman	dance	1	0.001
music	woman	feather	fly	1	0.001
music	woman	woman	fly	1	0.001
music	woman	dance	fly	2	0.002
music	woman	NA	NA	217	0.217
