B_dom	B_cod	A_dom	A_cod	count	probability
musician	Hildegard_Behrens	giant_swallowtail	magenta_flowers	5	0.005
musician	Hildegard_Behrens	fritillary	giant_swallowtail	9	0.009
musician	Hildegard_Behrens	orchid	floral	5	0.005
musician	Hildegard_Behrens	magenta_flowers	orchid	3	0.003
musician	Hildegard_Behrens	fritillary	orchid	13	0.013
musician	Hildegard_Behrens	zebra_longwing	dragonfly	8	0.008
musician	Hildegard_Behrens	giant_swallowtail	orchid	10	0.01
musician	Hildegard_Behrens	gulf_fritillary	orchid	9	0.009
musician	Hildegard_Behrens	giant_swallowtail	floral	15	0.015
musician	Hildegard_Behrens	orchid	magenta_flowers	7	0.007
musician	Hildegard_Behrens	gulf_fritillary	floral	4	0.004
musician	Hildegard_Behrens	dragonfly	fritillary	5	0.005
musician	Hildegard_Behrens	orchid	gulf_fritillary	12	0.012
musician	Hildegard_Behrens	zebra_longwing	orchid	8	0.008
musician	Hildegard_Behrens	fritillary	floral	18	0.018
musician	Hildegard_Behrens	orchid	zebra_longwing	7	0.007
musician	Hildegard_Behrens	dragonfly	zebra_longwing	2	0.002
musician	Hildegard_Behrens	dragonfly	magenta_flowers	8	0.008
musician	Hildegard_Behrens	dragonfly	giant_swallowtail	2	0.002
musician	Hildegard_Behrens	orchid	fritillary	14	0.014
musician	Hildegard_Behrens	zebra_longwing	fritillary	4	0.004
musician	Hildegard_Behrens	fritillary	gulf_fritillary	4	0.004
musician	Hildegard_Behrens	orchid	giant_swallowtail	18	0.018
musician	Hildegard_Behrens	giant_swallowtail	zebra_longwing	5	0.005
musician	Hildegard_Behrens	dragonfly	gulf_fritillary	7	0.007
musician	Hildegard_Behrens	floral	giant_swallowtail	10	0.01
musician	Hildegard_Behrens	fritillary	zebra_longwing	3	0.003
musician	Hildegard_Behrens	dragonfly	orchid	11	0.011
musician	Hildegard_Behrens	magenta_flowers	fritillary	3	0.003
musician	Hildegard_Behrens	giant_swallowtail	dragonfly	1	0.001
musician	Hildegard_Behrens	orchid	dragonfly	8	0.008
musician	Hildegard_Behrens	magenta_flowers	gulf_fritillary	1	0.001
musician	Hildegard_Behrens	fritillary	dragonfly	7	0.007
musician	Hildegard_Behrens	zebra_longwing	giant_swallowtail	4	0.004
musician	Hildegard_Behrens	giant_swallowtail	fritillary	6	0.006
musician	Hildegard_Behrens	floral	fritillary	7	0.007
musician	Hildegard_Behrens	zebra_longwing	gulf_fritillary	1	0.001
musician	Hildegard_Behrens	dragonfly	floral	6	0.006
musician	Hildegard_Behrens	zebra_longwing	floral	9	0.009
musician	Hildegard_Behrens	magenta_flowers	dragonfly	2	0.002
musician	Hildegard_Behrens	floral	orchid	6	0.006
musician	Hildegard_Behrens	floral	gulf_fritillary	4	0.004
musician	Hildegard_Behrens	gulf_fritillary	fritillary	1	0.001
musician	Hildegard_Behrens	fritillary	magenta_flowers	1	0.001
musician	Hildegard_Behrens	zebra_longwing	magenta_flowers	4	0.004
musician	Hildegard_Behrens	magenta_flowers	zebra_longwing	1	0.001
musician	Hildegard_Behrens	floral	magenta_flowers	3	0.003
musician	Hildegard_Behrens	gulf_fritillary	magenta_flowers	2	0.002
musician	Hildegard_Behrens	floral	zebra_longwing	3	0.003
musician	Hildegard_Behrens	gulf_fritillary	giant_swallowtail	1	0.001
musician	Hildegard_Behrens	giant_swallowtail	gulf_fritillary	2	0.002
musician	Hildegard_Behrens	gulf_fritillary	zebra_longwing	1	0.001
musician	Hildegard_Behrens	magenta_flowers	floral	1	0.001
musician	Hildegard_Behrens	NA	NA	689	0.689
dancer	Hildegard_Behrens	butterfly	magenta_flowers	30	0.03
dancer	Hildegard_Behrens	butterfly	giant_swallowtail	44	0.044
dancer	Hildegard_Behrens	butterfly	floral	58	0.058
dancer	Hildegard_Behrens	butterfly	orchid	60	0.06
dancer	Hildegard_Behrens	butterfly	dragonfly	26	0.026
dancer	Hildegard_Behrens	butterfly	fritillary	40	0.04
dancer	Hildegard_Behrens	butterfly	gulf_fritillary	31	0.031
dancer	Hildegard_Behrens	butterfly	zebra_longwing	22	0.022
dancer	Hildegard_Behrens	NA	NA	689	0.689
dancer	musician	butterfly	giant_swallowtail	44	0.044
dancer	musician	butterfly	fritillary	55	0.055
dancer	musician	butterfly	orchid	71	0.071
dancer	musician	butterfly	magenta_flowers	11	0.011
dancer	musician	butterfly	zebra_longwing	38	0.038
dancer	musician	butterfly	gulf_fritillary	18	0.018
dancer	musician	butterfly	dragonfly	41	0.041
dancer	musician	butterfly	floral	33	0.033
dancer	musician	NA	NA	689	0.689
