B_dom	B_cod	A_dom	A_cod	count	probability
musician	dance	giant_swallowtail	floral	11	0.011
musician	dance	dragonfly	gulf_fritillary	7	0.007
musician	dance	floral	orchid	5	0.005
musician	dance	zebra_longwing	gulf_fritillary	4	0.004
musician	dance	zebra_longwing	floral	15	0.015
musician	dance	orchid	fritillary	5	0.005
musician	dance	floral	dragonfly	8	0.008
musician	dance	orchid	giant_swallowtail	23	0.023
musician	dance	fritillary	floral	12	0.012
musician	dance	giant_swallowtail	orchid	9	0.009
musician	dance	orchid	zebra_longwing	16	0.016
musician	dance	zebra_longwing	dragonfly	13	0.013
musician	dance	fritillary	dragonfly	10	0.01
musician	dance	magenta_flowers	giant_swallowtail	1	0.001
musician	dance	fritillary	orchid	3	0.003
musician	dance	floral	giant_swallowtail	7	0.007
musician	dance	fritillary	zebra_longwing	4	0.004
musician	dance	orchid	dragonfly	13	0.013
musician	dance	dragonfly	magenta_flowers	2	0.002
musician	dance	dragonfly	floral	10	0.01
musician	dance	orchid	floral	14	0.014
musician	dance	zebra_longwing	orchid	4	0.004
musician	dance	dragonfly	zebra_longwing	8	0.008
musician	dance	fritillary	giant_swallowtail	5	0.005
musician	dance	floral	magenta_flowers	7	0.007
musician	dance	dragonfly	fritillary	1	0.001
musician	dance	dragonfly	giant_swallowtail	9	0.009
musician	dance	zebra_longwing	magenta_flowers	2	0.002
musician	dance	magenta_flowers	gulf_fritillary	4	0.004
musician	dance	gulf_fritillary	orchid	4	0.004
musician	dance	dragonfly	orchid	4	0.004
musician	dance	gulf_fritillary	giant_swallowtail	4	0.004
musician	dance	orchid	magenta_flowers	3	0.003
musician	dance	gulf_fritillary	floral	5	0.005
musician	dance	giant_swallowtail	zebra_longwing	3	0.003
musician	dance	giant_swallowtail	magenta_flowers	1	0.001
musician	dance	zebra_longwing	fritillary	4	0.004
musician	dance	fritillary	magenta_flowers	3	0.003
musician	dance	magenta_flowers	floral	2	0.002
musician	dance	giant_swallowtail	gulf_fritillary	4	0.004
musician	dance	giant_swallowtail	dragonfly	11	0.011
musician	dance	floral	gulf_fritillary	2	0.002
musician	dance	zebra_longwing	giant_swallowtail	6	0.006
musician	dance	orchid	gulf_fritillary	9	0.009
musician	dance	magenta_flowers	orchid	3	0.003
musician	dance	gulf_fritillary	fritillary	1	0.001
musician	dance	gulf_fritillary	dragonfly	2	0.002
musician	dance	floral	fritillary	1	0.001
musician	dance	fritillary	gulf_fritillary	3	0.003
musician	dance	gulf_fritillary	zebra_longwing	4	0.004
musician	dance	floral	zebra_longwing	1	0.001
musician	dance	NA	NA	688	0.688
dancer	musician	butterfly	giant_swallowtail	39	0.039
dancer	musician	butterfly	dragonfly	41	0.041
dancer	musician	butterfly	floral	31	0.031
dancer	musician	butterfly	zebra_longwing	48	0.048
dancer	musician	butterfly	orchid	83	0.083
dancer	musician	butterfly	fritillary	40	0.04
dancer	musician	butterfly	magenta_flowers	10	0.01
dancer	musician	butterfly	gulf_fritillary	20	0.02
dancer	musician	NA	NA	688	0.688
dancer	dance	butterfly	floral	69	0.069
dancer	dance	butterfly	gulf_fritillary	33	0.033
dancer	dance	butterfly	orchid	32	0.032
dancer	dance	butterfly	fritillary	12	0.012
dancer	dance	butterfly	dragonfly	57	0.057
dancer	dance	butterfly	giant_swallowtail	55	0.055
dancer	dance	butterfly	zebra_longwing	36	0.036
dancer	dance	butterfly	magenta_flowers	18	0.018
dancer	dance	NA	NA	688	0.688
