B_dom	B_cod	A_dom	A_cod	count	probability
dancer	musician	butterfly	giant_swallowtail	37	0.037
dancer	musician	butterfly	orchid	89	0.089
dancer	musician	butterfly	floral	24	0.024
dancer	musician	butterfly	magenta_flowers	9	0.009
dancer	musician	butterfly	dragonfly	55	0.055
dancer	musician	butterfly	zebra_longwing	30	0.03
dancer	musician	butterfly	fritillary	47	0.047
dancer	musician	butterfly	gulf_fritillary	17	0.017
dancer	musician	NA	NA	692	0.692
dancer	dancers	butterfly	dragonfly	47	0.047
dancer	dancers	butterfly	magenta_flowers	25	0.025
dancer	dancers	butterfly	orchid	25	0.025
dancer	dancers	butterfly	gulf_fritillary	34	0.034
dancer	dancers	butterfly	zebra_longwing	41	0.041
dancer	dancers	butterfly	giant_swallowtail	64	0.064
dancer	dancers	butterfly	fritillary	16	0.016
dancer	dancers	butterfly	floral	56	0.056
dancer	dancers	NA	NA	692	0.692
musician	dancers	giant_swallowtail	dragonfly	10	0.01
musician	dancers	orchid	magenta_flowers	16	0.016
musician	dancers	giant_swallowtail	orchid	6	0.006
musician	dancers	floral	gulf_fritillary	7	0.007
musician	dancers	orchid	zebra_longwing	13	0.013
musician	dancers	magenta_flowers	zebra_longwing	4	0.004
musician	dancers	orchid	giant_swallowtail	26	0.026
musician	dancers	dragonfly	zebra_longwing	6	0.006
musician	dancers	zebra_longwing	dragonfly	9	0.009
musician	dancers	zebra_longwing	fritillary	1	0.001
musician	dancers	dragonfly	gulf_fritillary	9	0.009
musician	dancers	floral	giant_swallowtail	3	0.003
musician	dancers	fritillary	floral	18	0.018
musician	dancers	magenta_flowers	giant_swallowtail	1	0.001
musician	dancers	dragonfly	orchid	5	0.005
musician	dancers	orchid	floral	9	0.009
musician	dancers	dragonfly	giant_swallowtail	17	0.017
musician	dancers	orchid	fritillary	4	0.004
musician	dancers	giant_swallowtail	floral	11	0.011
musician	dancers	fritillary	giant_swallowtail	8	0.008
musician	dancers	magenta_flowers	dragonfly	3	0.003
musician	dancers	orchid	gulf_fritillary	14	0.014
musician	dancers	fritillary	dragonfly	5	0.005
musician	dancers	floral	dragonfly	7	0.007
musician	dancers	gulf_fritillary	floral	4	0.004
musician	dancers	gulf_fritillary	dragonfly	6	0.006
musician	dancers	zebra_longwing	orchid	7	0.007
musician	dancers	orchid	dragonfly	7	0.007
musician	dancers	zebra_longwing	gulf_fritillary	2	0.002
musician	dancers	fritillary	magenta_flowers	4	0.004
musician	dancers	fritillary	gulf_fritillary	1	0.001
musician	dancers	floral	fritillary	3	0.003
musician	dancers	floral	zebra_longwing	3	0.003
musician	dancers	fritillary	zebra_longwing	7	0.007
musician	dancers	dragonfly	floral	8	0.008
musician	dancers	giant_swallowtail	zebra_longwing	8	0.008
musician	dancers	floral	orchid	1	0.001
musician	dancers	dragonfly	fritillary	7	0.007
musician	dancers	zebra_longwing	floral	5	0.005
musician	dancers	zebra_longwing	giant_swallowtail	4	0.004
musician	dancers	gulf_fritillary	orchid	2	0.002
musician	dancers	gulf_fritillary	giant_swallowtail	5	0.005
musician	dancers	fritillary	orchid	4	0.004
musician	dancers	dragonfly	magenta_flowers	3	0.003
musician	dancers	giant_swallowtail	fritillary	1	0.001
musician	dancers	zebra_longwing	magenta_flowers	2	0.002
musician	dancers	magenta_flowers	floral	1	0.001
musician	dancers	giant_swallowtail	gulf_fritillary	1	0.001
musician	dancers	NA	NA	692	0.692
