B_dom	B_cod	A_dom	A_cod	count	probability
musician	singer	dragonfly	fritillary	5	0.005
musician	singer	giant_swallowtail	orchid	6	0.006
musician	singer	orchid	magenta_flowers	10	0.01
musician	singer	floral	magenta_flowers	6	0.006
musician	singer	dragonfly	floral	1	0.001
musician	singer	fritillary	gulf_fritillary	10	0.01
musician	singer	fritillary	magenta_flowers	11	0.011
musician	singer	giant_swallowtail	fritillary	3	0.003
musician	singer	orchid	floral	3	0.003
musician	singer	magenta_flowers	fritillary	2	0.002
musician	singer	fritillary	zebra_longwing	6	0.006
musician	singer	magenta_flowers	dragonfly	1	0.001
musician	singer	dragonfly	giant_swallowtail	4	0.004
musician	singer	giant_swallowtail	magenta_flowers	2	0.002
musician	singer	zebra_longwing	magenta_flowers	5	0.005
musician	singer	giant_swallowtail	dragonfly	3	0.003
musician	singer	orchid	fritillary	9	0.009
musician	singer	orchid	gulf_fritillary	9	0.009
musician	singer	zebra_longwing	giant_swallowtail	8	0.008
musician	singer	fritillary	orchid	7	0.007
musician	singer	fritillary	giant_swallowtail	3	0.003
musician	singer	orchid	zebra_longwing	6	0.006
musician	singer	magenta_flowers	gulf_fritillary	2	0.002
musician	singer	zebra_longwing	orchid	2	0.002
musician	singer	dragonfly	gulf_fritillary	2	0.002
musician	singer	orchid	giant_swallowtail	6	0.006
musician	singer	magenta_flowers	giant_swallowtail	3	0.003
musician	singer	zebra_longwing	fritillary	4	0.004
musician	singer	floral	orchid	4	0.004
musician	singer	gulf_fritillary	fritillary	1	0.001
musician	singer	dragonfly	magenta_flowers	1	0.001
musician	singer	gulf_fritillary	giant_swallowtail	1	0.001
musician	singer	giant_swallowtail	gulf_fritillary	1	0.001
musician	singer	dragonfly	orchid	7	0.007
musician	singer	floral	dragonfly	1	0.001
musician	singer	gulf_fritillary	magenta_flowers	2	0.002
musician	singer	floral	giant_swallowtail	2	0.002
musician	singer	orchid	dragonfly	3	0.003
musician	singer	giant_swallowtail	zebra_longwing	1	0.001
musician	singer	zebra_longwing	gulf_fritillary	2	0.002
musician	singer	gulf_fritillary	zebra_longwing	2	0.002
musician	singer	gulf_fritillary	orchid	1	0.001
musician	singer	zebra_longwing	floral	1	0.001
musician	singer	floral	gulf_fritillary	1	0.001
musician	singer	floral	zebra_longwing	1	0.001
musician	singer	fritillary	dragonfly	1	0.001
musician	singer	NA	NA	828	0.828
dancer	musician	butterfly	dragonfly	20	0.02
dancer	musician	butterfly	giant_swallowtail	16	0.016
dancer	musician	butterfly	orchid	46	0.046
dancer	musician	butterfly	floral	15	0.015
dancer	musician	butterfly	fritillary	38	0.038
dancer	musician	butterfly	magenta_flowers	8	0.008
dancer	musician	butterfly	zebra_longwing	22	0.022
dancer	musician	butterfly	gulf_fritillary	7	0.007
dancer	musician	NA	NA	828	0.828
dancer	singer	butterfly	fritillary	24	0.024
dancer	singer	butterfly	orchid	27	0.027
dancer	singer	butterfly	magenta_flowers	37	0.037
dancer	singer	butterfly	floral	5	0.005
dancer	singer	butterfly	gulf_fritillary	27	0.027
dancer	singer	butterfly	zebra_longwing	16	0.016
dancer	singer	butterfly	dragonfly	9	0.009
dancer	singer	butterfly	giant_swallowtail	27	0.027
dancer	singer	NA	NA	828	0.828
