B_dom	B_cod	A_dom	A_cod	count	probability
night	shake	dance	empty	26	0.026
night	shake	woman	dance	32	0.032
night	shake	beauty	fly	1	0.001
night	shake	sky	dance	24	0.024
night	shake	empty	sky	14	0.014
night	shake	woman	empty	27	0.027
night	shake	empty	fly	6	0.006
night	shake	sky	flower	5	0.005
night	shake	woman	sky	9	0.009
night	shake	fly	feather	4	0.004
night	shake	sky	woman	5	0.005
night	shake	fly	dance	8	0.008
night	shake	dance	sky	10	0.01
night	shake	fly	sky	4	0.004
night	shake	feather	fly	2	0.002
night	shake	woman	fly	12	0.012
night	shake	sky	empty	19	0.019
night	shake	empty	dance	14	0.014
night	shake	dance	flower	3	0.003
night	shake	empty	feather	3	0.003
night	shake	feather	empty	3	0.003
night	shake	woman	feather	4	0.004
night	shake	sky	feather	5	0.005
night	shake	sky	beauty	2	0.002
night	shake	sky	fly	7	0.007
night	shake	beauty	dance	7	0.007
night	shake	beauty	empty	4	0.004
night	shake	dance	fly	9	0.009
night	shake	empty	flower	2	0.002
night	shake	fly	empty	7	0.007
night	shake	fly	woman	4	0.004
night	shake	flower	dance	3	0.003
night	shake	dance	beauty	1	0.001
night	shake	dance	feather	4	0.004
night	shake	feather	dance	2	0.002
night	shake	feather	sky	1	0.001
night	shake	beauty	feather	1	0.001
night	shake	dance	woman	1	0.001
night	shake	empty	woman	1	0.001
night	shake	beauty	sky	1	0.001
night	shake	NA	NA	703	0.703
dancer	night	butterfly	dance	54	0.054
dancer	night	butterfly	woman	84	0.084
dancer	night	butterfly	beauty	14	0.014
dancer	night	butterfly	sky	67	0.067
dancer	night	butterfly	empty	40	0.04
dancer	night	butterfly	fly	27	0.027
dancer	night	butterfly	feather	8	0.008
dancer	night	butterfly	flower	3	0.003
dancer	night	NA	NA	703	0.703
dancer	shake	butterfly	empty	86	0.086
dancer	shake	butterfly	dance	90	0.09
dancer	shake	butterfly	fly	37	0.037
dancer	shake	butterfly	sky	39	0.039
dancer	shake	butterfly	flower	10	0.01
dancer	shake	butterfly	feather	21	0.021
dancer	shake	butterfly	woman	11	0.011
dancer	shake	butterfly	beauty	3	0.003
dancer	shake	NA	NA	703	0.703
