B_dom	B_cod	A_dom	A_cod	count	probability
night	spin	woman	fly	30	0.03
night	spin	fly	dance	9	0.009
night	spin	empty	sky	1	0.001
night	spin	fly	empty	2	0.002
night	spin	woman	sky	3	0.003
night	spin	woman	dance	27	0.027
night	spin	empty	feather	14	0.014
night	spin	woman	empty	4	0.004
night	spin	empty	dance	36	0.036
night	spin	feather	fly	4	0.004
night	spin	sky	fly	22	0.022
night	spin	empty	fly	18	0.018
night	spin	beauty	feather	3	0.003
night	spin	sky	dance	20	0.02
night	spin	dance	sky	2	0.002
night	spin	dance	feather	23	0.023
night	spin	sky	feather	14	0.014
night	spin	woman	feather	15	0.015
night	spin	flower	feather	1	0.001
night	spin	fly	feather	4	0.004
night	spin	flower	fly	2	0.002
night	spin	dance	empty	6	0.006
night	spin	woman	flower	1	0.001
night	spin	dance	fly	18	0.018
night	spin	flower	dance	2	0.002
night	spin	beauty	fly	3	0.003
night	spin	sky	flower	1	0.001
night	spin	flower	empty	1	0.001
night	spin	empty	flower	2	0.002
night	spin	sky	empty	2	0.002
night	spin	fly	sky	1	0.001
night	spin	feather	dance	3	0.003
night	spin	empty	beauty	1	0.001
night	spin	fly	beauty	1	0.001
night	spin	dance	flower	1	0.001
night	spin	sky	beauty	1	0.001
night	spin	NA	NA	702	0.702
dancer	spin	butterfly	fly	97	0.097
dancer	spin	butterfly	dance	97	0.097
dancer	spin	butterfly	sky	7	0.007
dancer	spin	butterfly	empty	15	0.015
dancer	spin	butterfly	feather	74	0.074
dancer	spin	butterfly	flower	5	0.005
dancer	spin	butterfly	beauty	3	0.003
dancer	spin	NA	NA	702	0.702
dancer	night	butterfly	woman	80	0.08
dancer	night	butterfly	fly	17	0.017
dancer	night	butterfly	empty	72	0.072
dancer	night	butterfly	feather	7	0.007
dancer	night	butterfly	sky	60	0.06
dancer	night	butterfly	beauty	6	0.006
dancer	night	butterfly	dance	50	0.05
dancer	night	butterfly	flower	6	0.006
dancer	night	NA	NA	702	0.702
