B_dom	B_cod	A_dom	A_cod	count	probability
dancer	stage	butterfly	dance	122	0.122
dancer	stage	butterfly	feather	44	0.044
dancer	stage	butterfly	fly	16	0.016
dancer	stage	butterfly	empty	28	0.028
dancer	stage	butterfly	sky	20	0.02
dancer	stage	butterfly	beauty	20	0.02
dancer	stage	butterfly	flower	38	0.038
dancer	stage	butterfly	woman	24	0.024
dancer	stage	NA	NA	688	0.688
dancer	night	butterfly	feather	8	0.008
dancer	night	butterfly	fly	40	0.04
dancer	night	butterfly	flower	6	0.006
dancer	night	butterfly	empty	45	0.045
dancer	night	butterfly	woman	69	0.069
dancer	night	butterfly	sky	83	0.083
dancer	night	butterfly	dance	55	0.055
dancer	night	butterfly	beauty	6	0.006
dancer	night	NA	NA	688	0.688
night	stage	feather	dance	5	0.005
night	stage	fly	feather	9	0.009
night	stage	flower	dance	2	0.002
night	stage	flower	feather	1	0.001
night	stage	empty	fly	2	0.002
night	stage	woman	dance	31	0.031
night	stage	flower	empty	3	0.003
night	stage	sky	empty	8	0.008
night	stage	empty	dance	19	0.019
night	stage	empty	sky	8	0.008
night	stage	dance	feather	7	0.007
night	stage	dance	beauty	10	0.01
night	stage	dance	flower	12	0.012
night	stage	sky	dance	41	0.041
night	stage	fly	dance	19	0.019
night	stage	dance	sky	5	0.005
night	stage	feather	sky	1	0.001
night	stage	woman	empty	8	0.008
night	stage	sky	fly	3	0.003
night	stage	woman	feather	6	0.006
night	stage	sky	feather	13	0.013
night	stage	beauty	dance	5	0.005
night	stage	sky	woman	6	0.006
night	stage	woman	sky	5	0.005
night	stage	sky	flower	11	0.011
night	stage	empty	feather	7	0.007
night	stage	dance	fly	7	0.007
night	stage	fly	flower	4	0.004
night	stage	woman	beauty	6	0.006
night	stage	woman	flower	9	0.009
night	stage	empty	woman	6	0.006
night	stage	dance	empty	5	0.005
night	stage	dance	woman	9	0.009
night	stage	woman	fly	4	0.004
night	stage	fly	woman	2	0.002
night	stage	beauty	feather	1	0.001
night	stage	fly	empty	4	0.004
night	stage	empty	beauty	2	0.002
night	stage	sky	beauty	1	0.001
night	stage	feather	woman	1	0.001
night	stage	feather	flower	1	0.001
night	stage	empty	flower	1	0.001
night	stage	fly	sky	1	0.001
night	stage	fly	beauty	1	0.001
night	stage	NA	NA	688	0.688
