B_dom	B_cod	A_dom	A_cod	count	probability
night	woman	sky	feather	21	0.021
night	woman	empty	flower	16	0.016
night	woman	woman	beauty	30	0.03
night	woman	beauty	sky	1	0.001
night	woman	sky	beauty	36	0.036
night	woman	beauty	woman	15	0.015
night	woman	sky	woman	51	0.051
night	woman	empty	sky	13	0.013
night	woman	sky	flower	41	0.041
night	woman	dance	flower	43	0.043
night	woman	dance	beauty	35	0.035
night	woman	dance	woman	89	0.089
night	woman	empty	woman	63	0.063
night	woman	fly	empty	4	0.004
night	woman	fly	dance	7	0.007
night	woman	dance	fly	2	0.002
night	woman	woman	flower	45	0.045
night	woman	empty	feather	7	0.007
night	woman	empty	beauty	18	0.018
night	woman	feather	woman	14	0.014
night	woman	woman	dance	9	0.009
night	woman	beauty	dance	6	0.006
night	woman	sky	dance	12	0.012
night	woman	woman	feather	5	0.005
night	woman	fly	flower	11	0.011
night	woman	flower	sky	1	0.001
night	woman	dance	feather	7	0.007
night	woman	feather	flower	9	0.009
night	woman	fly	woman	18	0.018
night	woman	feather	beauty	3	0.003
night	woman	fly	beauty	9	0.009
night	woman	fly	feather	6	0.006
night	woman	woman	empty	2	0.002
night	woman	dance	sky	3	0.003
night	woman	empty	fly	4	0.004
night	woman	fly	sky	1	0.001
night	woman	beauty	flower	1	0.001
night	woman	flower	woman	7	0.007
night	woman	flower	feather	1	0.001
night	woman	flower	dance	1	0.001
night	woman	sky	fly	3	0.003
night	woman	feather	dance	1	0.001
night	woman	sky	empty	3	0.003
night	woman	woman	sky	2	0.002
night	woman	woman	fly	1	0.001
night	woman	NA	NA	323	0.323
dancer	night	butterfly	sky	167	0.167
dancer	night	butterfly	empty	121	0.121
dancer	night	butterfly	woman	94	0.094
dancer	night	butterfly	beauty	23	0.023
dancer	night	butterfly	dance	179	0.179
dancer	night	butterfly	fly	56	0.056
dancer	night	butterfly	feather	27	0.027
dancer	night	butterfly	flower	10	0.01
dancer	night	NA	NA	323	0.323
dancer	woman	butterfly	feather	47	0.047
dancer	woman	butterfly	flower	166	0.166
dancer	woman	butterfly	beauty	131	0.131
dancer	woman	butterfly	sky	21	0.021
dancer	woman	butterfly	woman	257	0.257
dancer	woman	butterfly	empty	9	0.009
dancer	woman	butterfly	dance	36	0.036
dancer	woman	butterfly	fly	10	0.01
dancer	woman	NA	NA	323	0.323
