B_dom	B_cod	A_dom	A_cod	count	probability
shake	music	fly	dance	28	0.028
shake	music	sky	flower	4	0.004
shake	music	dance	beauty	29	0.029
shake	music	beauty	dance	3	0.003
shake	music	empty	dance	36	0.036
shake	music	feather	dance	18	0.018
shake	music	dance	flower	24	0.024
shake	music	fly	beauty	23	0.023
shake	music	sky	beauty	19	0.019
shake	music	dance	feather	5	0.005
shake	music	dance	empty	3	0.003
shake	music	empty	flower	25	0.025
shake	music	empty	woman	7	0.007
shake	music	dance	fly	7	0.007
shake	music	empty	fly	9	0.009
shake	music	dance	sky	8	0.008
shake	music	sky	dance	18	0.018
shake	music	empty	beauty	31	0.031
shake	music	flower	fly	1	0.001
shake	music	woman	dance	15	0.015
shake	music	flower	dance	8	0.008
shake	music	fly	feather	3	0.003
shake	music	empty	feather	3	0.003
shake	music	dance	woman	5	0.005
shake	music	woman	flower	2	0.002
shake	music	feather	beauty	10	0.01
shake	music	fly	empty	1	0.001
shake	music	beauty	flower	1	0.001
shake	music	woman	fly	3	0.003
shake	music	fly	flower	7	0.007
shake	music	beauty	sky	1	0.001
shake	music	flower	empty	1	0.001
shake	music	feather	empty	1	0.001
shake	music	woman	beauty	1	0.001
shake	music	feather	sky	1	0.001
shake	music	beauty	feather	1	0.001
shake	music	beauty	woman	1	0.001
shake	music	woman	empty	1	0.001
shake	music	feather	flower	2	0.002
shake	music	woman	sky	2	0.002
shake	music	feather	fly	1	0.001
shake	music	feather	woman	1	0.001
shake	music	sky	woman	1	0.001
shake	music	NA	NA	629	0.629
dancer	shake	butterfly	fly	62	0.062
dancer	shake	butterfly	sky	42	0.042
dancer	shake	butterfly	dance	81	0.081
dancer	shake	butterfly	beauty	7	0.007
dancer	shake	butterfly	empty	111	0.111
dancer	shake	butterfly	feather	34	0.034
dancer	shake	butterfly	flower	10	0.01
dancer	shake	butterfly	woman	24	0.024
dancer	shake	NA	NA	629	0.629
dancer	music	butterfly	dance	126	0.126
dancer	music	butterfly	flower	65	0.065
dancer	music	butterfly	beauty	113	0.113
dancer	music	butterfly	feather	12	0.012
dancer	music	butterfly	empty	7	0.007
dancer	music	butterfly	woman	15	0.015
dancer	music	butterfly	fly	21	0.021
dancer	music	butterfly	sky	12	0.012
dancer	music	NA	NA	629	0.629
