B_dom	B_cod	A_dom	A_cod	count	probability
dancer	shake	butterfly	dance	120	0.12
dancer	shake	butterfly	empty	113	0.113
dancer	shake	butterfly	fly	67	0.067
dancer	shake	butterfly	sky	50	0.05
dancer	shake	butterfly	feather	28	0.028
dancer	shake	butterfly	beauty	7	0.007
dancer	shake	butterfly	woman	12	0.012
dancer	shake	butterfly	flower	12	0.012
dancer	shake	NA	NA	591	0.591
dancer	skirt	butterfly	beauty	46	0.046
dancer	skirt	butterfly	dance	66	0.066
dancer	skirt	butterfly	feather	131	0.131
dancer	skirt	butterfly	flower	29	0.029
dancer	skirt	butterfly	woman	55	0.055
dancer	skirt	butterfly	sky	39	0.039
dancer	skirt	butterfly	fly	38	0.038
dancer	skirt	butterfly	empty	5	0.005
dancer	skirt	NA	NA	591	0.591
shake	skirt	dance	beauty	10	0.01
shake	skirt	empty	dance	16	0.016
shake	skirt	fly	feather	22	0.022
shake	skirt	dance	flower	7	0.007
shake	skirt	fly	woman	10	0.01
shake	skirt	dance	sky	12	0.012
shake	skirt	empty	fly	16	0.016
shake	skirt	fly	dance	23	0.023
shake	skirt	sky	dance	13	0.013
shake	skirt	dance	fly	15	0.015
shake	skirt	fly	beauty	9	0.009
shake	skirt	feather	woman	5	0.005
shake	skirt	empty	sky	17	0.017
shake	skirt	empty	feather	20	0.02
shake	skirt	sky	beauty	7	0.007
shake	skirt	sky	feather	14	0.014
shake	skirt	empty	flower	14	0.014
shake	skirt	dance	woman	10	0.01
shake	skirt	dance	feather	64	0.064
shake	skirt	empty	woman	19	0.019
shake	skirt	empty	beauty	11	0.011
shake	skirt	dance	empty	2	0.002
shake	skirt	beauty	fly	1	0.001
shake	skirt	woman	feather	3	0.003
shake	skirt	sky	flower	4	0.004
shake	skirt	beauty	dance	1	0.001
shake	skirt	feather	beauty	5	0.005
shake	skirt	flower	feather	4	0.004
shake	skirt	flower	sky	4	0.004
shake	skirt	feather	fly	2	0.002
shake	skirt	sky	woman	10	0.01
shake	skirt	feather	sky	4	0.004
shake	skirt	feather	dance	9	0.009
shake	skirt	woman	fly	2	0.002
shake	skirt	sky	empty	1	0.001
shake	skirt	feather	flower	2	0.002
shake	skirt	woman	beauty	2	0.002
shake	skirt	beauty	feather	4	0.004
shake	skirt	woman	dance	4	0.004
shake	skirt	fly	sky	1	0.001
shake	skirt	sky	fly	1	0.001
shake	skirt	flower	fly	1	0.001
shake	skirt	fly	flower	2	0.002
shake	skirt	beauty	sky	1	0.001
shake	skirt	flower	beauty	2	0.002
shake	skirt	woman	empty	1	0.001
shake	skirt	feather	empty	1	0.001
shake	skirt	flower	woman	1	0.001
shake	skirt	NA	NA	591	0.591
