B_dom	B_cod	A_dom	A_cod	count	probability
dancer	shake	butterfly	fly	21	0.021
dancer	shake	butterfly	feather	20	0.02
dancer	shake	butterfly	dance	59	0.059
dancer	shake	butterfly	empty	64	0.064
dancer	shake	butterfly	flower	4	0.004
dancer	shake	butterfly	sky	25	0.025
dancer	shake	butterfly	woman	10	0.01
dancer	shake	butterfly	beauty	2	0.002
dancer	shake	NA	NA	795	0.795
dancer	spin	butterfly	feather	31	0.031
dancer	spin	butterfly	dance	62	0.062
dancer	spin	butterfly	sky	18	0.018
dancer	spin	butterfly	fly	80	0.08
dancer	spin	butterfly	flower	7	0.007
dancer	spin	butterfly	beauty	2	0.002
dancer	spin	butterfly	empty	5	0.005
dancer	spin	NA	NA	795	0.795
shake	spin	fly	feather	7	0.007
shake	spin	feather	dance	13	0.013
shake	spin	dance	sky	5	0.005
shake	spin	dance	fly	36	0.036
shake	spin	empty	dance	24	0.024
shake	spin	feather	fly	5	0.005
shake	spin	feather	sky	2	0.002
shake	spin	empty	fly	25	0.025
shake	spin	flower	fly	1	0.001
shake	spin	empty	feather	7	0.007
shake	spin	sky	dance	9	0.009
shake	spin	dance	flower	4	0.004
shake	spin	dance	feather	10	0.01
shake	spin	sky	fly	11	0.011
shake	spin	sky	feather	4	0.004
shake	spin	empty	sky	6	0.006
shake	spin	woman	fly	2	0.002
shake	spin	fly	dance	7	0.007
shake	spin	fly	beauty	1	0.001
shake	spin	fly	sky	5	0.005
shake	spin	flower	feather	2	0.002
shake	spin	woman	dance	7	0.007
shake	spin	dance	beauty	1	0.001
shake	spin	fly	empty	1	0.001
shake	spin	flower	dance	1	0.001
shake	spin	dance	empty	3	0.003
shake	spin	beauty	dance	1	0.001
shake	spin	sky	flower	1	0.001
shake	spin	woman	empty	1	0.001
shake	spin	empty	flower	2	0.002
shake	spin	beauty	feather	1	0.001
shake	spin	NA	NA	795	0.795
