B_dom	B_cod	A_dom	A_cod	count	probability
dancer	shake	butterfly	empty	72	0.072
dancer	shake	butterfly	sky	21	0.021
dancer	shake	butterfly	fly	31	0.031
dancer	shake	butterfly	dance	44	0.044
dancer	shake	butterfly	flower	5	0.005
dancer	shake	butterfly	woman	5	0.005
dancer	shake	butterfly	beauty	7	0.007
dancer	shake	butterfly	feather	21	0.021
dancer	shake	NA	NA	794	0.794
dancer	stage	butterfly	beauty	6	0.006
dancer	stage	butterfly	dance	81	0.081
dancer	stage	butterfly	woman	23	0.023
dancer	stage	butterfly	flower	30	0.03
dancer	stage	butterfly	feather	22	0.022
dancer	stage	butterfly	fly	16	0.016
dancer	stage	butterfly	sky	15	0.015
dancer	stage	butterfly	empty	13	0.013
dancer	stage	NA	NA	794	0.794
shake	stage	empty	beauty	4	0.004
shake	stage	empty	dance	29	0.029
shake	stage	sky	woman	2	0.002
shake	stage	fly	flower	6	0.006
shake	stage	empty	feather	9	0.009
shake	stage	empty	flower	7	0.007
shake	stage	dance	fly	5	0.005
shake	stage	dance	flower	10	0.01
shake	stage	fly	feather	2	0.002
shake	stage	empty	fly	8	0.008
shake	stage	flower	dance	3	0.003
shake	stage	empty	woman	13	0.013
shake	stage	dance	woman	4	0.004
shake	stage	woman	dance	3	0.003
shake	stage	fly	woman	2	0.002
shake	stage	beauty	dance	6	0.006
shake	stage	woman	flower	1	0.001
shake	stage	dance	sky	8	0.008
shake	stage	fly	dance	18	0.018
shake	stage	flower	sky	1	0.001
shake	stage	feather	dance	10	0.01
shake	stage	sky	fly	1	0.001
shake	stage	sky	dance	12	0.012
shake	stage	woman	sky	1	0.001
shake	stage	feather	empty	4	0.004
shake	stage	feather	fly	1	0.001
shake	stage	sky	flower	3	0.003
shake	stage	feather	flower	3	0.003
shake	stage	dance	feather	9	0.009
shake	stage	fly	sky	3	0.003
shake	stage	sky	feather	2	0.002
shake	stage	dance	empty	7	0.007
shake	stage	feather	woman	2	0.002
shake	stage	feather	beauty	1	0.001
shake	stage	dance	beauty	1	0.001
shake	stage	empty	sky	2	0.002
shake	stage	flower	fly	1	0.001
shake	stage	beauty	empty	1	0.001
shake	stage	sky	empty	1	0.001
shake	stage	NA	NA	794	0.794
