B_dom	B_cod	A_dom	A_cod	count	probability
dancer	shake	butterfly	empty	140	0.14
dancer	shake	butterfly	dance	133	0.133
dancer	shake	butterfly	fly	89	0.089
dancer	shake	butterfly	flower	16	0.016
dancer	shake	butterfly	sky	51	0.051
dancer	shake	butterfly	feather	48	0.048
dancer	shake	butterfly	beauty	6	0.006
dancer	shake	butterfly	woman	8	0.008
dancer	shake	NA	NA	509	0.509
dancer	woman	butterfly	dance	13	0.013
dancer	woman	butterfly	flower	93	0.093
dancer	woman	butterfly	woman	225	0.225
dancer	woman	butterfly	beauty	99	0.099
dancer	woman	butterfly	fly	6	0.006
dancer	woman	butterfly	feather	29	0.029
dancer	woman	butterfly	sky	14	0.014
dancer	woman	butterfly	empty	12	0.012
dancer	woman	NA	NA	509	0.509
shake	woman	empty	dance	10	0.01
shake	woman	dance	flower	35	0.035
shake	woman	dance	woman	48	0.048
shake	woman	empty	beauty	27	0.027
shake	woman	empty	flower	25	0.025
shake	woman	fly	beauty	34	0.034
shake	woman	empty	woman	63	0.063
shake	woman	flower	woman	11	0.011
shake	woman	fly	woman	40	0.04
shake	woman	sky	woman	39	0.039
shake	woman	dance	fly	2	0.002
shake	woman	fly	flower	14	0.014
shake	woman	empty	feather	12	0.012
shake	woman	feather	beauty	20	0.02
shake	woman	feather	woman	20	0.02
shake	woman	beauty	woman	4	0.004
shake	woman	feather	flower	7	0.007
shake	woman	dance	feather	12	0.012
shake	woman	dance	sky	12	0.012
shake	woman	sky	flower	11	0.011
shake	woman	dance	empty	8	0.008
shake	woman	feather	fly	1	0.001
shake	woman	flower	sky	2	0.002
shake	woman	dance	beauty	16	0.016
shake	woman	sky	feather	1	0.001
shake	woman	empty	fly	3	0.003
shake	woman	fly	feather	1	0.001
shake	woman	flower	dance	1	0.001
shake	woman	flower	empty	2	0.002
shake	woman	woman	feather	3	0.003
shake	woman	woman	beauty	2	0.002
shake	woman	beauty	flower	1	0.001
shake	woman	woman	dance	2	0.002
shake	woman	beauty	empty	1	0.001
shake	woman	woman	empty	1	0.001
shake	woman	NA	NA	509	0.509
