B_dom	B_cod	A_dom	A_cod	count	probability
dancer	Hildegard_Behrens	butterfly	zebra_longwing	24	0.024
dancer	Hildegard_Behrens	butterfly	orchid	76	0.076
dancer	Hildegard_Behrens	butterfly	floral	53	0.053
dancer	Hildegard_Behrens	butterfly	dragonfly	57	0.057
dancer	Hildegard_Behrens	butterfly	fritillary	35	0.035
dancer	Hildegard_Behrens	butterfly	magenta_flowers	29	0.029
dancer	Hildegard_Behrens	butterfly	gulf_fritillary	31	0.031
dancer	Hildegard_Behrens	butterfly	giant_swallowtail	43	0.043
dancer	Hildegard_Behrens	NA	NA	652	0.652
dancer	singer	butterfly	orchid	62	0.062
dancer	singer	butterfly	dragonfly	20	0.02
dancer	singer	butterfly	gulf_fritillary	38	0.038
dancer	singer	butterfly	magenta_flowers	61	0.061
dancer	singer	butterfly	fritillary	45	0.045
dancer	singer	butterfly	zebra_longwing	34	0.034
dancer	singer	butterfly	floral	37	0.037
dancer	singer	butterfly	giant_swallowtail	51	0.051
dancer	singer	NA	NA	652	0.652
singer	Hildegard_Behrens	orchid	zebra_longwing	7	0.007
singer	Hildegard_Behrens	dragonfly	orchid	6	0.006
singer	Hildegard_Behrens	gulf_fritillary	floral	6	0.006
singer	Hildegard_Behrens	gulf_fritillary	orchid	17	0.017
singer	Hildegard_Behrens	magenta_flowers	floral	9	0.009
singer	Hildegard_Behrens	fritillary	floral	15	0.015
singer	Hildegard_Behrens	gulf_fritillary	dragonfly	8	0.008
singer	Hildegard_Behrens	magenta_flowers	fritillary	5	0.005
singer	Hildegard_Behrens	magenta_flowers	dragonfly	15	0.015
singer	Hildegard_Behrens	orchid	magenta_flowers	9	0.009
singer	Hildegard_Behrens	zebra_longwing	floral	6	0.006
singer	Hildegard_Behrens	fritillary	dragonfly	8	0.008
singer	Hildegard_Behrens	floral	gulf_fritillary	8	0.008
singer	Hildegard_Behrens	magenta_flowers	giant_swallowtail	9	0.009
singer	Hildegard_Behrens	gulf_fritillary	magenta_flowers	5	0.005
singer	Hildegard_Behrens	floral	giant_swallowtail	10	0.01
singer	Hildegard_Behrens	giant_swallowtail	fritillary	6	0.006
singer	Hildegard_Behrens	orchid	giant_swallowtail	12	0.012
singer	Hildegard_Behrens	fritillary	orchid	9	0.009
singer	Hildegard_Behrens	fritillary	giant_swallowtail	2	0.002
singer	Hildegard_Behrens	giant_swallowtail	gulf_fritillary	3	0.003
singer	Hildegard_Behrens	giant_swallowtail	orchid	15	0.015
singer	Hildegard_Behrens	fritillary	zebra_longwing	3	0.003
singer	Hildegard_Behrens	dragonfly	giant_swallowtail	5	0.005
singer	Hildegard_Behrens	magenta_flowers	orchid	15	0.015
singer	Hildegard_Behrens	magenta_flowers	gulf_fritillary	1	0.001
singer	Hildegard_Behrens	zebra_longwing	orchid	11	0.011
singer	Hildegard_Behrens	giant_swallowtail	dragonfly	9	0.009
singer	Hildegard_Behrens	orchid	fritillary	11	0.011
singer	Hildegard_Behrens	floral	fritillary	10	0.01
singer	Hildegard_Behrens	fritillary	magenta_flowers	6	0.006
singer	Hildegard_Behrens	giant_swallowtail	floral	14	0.014
singer	Hildegard_Behrens	orchid	gulf_fritillary	15	0.015
singer	Hildegard_Behrens	zebra_longwing	giant_swallowtail	4	0.004
singer	Hildegard_Behrens	magenta_flowers	zebra_longwing	7	0.007
singer	Hildegard_Behrens	orchid	dragonfly	6	0.006
singer	Hildegard_Behrens	zebra_longwing	dragonfly	9	0.009
singer	Hildegard_Behrens	floral	magenta_flowers	2	0.002
singer	Hildegard_Behrens	dragonfly	zebra_longwing	3	0.003
singer	Hildegard_Behrens	floral	dragonfly	2	0.002
singer	Hildegard_Behrens	fritillary	gulf_fritillary	2	0.002
singer	Hildegard_Behrens	dragonfly	magenta_flowers	3	0.003
singer	Hildegard_Behrens	zebra_longwing	fritillary	2	0.002
singer	Hildegard_Behrens	dragonfly	floral	1	0.001
singer	Hildegard_Behrens	floral	zebra_longwing	2	0.002
singer	Hildegard_Behrens	orchid	floral	2	0.002
singer	Hildegard_Behrens	floral	orchid	3	0.003
singer	Hildegard_Behrens	dragonfly	gulf_fritillary	2	0.002
singer	Hildegard_Behrens	zebra_longwing	magenta_flowers	2	0.002
singer	Hildegard_Behrens	giant_swallowtail	magenta_flowers	2	0.002
singer	Hildegard_Behrens	gulf_fritillary	giant_swallowtail	1	0.001
singer	Hildegard_Behrens	gulf_fritillary	fritillary	1	0.001
singer	Hildegard_Behrens	giant_swallowtail	zebra_longwing	2	0.002
singer	Hildegard_Behrens	NA	NA	652	0.652
