B_dom	B_cod	A_dom	A_cod	count	probability
dancer	dance	butterfly	zebra_longwing	41	0.041
dancer	dance	butterfly	giant_swallowtail	31	0.031
dancer	dance	butterfly	orchid	46	0.046
dancer	dance	butterfly	dragonfly	49	0.049
dancer	dance	butterfly	magenta_flowers	18	0.018
dancer	dance	butterfly	gulf_fritillary	24	0.024
dancer	dance	butterfly	floral	63	0.063
dancer	dance	butterfly	fritillary	12	0.012
dancer	dance	NA	NA	716	0.716
dancer	singer	butterfly	fritillary	54	0.054
dancer	singer	butterfly	magenta_flowers	41	0.041
dancer	singer	butterfly	gulf_fritillary	37	0.037
dancer	singer	butterfly	zebra_longwing	29	0.029
dancer	singer	butterfly	giant_swallowtail	48	0.048
dancer	singer	butterfly	orchid	30	0.03
dancer	singer	butterfly	floral	32	0.032
dancer	singer	butterfly	dragonfly	13	0.013
dancer	singer	NA	NA	716	0.716
singer	dance	fritillary	zebra_longwing	12	0.012
singer	dance	fritillary	giant_swallowtail	7	0.007
singer	dance	magenta_flowers	orchid	10	0.01
singer	dance	gulf_fritillary	orchid	10	0.01
singer	dance	zebra_longwing	giant_swallowtail	2	0.002
singer	dance	gulf_fritillary	zebra_longwing	2	0.002
singer	dance	giant_swallowtail	dragonfly	12	0.012
singer	dance	fritillary	magenta_flowers	2	0.002
singer	dance	fritillary	dragonfly	6	0.006
singer	dance	orchid	giant_swallowtail	8	0.008
singer	dance	orchid	gulf_fritillary	5	0.005
singer	dance	magenta_flowers	giant_swallowtail	5	0.005
singer	dance	magenta_flowers	zebra_longwing	7	0.007
singer	dance	orchid	magenta_flowers	4	0.004
singer	dance	giant_swallowtail	zebra_longwing	5	0.005
singer	dance	fritillary	orchid	7	0.007
singer	dance	floral	dragonfly	9	0.009
singer	dance	floral	orchid	4	0.004
singer	dance	magenta_flowers	dragonfly	10	0.01
singer	dance	floral	zebra_longwing	7	0.007
singer	dance	gulf_fritillary	floral	9	0.009
singer	dance	fritillary	floral	16	0.016
singer	dance	giant_swallowtail	floral	11	0.011
singer	dance	giant_swallowtail	fritillary	4	0.004
singer	dance	giant_swallowtail	orchid	6	0.006
singer	dance	zebra_longwing	floral	12	0.012
singer	dance	dragonfly	orchid	2	0.002
singer	dance	orchid	zebra_longwing	6	0.006
singer	dance	dragonfly	floral	5	0.005
singer	dance	gulf_fritillary	dragonfly	10	0.01
singer	dance	orchid	floral	4	0.004
singer	dance	magenta_flowers	fritillary	1	0.001
singer	dance	dragonfly	giant_swallowtail	2	0.002
singer	dance	zebra_longwing	orchid	7	0.007
singer	dance	gulf_fritillary	giant_swallowtail	4	0.004
singer	dance	giant_swallowtail	magenta_flowers	7	0.007
singer	dance	dragonfly	magenta_flowers	2	0.002
singer	dance	gulf_fritillary	fritillary	1	0.001
singer	dance	zebra_longwing	magenta_flowers	1	0.001
singer	dance	zebra_longwing	fritillary	3	0.003
singer	dance	dragonfly	zebra_longwing	2	0.002
singer	dance	fritillary	gulf_fritillary	4	0.004
singer	dance	floral	gulf_fritillary	8	0.008
singer	dance	giant_swallowtail	gulf_fritillary	3	0.003
singer	dance	magenta_flowers	gulf_fritillary	2	0.002
singer	dance	zebra_longwing	gulf_fritillary	2	0.002
singer	dance	zebra_longwing	dragonfly	2	0.002
singer	dance	orchid	fritillary	3	0.003
singer	dance	magenta_flowers	floral	6	0.006
singer	dance	floral	giant_swallowtail	3	0.003
singer	dance	floral	magenta_flowers	1	0.001
singer	dance	gulf_fritillary	magenta_flowers	1	0.001
singer	dance	NA	NA	716	0.716
