B_dom	B_cod	A_dom	A_cod	count	probability
dancer	female_impersonator	butterfly	orchid	71	0.071
dancer	female_impersonator	butterfly	zebra_longwing	35	0.035
dancer	female_impersonator	butterfly	dragonfly	93	0.093
dancer	female_impersonator	butterfly	floral	43	0.043
dancer	female_impersonator	butterfly	gulf_fritillary	31	0.031
dancer	female_impersonator	butterfly	giant_swallowtail	35	0.035
dancer	female_impersonator	butterfly	fritillary	24	0.024
dancer	female_impersonator	butterfly	magenta_flowers	16	0.016
dancer	female_impersonator	NA	NA	652	0.652
dancer	singer	butterfly	fritillary	55	0.055
dancer	singer	butterfly	zebra_longwing	49	0.049
dancer	singer	butterfly	magenta_flowers	57	0.057
dancer	singer	butterfly	giant_swallowtail	46	0.046
dancer	singer	butterfly	gulf_fritillary	39	0.039
dancer	singer	butterfly	dragonfly	24	0.024
dancer	singer	butterfly	orchid	56	0.056
dancer	singer	butterfly	floral	22	0.022
dancer	singer	NA	NA	652	0.652
singer	female_impersonator	fritillary	orchid	16	0.016
singer	female_impersonator	zebra_longwing	orchid	13	0.013
singer	female_impersonator	magenta_flowers	zebra_longwing	9	0.009
singer	female_impersonator	giant_swallowtail	dragonfly	19	0.019
singer	female_impersonator	gulf_fritillary	floral	4	0.004
singer	female_impersonator	fritillary	floral	7	0.007
singer	female_impersonator	dragonfly	orchid	5	0.005
singer	female_impersonator	orchid	gulf_fritillary	15	0.015
singer	female_impersonator	gulf_fritillary	orchid	16	0.016
singer	female_impersonator	orchid	dragonfly	13	0.013
singer	female_impersonator	magenta_flowers	dragonfly	21	0.021
singer	female_impersonator	floral	giant_swallowtail	4	0.004
singer	female_impersonator	giant_swallowtail	fritillary	3	0.003
singer	female_impersonator	zebra_longwing	giant_swallowtail	5	0.005
singer	female_impersonator	orchid	giant_swallowtail	5	0.005
singer	female_impersonator	zebra_longwing	dragonfly	13	0.013
singer	female_impersonator	magenta_flowers	giant_swallowtail	7	0.007
singer	female_impersonator	fritillary	dragonfly	13	0.013
singer	female_impersonator	zebra_longwing	floral	14	0.014
singer	female_impersonator	magenta_flowers	orchid	9	0.009
singer	female_impersonator	giant_swallowtail	floral	6	0.006
singer	female_impersonator	fritillary	zebra_longwing	7	0.007
singer	female_impersonator	gulf_fritillary	fritillary	4	0.004
singer	female_impersonator	giant_swallowtail	magenta_flowers	3	0.003
singer	female_impersonator	magenta_flowers	fritillary	2	0.002
singer	female_impersonator	orchid	floral	7	0.007
singer	female_impersonator	gulf_fritillary	zebra_longwing	2	0.002
singer	female_impersonator	giant_swallowtail	orchid	10	0.01
singer	female_impersonator	floral	magenta_flowers	3	0.003
singer	female_impersonator	gulf_fritillary	dragonfly	12	0.012
singer	female_impersonator	orchid	zebra_longwing	8	0.008
singer	female_impersonator	giant_swallowtail	zebra_longwing	3	0.003
singer	female_impersonator	fritillary	giant_swallowtail	8	0.008
singer	female_impersonator	giant_swallowtail	gulf_fritillary	2	0.002
singer	female_impersonator	dragonfly	gulf_fritillary	3	0.003
singer	female_impersonator	dragonfly	magenta_flowers	2	0.002
singer	female_impersonator	dragonfly	zebra_longwing	4	0.004
singer	female_impersonator	magenta_flowers	gulf_fritillary	6	0.006
singer	female_impersonator	magenta_flowers	floral	3	0.003
singer	female_impersonator	orchid	magenta_flowers	3	0.003
singer	female_impersonator	floral	fritillary	5	0.005
singer	female_impersonator	orchid	fritillary	5	0.005
singer	female_impersonator	dragonfly	giant_swallowtail	5	0.005
singer	female_impersonator	fritillary	magenta_flowers	3	0.003
singer	female_impersonator	floral	orchid	2	0.002
singer	female_impersonator	dragonfly	fritillary	3	0.003
singer	female_impersonator	zebra_longwing	fritillary	2	0.002
singer	female_impersonator	floral	gulf_fritillary	4	0.004
singer	female_impersonator	floral	zebra_longwing	2	0.002
singer	female_impersonator	zebra_longwing	magenta_flowers	2	0.002
singer	female_impersonator	dragonfly	floral	2	0.002
singer	female_impersonator	fritillary	gulf_fritillary	1	0.001
singer	female_impersonator	floral	dragonfly	2	0.002
singer	female_impersonator	gulf_fritillary	giant_swallowtail	1	0.001
singer	female_impersonator	NA	NA	652	0.652
