B_dom	B_cod	A_dom	A_cod	count	probability
dancer	musician	butterfly	magenta_flowers	7	0.007
dancer	musician	butterfly	fritillary	19	0.019
dancer	musician	butterfly	giant_swallowtail	25	0.025
dancer	musician	butterfly	floral	12	0.012
dancer	musician	butterfly	dragonfly	24	0.024
dancer	musician	butterfly	orchid	48	0.048
dancer	musician	butterfly	gulf_fritillary	12	0.012
dancer	musician	butterfly	zebra_longwing	23	0.023
dancer	musician	NA	NA	830	0.83
dancer	singer	butterfly	fritillary	33	0.033
dancer	singer	butterfly	gulf_fritillary	24	0.024
dancer	singer	butterfly	zebra_longwing	18	0.018
dancer	singer	butterfly	magenta_flowers	37	0.037
dancer	singer	butterfly	orchid	21	0.021
dancer	singer	butterfly	giant_swallowtail	17	0.017
dancer	singer	butterfly	dragonfly	6	0.006
dancer	singer	butterfly	floral	14	0.014
dancer	singer	NA	NA	830	0.83
singer	musician	fritillary	magenta_flowers	3	0.003
singer	musician	gulf_fritillary	fritillary	2	0.002
singer	musician	zebra_longwing	giant_swallowtail	4	0.004
singer	musician	zebra_longwing	floral	3	0.003
singer	musician	fritillary	dragonfly	3	0.003
singer	musician	fritillary	floral	3	0.003
singer	musician	zebra_longwing	orchid	5	0.005
singer	musician	magenta_flowers	gulf_fritillary	3	0.003
singer	musician	orchid	dragonfly	2	0.002
singer	musician	magenta_flowers	giant_swallowtail	7	0.007
singer	musician	gulf_fritillary	zebra_longwing	4	0.004
singer	musician	gulf_fritillary	giant_swallowtail	3	0.003
singer	musician	zebra_longwing	fritillary	4	0.004
singer	musician	gulf_fritillary	orchid	3	0.003
singer	musician	fritillary	orchid	14	0.014
singer	musician	fritillary	giant_swallowtail	6	0.006
singer	musician	magenta_flowers	orchid	10	0.01
singer	musician	gulf_fritillary	dragonfly	9	0.009
singer	musician	orchid	zebra_longwing	4	0.004
singer	musician	orchid	giant_swallowtail	5	0.005
singer	musician	giant_swallowtail	gulf_fritillary	3	0.003
singer	musician	giant_swallowtail	orchid	5	0.005
singer	musician	giant_swallowtail	zebra_longwing	5	0.005
singer	musician	orchid	fritillary	5	0.005
singer	musician	orchid	gulf_fritillary	2	0.002
singer	musician	dragonfly	orchid	4	0.004
singer	musician	floral	magenta_flowers	1	0.001
singer	musician	magenta_flowers	floral	3	0.003
singer	musician	orchid	magenta_flowers	1	0.001
singer	musician	magenta_flowers	fritillary	5	0.005
singer	musician	magenta_flowers	dragonfly	6	0.006
singer	musician	orchid	floral	2	0.002
singer	musician	floral	gulf_fritillary	3	0.003
singer	musician	floral	orchid	7	0.007
singer	musician	giant_swallowtail	dragonfly	2	0.002
singer	musician	zebra_longwing	gulf_fritillary	1	0.001
singer	musician	magenta_flowers	zebra_longwing	3	0.003
singer	musician	gulf_fritillary	magenta_flowers	2	0.002
singer	musician	giant_swallowtail	fritillary	2	0.002
singer	musician	fritillary	zebra_longwing	4	0.004
singer	musician	floral	fritillary	1	0.001
singer	musician	gulf_fritillary	floral	1	0.001
singer	musician	zebra_longwing	dragonfly	1	0.001
singer	musician	dragonfly	zebra_longwing	2	0.002
singer	musician	floral	dragonfly	1	0.001
singer	musician	floral	zebra_longwing	1	0.001
singer	musician	NA	NA	830	0.83
