B_dom	B_cod	A_dom	A_cod	count	probability
dancer	singers	butterfly	gulf_fritillary	33	0.033
dancer	singers	butterfly	floral	28	0.028
dancer	singers	butterfly	zebra_longwing	39	0.039
dancer	singers	butterfly	dragonfly	9	0.009
dancer	singers	butterfly	orchid	33	0.033
dancer	singers	butterfly	giant_swallowtail	72	0.072
dancer	singers	butterfly	magenta_flowers	29	0.029
dancer	singers	butterfly	fritillary	46	0.046
dancer	singers	NA	NA	711	0.711
dancer	singer	butterfly	fritillary	55	0.055
dancer	singer	butterfly	orchid	47	0.047
dancer	singer	butterfly	zebra_longwing	30	0.03
dancer	singer	butterfly	floral	20	0.02
dancer	singer	butterfly	magenta_flowers	45	0.045
dancer	singer	butterfly	giant_swallowtail	50	0.05
dancer	singer	butterfly	dragonfly	15	0.015
dancer	singer	butterfly	gulf_fritillary	27	0.027
dancer	singer	NA	NA	711	0.711
singer	singers	fritillary	gulf_fritillary	7	0.007
singer	singers	orchid	floral	10	0.01
singer	singers	zebra_longwing	gulf_fritillary	7	0.007
singer	singers	orchid	zebra_longwing	9	0.009
singer	singers	floral	dragonfly	1	0.001
singer	singers	magenta_flowers	gulf_fritillary	5	0.005
singer	singers	magenta_flowers	orchid	5	0.005
singer	singers	magenta_flowers	giant_swallowtail	19	0.019
singer	singers	giant_swallowtail	orchid	6	0.006
singer	singers	giant_swallowtail	magenta_flowers	9	0.009
singer	singers	fritillary	giant_swallowtail	20	0.02
singer	singers	fritillary	zebra_longwing	7	0.007
singer	singers	floral	orchid	4	0.004
singer	singers	giant_swallowtail	gulf_fritillary	7	0.007
singer	singers	dragonfly	giant_swallowtail	4	0.004
singer	singers	zebra_longwing	giant_swallowtail	10	0.01
singer	singers	giant_swallowtail	fritillary	12	0.012
singer	singers	giant_swallowtail	zebra_longwing	13	0.013
singer	singers	gulf_fritillary	orchid	3	0.003
singer	singers	floral	magenta_flowers	7	0.007
singer	singers	magenta_flowers	floral	4	0.004
singer	singers	gulf_fritillary	giant_swallowtail	11	0.011
singer	singers	orchid	giant_swallowtail	6	0.006
singer	singers	dragonfly	fritillary	5	0.005
singer	singers	fritillary	orchid	8	0.008
singer	singers	orchid	dragonfly	3	0.003
singer	singers	magenta_flowers	fritillary	7	0.007
singer	singers	fritillary	dragonfly	3	0.003
singer	singers	gulf_fritillary	magenta_flowers	3	0.003
singer	singers	orchid	gulf_fritillary	4	0.004
singer	singers	orchid	magenta_flowers	1	0.001
singer	singers	orchid	fritillary	14	0.014
singer	singers	magenta_flowers	zebra_longwing	5	0.005
singer	singers	gulf_fritillary	zebra_longwing	2	0.002
singer	singers	gulf_fritillary	fritillary	2	0.002
singer	singers	zebra_longwing	fritillary	4	0.004
singer	singers	gulf_fritillary	floral	5	0.005
singer	singers	zebra_longwing	magenta_flowers	3	0.003
singer	singers	fritillary	magenta_flowers	5	0.005
singer	singers	fritillary	floral	5	0.005
singer	singers	floral	gulf_fritillary	1	0.001
singer	singers	dragonfly	orchid	3	0.003
singer	singers	zebra_longwing	dragonfly	1	0.001
singer	singers	floral	giant_swallowtail	2	0.002
singer	singers	zebra_longwing	orchid	4	0.004
singer	singers	giant_swallowtail	floral	3	0.003
singer	singers	floral	zebra_longwing	3	0.003
singer	singers	dragonfly	gulf_fritillary	2	0.002
singer	singers	floral	fritillary	2	0.002
singer	singers	zebra_longwing	floral	1	0.001
singer	singers	dragonfly	magenta_flowers	1	0.001
singer	singers	gulf_fritillary	dragonfly	1	0.001
singer	singers	NA	NA	711	0.711
