B_dom	B_cod	A_dom	A_cod	count	probability
dancer	singers	butterfly	zebra_longwing	66	0.066
dancer	singers	butterfly	fritillary	46	0.046
dancer	singers	butterfly	floral	86	0.086
dancer	singers	butterfly	giant_swallowtail	108	0.108
dancer	singers	butterfly	dragonfly	17	0.017
dancer	singers	butterfly	magenta_flowers	31	0.031
dancer	singers	butterfly	orchid	80	0.08
dancer	singers	butterfly	gulf_fritillary	31	0.031
dancer	singers	NA	NA	535	0.535
dancer	classically_trained_dancer	butterfly	dragonfly	89	0.089
dancer	classically_trained_dancer	butterfly	floral	57	0.057
dancer	classically_trained_dancer	butterfly	gulf_fritillary	69	0.069
dancer	classically_trained_dancer	butterfly	fritillary	18	0.018
dancer	classically_trained_dancer	butterfly	orchid	64	0.064
dancer	classically_trained_dancer	butterfly	zebra_longwing	78	0.078
dancer	classically_trained_dancer	butterfly	magenta_flowers	34	0.034
dancer	classically_trained_dancer	butterfly	giant_swallowtail	56	0.056
dancer	classically_trained_dancer	NA	NA	535	0.535
singers	classically_trained_dancer	zebra_longwing	dragonfly	25	0.025
singers	classically_trained_dancer	fritillary	floral	12	0.012
singers	classically_trained_dancer	floral	gulf_fritillary	20	0.02
singers	classically_trained_dancer	giant_swallowtail	fritillary	4	0.004
singers	classically_trained_dancer	dragonfly	gulf_fritillary	1	0.001
singers	classically_trained_dancer	magenta_flowers	gulf_fritillary	4	0.004
singers	classically_trained_dancer	giant_swallowtail	gulf_fritillary	15	0.015
singers	classically_trained_dancer	dragonfly	orchid	3	0.003
singers	classically_trained_dancer	floral	orchid	5	0.005
singers	classically_trained_dancer	floral	zebra_longwing	21	0.021
singers	classically_trained_dancer	fritillary	zebra_longwing	5	0.005
singers	classically_trained_dancer	floral	dragonfly	13	0.013
singers	classically_trained_dancer	orchid	magenta_flowers	9	0.009
singers	classically_trained_dancer	giant_swallowtail	dragonfly	30	0.03
singers	classically_trained_dancer	orchid	zebra_longwing	26	0.026
singers	classically_trained_dancer	orchid	giant_swallowtail	12	0.012
singers	classically_trained_dancer	orchid	gulf_fritillary	24	0.024
singers	classically_trained_dancer	zebra_longwing	gulf_fritillary	4	0.004
singers	classically_trained_dancer	magenta_flowers	orchid	5	0.005
singers	classically_trained_dancer	magenta_flowers	dragonfly	5	0.005
singers	classically_trained_dancer	fritillary	magenta_flowers	4	0.004
singers	classically_trained_dancer	zebra_longwing	giant_swallowtail	8	0.008
singers	classically_trained_dancer	magenta_flowers	fritillary	3	0.003
singers	classically_trained_dancer	fritillary	orchid	10	0.01
singers	classically_trained_dancer	giant_swallowtail	orchid	18	0.018
singers	classically_trained_dancer	zebra_longwing	magenta_flowers	6	0.006
singers	classically_trained_dancer	zebra_longwing	orchid	14	0.014
singers	classically_trained_dancer	floral	fritillary	7	0.007
singers	classically_trained_dancer	giant_swallowtail	magenta_flowers	6	0.006
singers	classically_trained_dancer	gulf_fritillary	zebra_longwing	2	0.002
singers	classically_trained_dancer	zebra_longwing	floral	7	0.007
singers	classically_trained_dancer	fritillary	giant_swallowtail	7	0.007
singers	classically_trained_dancer	fritillary	dragonfly	7	0.007
singers	classically_trained_dancer	gulf_fritillary	floral	8	0.008
singers	classically_trained_dancer	magenta_flowers	giant_swallowtail	5	0.005
singers	classically_trained_dancer	dragonfly	magenta_flowers	2	0.002
singers	classically_trained_dancer	zebra_longwing	fritillary	2	0.002
singers	classically_trained_dancer	giant_swallowtail	zebra_longwing	13	0.013
singers	classically_trained_dancer	giant_swallowtail	floral	22	0.022
singers	classically_trained_dancer	dragonfly	floral	3	0.003
singers	classically_trained_dancer	magenta_flowers	zebra_longwing	7	0.007
singers	classically_trained_dancer	orchid	dragonfly	5	0.005
singers	classically_trained_dancer	gulf_fritillary	magenta_flowers	4	0.004
singers	classically_trained_dancer	floral	giant_swallowtail	17	0.017
singers	classically_trained_dancer	magenta_flowers	floral	2	0.002
singers	classically_trained_dancer	gulf_fritillary	orchid	9	0.009
singers	classically_trained_dancer	gulf_fritillary	giant_swallowtail	4	0.004
singers	classically_trained_dancer	dragonfly	fritillary	1	0.001
singers	classically_trained_dancer	floral	magenta_flowers	3	0.003
singers	classically_trained_dancer	orchid	floral	3	0.003
singers	classically_trained_dancer	gulf_fritillary	dragonfly	4	0.004
singers	classically_trained_dancer	dragonfly	zebra_longwing	4	0.004
singers	classically_trained_dancer	dragonfly	giant_swallowtail	3	0.003
singers	classically_trained_dancer	fritillary	gulf_fritillary	1	0.001
singers	classically_trained_dancer	orchid	fritillary	1	0.001
singers	classically_trained_dancer	NA	NA	535	0.535
