B_dom	B_cod	A_dom	A_cod	count	probability
dancer	singers	butterfly	floral	67	0.067
dancer	singers	butterfly	giant_swallowtail	82	0.082
dancer	singers	butterfly	magenta_flowers	57	0.057
dancer	singers	butterfly	orchid	78	0.078
dancer	singers	butterfly	zebra_longwing	60	0.06
dancer	singers	butterfly	dragonfly	23	0.023
dancer	singers	butterfly	gulf_fritillary	47	0.047
dancer	singers	butterfly	fritillary	68	0.068
dancer	singers	NA	NA	518	0.518
dancer	dance	butterfly	giant_swallowtail	56	0.056
dancer	dance	butterfly	orchid	80	0.08
dancer	dance	butterfly	zebra_longwing	74	0.074
dancer	dance	butterfly	floral	100	0.1
dancer	dance	butterfly	fritillary	23	0.023
dancer	dance	butterfly	dragonfly	72	0.072
dancer	dance	butterfly	gulf_fritillary	48	0.048
dancer	dance	butterfly	magenta_flowers	29	0.029
dancer	dance	NA	NA	518	0.518
singers	dance	floral	giant_swallowtail	12	0.012
singers	dance	giant_swallowtail	orchid	25	0.025
singers	dance	giant_swallowtail	zebra_longwing	12	0.012
singers	dance	magenta_flowers	orchid	10	0.01
singers	dance	orchid	floral	12	0.012
singers	dance	zebra_longwing	giant_swallowtail	12	0.012
singers	dance	giant_swallowtail	fritillary	5	0.005
singers	dance	zebra_longwing	dragonfly	19	0.019
singers	dance	dragonfly	zebra_longwing	7	0.007
singers	dance	gulf_fritillary	dragonfly	5	0.005
singers	dance	giant_swallowtail	floral	22	0.022
singers	dance	zebra_longwing	floral	13	0.013
singers	dance	orchid	giant_swallowtail	15	0.015
singers	dance	gulf_fritillary	floral	18	0.018
singers	dance	floral	orchid	5	0.005
singers	dance	fritillary	floral	20	0.02
singers	dance	magenta_flowers	dragonfly	12	0.012
singers	dance	orchid	zebra_longwing	12	0.012
singers	dance	gulf_fritillary	orchid	19	0.019
singers	dance	orchid	dragonfly	6	0.006
singers	dance	giant_swallowtail	dragonfly	14	0.014
singers	dance	floral	gulf_fritillary	14	0.014
singers	dance	fritillary	dragonfly	11	0.011
singers	dance	floral	zebra_longwing	23	0.023
singers	dance	orchid	gulf_fritillary	19	0.019
singers	dance	orchid	magenta_flowers	9	0.009
singers	dance	magenta_flowers	floral	12	0.012
singers	dance	zebra_longwing	magenta_flowers	5	0.005
singers	dance	magenta_flowers	zebra_longwing	7	0.007
singers	dance	fritillary	zebra_longwing	10	0.01
singers	dance	fritillary	orchid	10	0.01
singers	dance	fritillary	gulf_fritillary	3	0.003
singers	dance	dragonfly	giant_swallowtail	2	0.002
singers	dance	dragonfly	magenta_flowers	3	0.003
singers	dance	gulf_fritillary	zebra_longwing	3	0.003
singers	dance	gulf_fritillary	magenta_flowers	2	0.002
singers	dance	floral	magenta_flowers	6	0.006
singers	dance	fritillary	magenta_flowers	3	0.003
singers	dance	fritillary	giant_swallowtail	11	0.011
singers	dance	floral	dragonfly	5	0.005
singers	dance	zebra_longwing	gulf_fritillary	3	0.003
singers	dance	dragonfly	orchid	5	0.005
singers	dance	magenta_flowers	gulf_fritillary	6	0.006
singers	dance	magenta_flowers	fritillary	6	0.006
singers	dance	dragonfly	fritillary	3	0.003
singers	dance	zebra_longwing	orchid	6	0.006
singers	dance	giant_swallowtail	magenta_flowers	1	0.001
singers	dance	magenta_flowers	giant_swallowtail	4	0.004
singers	dance	orchid	fritillary	5	0.005
singers	dance	dragonfly	floral	3	0.003
singers	dance	giant_swallowtail	gulf_fritillary	3	0.003
singers	dance	zebra_longwing	fritillary	2	0.002
singers	dance	floral	fritillary	2	0.002
singers	dance	NA	NA	518	0.518
