B_dom	B_cod	A_dom	A_cod	count	probability
dancer	singers	butterfly	magenta_flowers	42	0.042
dancer	singers	butterfly	orchid	30	0.03
dancer	singers	butterfly	gulf_fritillary	31	0.031
dancer	singers	butterfly	fritillary	52	0.052
dancer	singers	butterfly	giant_swallowtail	55	0.055
dancer	singers	butterfly	zebra_longwing	30	0.03
dancer	singers	butterfly	floral	34	0.034
dancer	singers	butterfly	dragonfly	3	0.003
dancer	singers	NA	NA	723	0.723
dancer	musician	butterfly	floral	13	0.013
dancer	musician	butterfly	giant_swallowtail	28	0.028
dancer	musician	butterfly	dragonfly	56	0.056
dancer	musician	butterfly	zebra_longwing	41	0.041
dancer	musician	butterfly	orchid	79	0.079
dancer	musician	butterfly	fritillary	39	0.039
dancer	musician	butterfly	magenta_flowers	5	0.005
dancer	musician	butterfly	gulf_fritillary	16	0.016
dancer	musician	NA	NA	723	0.723
singers	musician	magenta_flowers	floral	4	0.004
singers	musician	orchid	giant_swallowtail	6	0.006
singers	musician	magenta_flowers	giant_swallowtail	6	0.006
singers	musician	gulf_fritillary	giant_swallowtail	4	0.004
singers	musician	fritillary	dragonfly	18	0.018
singers	musician	magenta_flowers	zebra_longwing	10	0.01
singers	musician	giant_swallowtail	orchid	13	0.013
singers	musician	gulf_fritillary	orchid	11	0.011
singers	musician	gulf_fritillary	zebra_longwing	3	0.003
singers	musician	giant_swallowtail	dragonfly	11	0.011
singers	musician	gulf_fritillary	dragonfly	5	0.005
singers	musician	fritillary	orchid	26	0.026
singers	musician	giant_swallowtail	zebra_longwing	11	0.011
singers	musician	orchid	fritillary	10	0.01
singers	musician	magenta_flowers	fritillary	6	0.006
singers	musician	zebra_longwing	fritillary	2	0.002
singers	musician	orchid	zebra_longwing	4	0.004
singers	musician	magenta_flowers	orchid	9	0.009
singers	musician	floral	fritillary	6	0.006
singers	musician	floral	dragonfly	2	0.002
singers	musician	zebra_longwing	orchid	12	0.012
singers	musician	fritillary	giant_swallowtail	4	0.004
singers	musician	giant_swallowtail	fritillary	9	0.009
singers	musician	giant_swallowtail	magenta_flowers	2	0.002
singers	musician	floral	zebra_longwing	9	0.009
singers	musician	floral	giant_swallowtail	6	0.006
singers	musician	orchid	gulf_fritillary	3	0.003
singers	musician	zebra_longwing	gulf_fritillary	2	0.002
singers	musician	floral	gulf_fritillary	3	0.003
singers	musician	orchid	dragonfly	5	0.005
singers	musician	magenta_flowers	gulf_fritillary	2	0.002
singers	musician	gulf_fritillary	fritillary	6	0.006
singers	musician	floral	orchid	7	0.007
singers	musician	dragonfly	orchid	1	0.001
singers	musician	giant_swallowtail	floral	4	0.004
singers	musician	giant_swallowtail	gulf_fritillary	5	0.005
singers	musician	zebra_longwing	dragonfly	10	0.01
singers	musician	gulf_fritillary	floral	2	0.002
singers	musician	fritillary	zebra_longwing	2	0.002
singers	musician	orchid	floral	1	0.001
singers	musician	zebra_longwing	giant_swallowtail	2	0.002
singers	musician	magenta_flowers	dragonfly	5	0.005
singers	musician	fritillary	gulf_fritillary	1	0.001
singers	musician	floral	magenta_flowers	1	0.001
singers	musician	dragonfly	zebra_longwing	2	0.002
singers	musician	zebra_longwing	magenta_flowers	1	0.001
singers	musician	zebra_longwing	floral	1	0.001
singers	musician	orchid	magenta_flowers	1	0.001
singers	musician	fritillary	floral	1	0.001
singers	musician	NA	NA	723	0.723
