B_dom	B_cod	A_dom	A_cod	count	probability
dancer	beauty	butterfly	fly	50	0.05
dancer	beauty	butterfly	beauty	881	0.881
dancer	beauty	butterfly	skirt	27	0.027
dancer	beauty	butterfly	feather	24	0.024
dancer	beauty	butterfly	dance	18	0.018
dancer	beauty	NA	NA	0	0.0
dancer	skirt	butterfly	feather	14	0.014
dancer	skirt	butterfly	skirt	909	0.909
dancer	skirt	butterfly	beauty	25	0.025
dancer	skirt	butterfly	fly	44	0.044
dancer	skirt	butterfly	dance	8	0.008
dancer	skirt	NA	NA	0	0.0
skirt	beauty	feather	fly	14	0.014
skirt	beauty	skirt	beauty	881	0.881
skirt	beauty	beauty	skirt	14	0.014
skirt	beauty	skirt	fly	28	0.028
skirt	beauty	fly	feather	13	0.013
skirt	beauty	beauty	feather	11	0.011
skirt	beauty	fly	skirt	13	0.013
skirt	beauty	fly	dance	18	0.018
skirt	beauty	dance	fly	8	0.008
skirt	beauty	NA	NA	0	0.0
