B_dom	B_cod	A_dom	A_cod	count	probability
dancer	dance	butterfly	feather	107	0.107
dancer	dance	butterfly	dance	537	0.537
dancer	dance	butterfly	flower	192	0.192
dancer	dance	butterfly	fly	105	0.105
dancer	dance	butterfly	sky	22	0.022
dancer	dance	butterfly	spin	15	0.015
dancer	dance	butterfly	beauty	22	0.022
dancer	dance	NA	NA	0	0.0
dancer	skirt	butterfly	sky	44	0.044
dancer	skirt	butterfly	skirt	614	0.614
dancer	skirt	butterfly	dance	67	0.067
dancer	skirt	butterfly	feather	104	0.104
dancer	skirt	butterfly	spin	12	0.012
dancer	skirt	butterfly	fly	90	0.09
dancer	skirt	butterfly	beauty	69	0.069
dancer	skirt	NA	NA	0	0.0
skirt	dance	sky	feather	16	0.016
skirt	dance	skirt	dance	421	0.421
skirt	dance	dance	flower	27	0.027
skirt	dance	feather	fly	36	0.036
skirt	dance	spin	fly	12	0.012
skirt	dance	skirt	flower	80	0.08
skirt	dance	fly	dance	47	0.047
skirt	dance	skirt	feather	78	0.078
skirt	dance	feather	flower	46	0.046
skirt	dance	fly	flower	15	0.015
skirt	dance	feather	sky	22	0.022
skirt	dance	fly	spin	15	0.015
skirt	dance	sky	flower	24	0.024
skirt	dance	dance	beauty	22	0.022
skirt	dance	fly	feather	13	0.013
skirt	dance	beauty	dance	69	0.069
skirt	dance	skirt	fly	35	0.035
skirt	dance	dance	fly	18	0.018
skirt	dance	sky	fly	4	0.004
skirt	dance	NA	NA	0	0.0
