B_dom	B_cod	A_dom	A_cod	count	probability
dancer	skirt	butterfly	dance	94	0.094
dancer	skirt	butterfly	fly	59	0.059
dancer	skirt	butterfly	skirt	620	0.62
dancer	skirt	butterfly	feather	120	0.12
dancer	skirt	butterfly	beauty	38	0.038
dancer	skirt	butterfly	sky	53	0.053
dancer	skirt	butterfly	flower	12	0.012
dancer	skirt	butterfly	spin	4	0.004
dancer	skirt	NA	NA	0	0.0
dancer	flower	butterfly	beauty	200	0.2
dancer	flower	butterfly	dance	137	0.137
dancer	flower	butterfly	sky	96	0.096
dancer	flower	butterfly	skirt	137	0.137
dancer	flower	butterfly	fly	68	0.068
dancer	flower	butterfly	flower	222	0.222
dancer	flower	butterfly	feather	138	0.138
dancer	flower	butterfly	spin	2	0.002
dancer	flower	NA	NA	0	0.0
skirt	flower	dance	beauty	67	0.067
skirt	flower	fly	dance	16	0.016
skirt	flower	skirt	sky	31	0.031
skirt	flower	feather	skirt	73	0.073
skirt	flower	skirt	dance	101	0.101
skirt	flower	skirt	beauty	112	0.112
skirt	flower	feather	fly	18	0.018
skirt	flower	skirt	flower	222	0.222
skirt	flower	feather	sky	29	0.029
skirt	flower	skirt	feather	138	0.138
skirt	flower	beauty	sky	6	0.006
skirt	flower	beauty	skirt	12	0.012
skirt	flower	fly	sky	30	0.03
skirt	flower	skirt	fly	15	0.015
skirt	flower	beauty	dance	20	0.02
skirt	flower	sky	skirt	5	0.005
skirt	flower	sky	fly	27	0.027
skirt	flower	dance	fly	6	0.006
skirt	flower	dance	skirt	20	0.02
skirt	flower	sky	beauty	21	0.021
skirt	flower	flower	skirt	12	0.012
skirt	flower	spin	skirt	2	0.002
skirt	flower	fly	skirt	13	0.013
skirt	flower	spin	fly	2	0.002
skirt	flower	dance	spin	1	0.001
skirt	flower	skirt	spin	1	0.001
skirt	flower	NA	NA	0	0.0
