B_dom	B_cod	A_dom	A_cod	count	probability
skirt	music	beauty	dance	17	0.017
skirt	music	feather	flower	12	0.012
skirt	music	feather	dance	65	0.065
skirt	music	spin	sky	10	0.01
skirt	music	skirt	dance	89	0.089
skirt	music	skirt	fly	40	0.04
skirt	music	skirt	sky	28	0.028
skirt	music	feather	beauty	79	0.079
skirt	music	skirt	beauty	156	0.156
skirt	music	skirt	spin	32	0.032
skirt	music	spin	feather	2	0.002
skirt	music	fly	flower	17	0.017
skirt	music	beauty	fly	6	0.006
skirt	music	beauty	sky	10	0.01
skirt	music	dance	skirt	1	0.001
skirt	music	sky	dance	23	0.023
skirt	music	spin	skirt	2	0.002
skirt	music	fly	beauty	31	0.031
skirt	music	feather	spin	9	0.009
skirt	music	dance	flower	13	0.013
skirt	music	fly	feather	6	0.006
skirt	music	spin	beauty	12	0.012
skirt	music	fly	dance	19	0.019
skirt	music	sky	flower	3	0.003
skirt	music	spin	dance	16	0.016
skirt	music	beauty	spin	7	0.007
skirt	music	skirt	flower	15	0.015
skirt	music	fly	skirt	7	0.007
skirt	music	feather	skirt	1	0.001
skirt	music	dance	sky	10	0.01
skirt	music	spin	flower	7	0.007
skirt	music	beauty	feather	4	0.004
skirt	music	sky	skirt	2	0.002
skirt	music	skirt	feather	2	0.002
skirt	music	sky	spin	7	0.007
skirt	music	dance	feather	3	0.003
skirt	music	beauty	skirt	5	0.005
skirt	music	sky	feather	1	0.001
skirt	music	NA	NA	231	0.231
dancer	music	butterfly	dance	229	0.229
dancer	music	butterfly	flower	67	0.067
dancer	music	butterfly	sky	58	0.058
dancer	music	butterfly	fly	46	0.046
dancer	music	butterfly	beauty	278	0.278
dancer	music	butterfly	spin	55	0.055
dancer	music	butterfly	feather	18	0.018
dancer	music	butterfly	skirt	18	0.018
dancer	music	NA	NA	231	0.231
dancer	skirt	butterfly	beauty	49	0.049
dancer	skirt	butterfly	feather	166	0.166
dancer	skirt	butterfly	spin	49	0.049
dancer	skirt	butterfly	skirt	362	0.362
dancer	skirt	butterfly	fly	80	0.08
dancer	skirt	butterfly	dance	27	0.027
dancer	skirt	butterfly	sky	36	0.036
dancer	skirt	NA	NA	231	0.231
