B_dom	B_cod	A_dom	A_cod	count	probability
skirt	night	feather	sky	18	0.018
skirt	night	woman	sky	35	0.035
skirt	night	dance	fly	8	0.008
skirt	night	flower	sky	16	0.016
skirt	night	beauty	fly	15	0.015
skirt	night	feather	empty	52	0.052
skirt	night	flower	dance	8	0.008
skirt	night	feather	dance	37	0.037
skirt	night	beauty	sky	12	0.012
skirt	night	beauty	empty	32	0.032
skirt	night	woman	dance	8	0.008
skirt	night	sky	fly	2	0.002
skirt	night	flower	empty	14	0.014
skirt	night	beauty	dance	11	0.011
skirt	night	woman	empty	21	0.021
skirt	night	dance	sky	16	0.016
skirt	night	dance	woman	19	0.019
skirt	night	feather	fly	5	0.005
skirt	night	flower	woman	6	0.006
skirt	night	woman	fly	11	0.011
skirt	night	fly	woman	23	0.023
skirt	night	beauty	feather	6	0.006
skirt	night	feather	woman	46	0.046
skirt	night	sky	flower	2	0.002
skirt	night	fly	empty	13	0.013
skirt	night	woman	feather	3	0.003
skirt	night	fly	dance	10	0.01
skirt	night	sky	woman	14	0.014
skirt	night	fly	sky	5	0.005
skirt	night	beauty	flower	1	0.001
skirt	night	sky	feather	5	0.005
skirt	night	sky	empty	2	0.002
skirt	night	empty	dance	7	0.007
skirt	night	flower	fly	4	0.004
skirt	night	sky	dance	13	0.013
skirt	night	beauty	woman	6	0.006
skirt	night	fly	flower	2	0.002
skirt	night	flower	feather	2	0.002
skirt	night	feather	beauty	4	0.004
skirt	night	feather	flower	1	0.001
skirt	night	empty	sky	4	0.004
skirt	night	dance	empty	12	0.012
skirt	night	dance	feather	1	0.001
skirt	night	empty	flower	2	0.002
skirt	night	empty	woman	3	0.003
skirt	night	fly	beauty	2	0.002
skirt	night	dance	beauty	2	0.002
skirt	night	sky	beauty	1	0.001
skirt	night	dance	flower	1	0.001
skirt	night	NA	NA	457	0.457
dancer	night	butterfly	sky	106	0.106
dancer	night	butterfly	fly	45	0.045
dancer	night	butterfly	empty	146	0.146
dancer	night	butterfly	dance	94	0.094
dancer	night	butterfly	woman	117	0.117
dancer	night	butterfly	feather	17	0.017
dancer	night	butterfly	flower	9	0.009
dancer	night	butterfly	beauty	9	0.009
dancer	night	NA	NA	457	0.457
dancer	skirt	butterfly	feather	163	0.163
dancer	skirt	butterfly	woman	78	0.078
dancer	skirt	butterfly	dance	59	0.059
dancer	skirt	butterfly	flower	50	0.05
dancer	skirt	butterfly	beauty	83	0.083
dancer	skirt	butterfly	sky	39	0.039
dancer	skirt	butterfly	fly	55	0.055
dancer	skirt	butterfly	empty	16	0.016
dancer	skirt	NA	NA	457	0.457
