B_dom	B_cod	A_dom	A_cod	count	probability
skirt	shake	feather	beauty	2	0.002
skirt	shake	flower	dance	17	0.017
skirt	shake	beauty	feather	8	0.008
skirt	shake	feather	sky	4	0.004
skirt	shake	beauty	fly	13	0.013
skirt	shake	feather	dance	37	0.037
skirt	shake	feather	empty	21	0.021
skirt	shake	fly	empty	22	0.022
skirt	shake	flower	empty	5	0.005
skirt	shake	dance	fly	7	0.007
skirt	shake	feather	flower	7	0.007
skirt	shake	feather	woman	13	0.013
skirt	shake	dance	sky	11	0.011
skirt	shake	beauty	sky	12	0.012
skirt	shake	sky	flower	3	0.003
skirt	shake	woman	dance	14	0.014
skirt	shake	flower	feather	9	0.009
skirt	shake	sky	dance	9	0.009
skirt	shake	woman	empty	15	0.015
skirt	shake	woman	feather	6	0.006
skirt	shake	fly	dance	14	0.014
skirt	shake	feather	fly	16	0.016
skirt	shake	empty	dance	4	0.004
skirt	shake	woman	sky	4	0.004
skirt	shake	beauty	empty	14	0.014
skirt	shake	flower	fly	8	0.008
skirt	shake	empty	fly	3	0.003
skirt	shake	empty	sky	1	0.001
skirt	shake	sky	feather	4	0.004
skirt	shake	sky	fly	4	0.004
skirt	shake	dance	empty	8	0.008
skirt	shake	dance	feather	9	0.009
skirt	shake	flower	sky	6	0.006
skirt	shake	sky	empty	17	0.017
skirt	shake	dance	woman	7	0.007
skirt	shake	beauty	dance	12	0.012
skirt	shake	woman	fly	2	0.002
skirt	shake	fly	flower	3	0.003
skirt	shake	sky	woman	1	0.001
skirt	shake	fly	sky	2	0.002
skirt	shake	beauty	woman	2	0.002
skirt	shake	dance	flower	1	0.001
skirt	shake	fly	feather	5	0.005
skirt	shake	empty	feather	1	0.001
skirt	shake	flower	woman	1	0.001
skirt	shake	dance	beauty	2	0.002
skirt	shake	NA	NA	614	0.614
dancer	shake	butterfly	beauty	4	0.004
dancer	shake	butterfly	dance	107	0.107
dancer	shake	butterfly	feather	42	0.042
dancer	shake	butterfly	sky	40	0.04
dancer	shake	butterfly	fly	53	0.053
dancer	shake	butterfly	empty	102	0.102
dancer	shake	butterfly	flower	14	0.014
dancer	shake	butterfly	woman	24	0.024
dancer	shake	NA	NA	614	0.614
dancer	skirt	butterfly	feather	100	0.1
dancer	skirt	butterfly	flower	46	0.046
dancer	skirt	butterfly	beauty	61	0.061
dancer	skirt	butterfly	fly	46	0.046
dancer	skirt	butterfly	dance	45	0.045
dancer	skirt	butterfly	sky	38	0.038
dancer	skirt	butterfly	woman	41	0.041
dancer	skirt	butterfly	empty	9	0.009
dancer	skirt	NA	NA	614	0.614
