B_dom	B_cod	A_dom	A_cod	count	probability
skirt	spin	feather	fly	45	0.045
skirt	spin	flower	dance	19	0.019
skirt	spin	sky	feather	7	0.007
skirt	spin	woman	fly	10	0.01
skirt	spin	fly	dance	14	0.014
skirt	spin	feather	dance	41	0.041
skirt	spin	dance	feather	16	0.016
skirt	spin	woman	feather	11	0.011
skirt	spin	beauty	fly	24	0.024
skirt	spin	flower	feather	9	0.009
skirt	spin	dance	flower	3	0.003
skirt	spin	flower	fly	21	0.021
skirt	spin	dance	fly	22	0.022
skirt	spin	beauty	dance	12	0.012
skirt	spin	beauty	sky	7	0.007
skirt	spin	feather	sky	4	0.004
skirt	spin	empty	fly	6	0.006
skirt	spin	sky	dance	17	0.017
skirt	spin	feather	beauty	3	0.003
skirt	spin	beauty	feather	7	0.007
skirt	spin	feather	empty	5	0.005
skirt	spin	feather	flower	7	0.007
skirt	spin	woman	dance	18	0.018
skirt	spin	fly	feather	9	0.009
skirt	spin	dance	sky	9	0.009
skirt	spin	woman	sky	6	0.006
skirt	spin	dance	empty	1	0.001
skirt	spin	beauty	empty	3	0.003
skirt	spin	flower	sky	1	0.001
skirt	spin	woman	flower	3	0.003
skirt	spin	sky	empty	1	0.001
skirt	spin	empty	dance	2	0.002
skirt	spin	sky	fly	3	0.003
skirt	spin	flower	beauty	1	0.001
skirt	spin	flower	empty	1	0.001
skirt	spin	fly	empty	2	0.002
skirt	spin	fly	sky	1	0.001
skirt	spin	woman	empty	1	0.001
skirt	spin	empty	sky	2	0.002
skirt	spin	woman	beauty	1	0.001
skirt	spin	NA	NA	625	0.625
dancer	spin	butterfly	fly	131	0.131
dancer	spin	butterfly	dance	123	0.123
dancer	spin	butterfly	feather	59	0.059
dancer	spin	butterfly	flower	13	0.013
dancer	spin	butterfly	sky	30	0.03
dancer	spin	butterfly	beauty	5	0.005
dancer	spin	butterfly	empty	14	0.014
dancer	spin	NA	NA	625	0.625
dancer	skirt	butterfly	feather	105	0.105
dancer	skirt	butterfly	flower	52	0.052
dancer	skirt	butterfly	sky	28	0.028
dancer	skirt	butterfly	woman	50	0.05
dancer	skirt	butterfly	fly	26	0.026
dancer	skirt	butterfly	dance	51	0.051
dancer	skirt	butterfly	beauty	53	0.053
dancer	skirt	butterfly	empty	10	0.01
dancer	skirt	NA	NA	625	0.625
