B_dom	B_cod	A_dom	A_cod	count	probability
skirt	stage	woman	feather	17	0.017
skirt	stage	sky	woman	7	0.007
skirt	stage	sky	beauty	3	0.003
skirt	stage	woman	dance	8	0.008
skirt	stage	feather	dance	53	0.053
skirt	stage	flower	empty	3	0.003
skirt	stage	feather	woman	14	0.014
skirt	stage	flower	dance	25	0.025
skirt	stage	feather	fly	2	0.002
skirt	stage	flower	feather	8	0.008
skirt	stage	fly	beauty	3	0.003
skirt	stage	feather	flower	10	0.01
skirt	stage	dance	feather	8	0.008
skirt	stage	woman	flower	7	0.007
skirt	stage	beauty	dance	6	0.006
skirt	stage	beauty	woman	3	0.003
skirt	stage	feather	empty	8	0.008
skirt	stage	woman	sky	10	0.01
skirt	stage	fly	woman	11	0.011
skirt	stage	beauty	feather	12	0.012
skirt	stage	dance	fly	3	0.003
skirt	stage	fly	feather	3	0.003
skirt	stage	beauty	sky	6	0.006
skirt	stage	dance	sky	3	0.003
skirt	stage	dance	flower	4	0.004
skirt	stage	fly	flower	9	0.009
skirt	stage	dance	empty	4	0.004
skirt	stage	fly	dance	11	0.011
skirt	stage	flower	sky	4	0.004
skirt	stage	fly	empty	7	0.007
skirt	stage	woman	fly	5	0.005
skirt	stage	flower	woman	4	0.004
skirt	stage	empty	dance	5	0.005
skirt	stage	sky	dance	16	0.016
skirt	stage	sky	feather	3	0.003
skirt	stage	empty	fly	1	0.001
skirt	stage	beauty	flower	4	0.004
skirt	stage	dance	beauty	5	0.005
skirt	stage	sky	flower	3	0.003
skirt	stage	beauty	fly	3	0.003
skirt	stage	sky	fly	1	0.001
skirt	stage	feather	beauty	3	0.003
skirt	stage	woman	empty	4	0.004
skirt	stage	beauty	empty	6	0.006
skirt	stage	empty	flower	2	0.002
skirt	stage	sky	empty	1	0.001
skirt	stage	empty	feather	1	0.001
skirt	stage	flower	fly	1	0.001
skirt	stage	dance	woman	2	0.002
skirt	stage	feather	sky	4	0.004
skirt	stage	empty	woman	1	0.001
skirt	stage	fly	sky	1	0.001
skirt	stage	NA	NA	652	0.652
dancer	stage	butterfly	feather	52	0.052
dancer	stage	butterfly	woman	42	0.042
dancer	stage	butterfly	beauty	14	0.014
dancer	stage	butterfly	dance	124	0.124
dancer	stage	butterfly	empty	33	0.033
dancer	stage	butterfly	fly	16	0.016
dancer	stage	butterfly	flower	39	0.039
dancer	stage	butterfly	sky	28	0.028
dancer	stage	NA	NA	652	0.652
dancer	skirt	butterfly	woman	51	0.051
dancer	skirt	butterfly	sky	34	0.034
dancer	skirt	butterfly	feather	94	0.094
dancer	skirt	butterfly	flower	45	0.045
dancer	skirt	butterfly	fly	45	0.045
dancer	skirt	butterfly	dance	29	0.029
dancer	skirt	butterfly	beauty	40	0.04
dancer	skirt	butterfly	empty	10	0.01
dancer	skirt	NA	NA	652	0.652
