B_dom	B_cod	A_dom	A_cod	count	probability
skirt	woman	dance	flower	23	0.023
skirt	woman	woman	flower	43	0.043
skirt	woman	fly	woman	21	0.021
skirt	woman	flower	woman	82	0.082
skirt	woman	beauty	dance	16	0.016
skirt	woman	dance	beauty	36	0.036
skirt	woman	beauty	woman	79	0.079
skirt	woman	feather	beauty	23	0.023
skirt	woman	dance	woman	87	0.087
skirt	woman	dance	feather	7	0.007
skirt	woman	feather	dance	14	0.014
skirt	woman	dance	sky	5	0.005
skirt	woman	woman	beauty	31	0.031
skirt	woman	fly	dance	9	0.009
skirt	woman	sky	woman	18	0.018
skirt	woman	feather	woman	79	0.079
skirt	woman	flower	feather	11	0.011
skirt	woman	feather	flower	67	0.067
skirt	woman	sky	flower	13	0.013
skirt	woman	beauty	feather	8	0.008
skirt	woman	sky	feather	10	0.01
skirt	woman	sky	beauty	12	0.012
skirt	woman	fly	flower	13	0.013
skirt	woman	sky	empty	5	0.005
skirt	woman	feather	sky	19	0.019
skirt	woman	fly	beauty	6	0.006
skirt	woman	empty	woman	8	0.008
skirt	woman	woman	feather	2	0.002
skirt	woman	fly	feather	4	0.004
skirt	woman	beauty	flower	10	0.01
skirt	woman	feather	fly	3	0.003
skirt	woman	woman	empty	3	0.003
skirt	woman	dance	fly	1	0.001
skirt	woman	woman	dance	4	0.004
skirt	woman	empty	beauty	1	0.001
skirt	woman	empty	flower	2	0.002
skirt	woman	sky	dance	5	0.005
skirt	woman	fly	sky	3	0.003
skirt	woman	woman	sky	3	0.003
skirt	woman	empty	sky	2	0.002
skirt	woman	NA	NA	212	0.212
dancer	woman	butterfly	flower	171	0.171
dancer	woman	butterfly	woman	374	0.374
dancer	woman	butterfly	dance	48	0.048
dancer	woman	butterfly	beauty	109	0.109
dancer	woman	butterfly	feather	42	0.042
dancer	woman	butterfly	sky	32	0.032
dancer	woman	butterfly	empty	8	0.008
dancer	woman	butterfly	fly	4	0.004
dancer	woman	NA	NA	212	0.212
dancer	skirt	butterfly	dance	159	0.159
dancer	skirt	butterfly	woman	86	0.086
dancer	skirt	butterfly	fly	56	0.056
dancer	skirt	butterfly	flower	93	0.093
dancer	skirt	butterfly	beauty	113	0.113
dancer	skirt	butterfly	feather	205	0.205
dancer	skirt	butterfly	sky	63	0.063
dancer	skirt	butterfly	empty	13	0.013
dancer	skirt	NA	NA	212	0.212
