B_dom	B_cod	A_dom	A_cod	count	probability
dancer	spin	butterfly	dance	93	0.093
dancer	spin	butterfly	fly	109	0.109
dancer	spin	butterfly	sky	24	0.024
dancer	spin	butterfly	flower	10	0.01
dancer	spin	butterfly	feather	58	0.058
dancer	spin	butterfly	beauty	6	0.006
dancer	spin	butterfly	empty	12	0.012
dancer	spin	NA	NA	688	0.688
dancer	music	butterfly	flower	58	0.058
dancer	music	butterfly	woman	12	0.012
dancer	music	butterfly	fly	22	0.022
dancer	music	butterfly	dance	92	0.092
dancer	music	butterfly	beauty	93	0.093
dancer	music	butterfly	sky	22	0.022
dancer	music	butterfly	empty	5	0.005
dancer	music	butterfly	feather	8	0.008
dancer	music	NA	NA	688	0.688
spin	music	dance	flower	29	0.029
spin	music	fly	woman	2	0.002
spin	music	sky	fly	2	0.002
spin	music	fly	dance	39	0.039
spin	music	flower	dance	7	0.007
spin	music	dance	beauty	29	0.029
spin	music	fly	beauty	41	0.041
spin	music	sky	dance	9	0.009
spin	music	dance	sky	14	0.014
spin	music	feather	beauty	14	0.014
spin	music	sky	beauty	8	0.008
spin	music	feather	dance	30	0.03
spin	music	beauty	dance	5	0.005
spin	music	sky	woman	3	0.003
spin	music	feather	woman	5	0.005
spin	music	feather	empty	2	0.002
spin	music	fly	flower	20	0.02
spin	music	dance	fly	16	0.016
spin	music	fly	empty	2	0.002
spin	music	feather	sky	3	0.003
spin	music	fly	feather	3	0.003
spin	music	empty	flower	6	0.006
spin	music	empty	fly	2	0.002
spin	music	flower	sky	2	0.002
spin	music	empty	dance	2	0.002
spin	music	feather	flower	2	0.002
spin	music	dance	feather	3	0.003
spin	music	beauty	sky	1	0.001
spin	music	sky	flower	1	0.001
spin	music	fly	sky	2	0.002
spin	music	dance	empty	1	0.001
spin	music	empty	feather	1	0.001
spin	music	flower	woman	1	0.001
spin	music	empty	beauty	1	0.001
spin	music	sky	feather	1	0.001
spin	music	dance	woman	1	0.001
spin	music	feather	fly	2	0.002
spin	music	NA	NA	688	0.688
