B_dom	B_cod	A_dom	A_cod	count	probability
spin	stage	feather	fly	4	0.004
spin	stage	fly	dance	38	0.038
spin	stage	dance	feather	10	0.01
spin	stage	dance	sky	5	0.005
spin	stage	fly	empty	4	0.004
spin	stage	fly	feather	4	0.004
spin	stage	feather	dance	14	0.014
spin	stage	sky	dance	11	0.011
spin	stage	empty	dance	3	0.003
spin	stage	feather	woman	7	0.007
spin	stage	dance	fly	4	0.004
spin	stage	dance	woman	14	0.014
spin	stage	beauty	fly	1	0.001
spin	stage	fly	sky	5	0.005
spin	stage	dance	flower	11	0.011
spin	stage	fly	beauty	3	0.003
spin	stage	dance	empty	8	0.008
spin	stage	empty	woman	2	0.002
spin	stage	feather	beauty	1	0.001
spin	stage	flower	feather	1	0.001
spin	stage	beauty	flower	1	0.001
spin	stage	fly	woman	8	0.008
spin	stage	sky	feather	3	0.003
spin	stage	sky	empty	1	0.001
spin	stage	feather	flower	3	0.003
spin	stage	empty	sky	2	0.002
spin	stage	dance	beauty	4	0.004
spin	stage	sky	woman	2	0.002
spin	stage	beauty	empty	1	0.001
spin	stage	beauty	woman	1	0.001
spin	stage	flower	dance	2	0.002
spin	stage	empty	flower	1	0.001
spin	stage	fly	flower	3	0.003
spin	stage	flower	empty	1	0.001
spin	stage	sky	beauty	2	0.002
spin	stage	flower	sky	1	0.001
spin	stage	flower	fly	1	0.001
spin	stage	NA	NA	813	0.813
dancer	spin	butterfly	feather	29	0.029
dancer	spin	butterfly	fly	65	0.065
dancer	spin	butterfly	dance	56	0.056
dancer	spin	butterfly	sky	19	0.019
dancer	spin	butterfly	empty	8	0.008
dancer	spin	butterfly	beauty	4	0.004
dancer	spin	butterfly	flower	6	0.006
dancer	spin	NA	NA	813	0.813
dancer	stage	butterfly	fly	10	0.01
dancer	stage	butterfly	dance	68	0.068
dancer	stage	butterfly	feather	18	0.018
dancer	stage	butterfly	sky	13	0.013
dancer	stage	butterfly	empty	15	0.015
dancer	stage	butterfly	woman	34	0.034
dancer	stage	butterfly	flower	19	0.019
dancer	stage	butterfly	beauty	10	0.01
dancer	stage	NA	NA	813	0.813
