B_dom	B_cod	A_dom	A_cod	count	probability
dancer	woman	butterfly	woman	222	0.222
dancer	woman	butterfly	beauty	87	0.087
dancer	woman	butterfly	flower	86	0.086
dancer	woman	butterfly	sky	18	0.018
dancer	woman	butterfly	feather	24	0.024
dancer	woman	butterfly	dance	3	0.003
dancer	woman	butterfly	empty	11	0.011
dancer	woman	butterfly	fly	2	0.002
dancer	woman	NA	NA	547	0.547
dancer	spin	butterfly	feather	71	0.071
dancer	spin	butterfly	dance	149	0.149
dancer	spin	butterfly	sky	36	0.036
dancer	spin	butterfly	fly	159	0.159
dancer	spin	butterfly	empty	28	0.028
dancer	spin	butterfly	flower	8	0.008
dancer	spin	butterfly	beauty	2	0.002
dancer	spin	NA	NA	547	0.547
spin	woman	feather	woman	33	0.033
spin	woman	dance	beauty	23	0.023
spin	woman	sky	flower	10	0.01
spin	woman	fly	beauty	40	0.04
spin	woman	fly	woman	97	0.097
spin	woman	dance	sky	16	0.016
spin	woman	dance	woman	50	0.05
spin	woman	fly	flower	17	0.017
spin	woman	dance	flower	37	0.037
spin	woman	sky	woman	26	0.026
spin	woman	dance	feather	16	0.016
spin	woman	feather	beauty	18	0.018
spin	woman	fly	feather	5	0.005
spin	woman	empty	woman	12	0.012
spin	woman	empty	flower	7	0.007
spin	woman	empty	dance	2	0.002
spin	woman	feather	empty	5	0.005
spin	woman	empty	beauty	6	0.006
spin	woman	flower	woman	3	0.003
spin	woman	feather	flower	15	0.015
spin	woman	empty	feather	1	0.001
spin	woman	dance	empty	5	0.005
spin	woman	flower	sky	2	0.002
spin	woman	dance	fly	2	0.002
spin	woman	flower	feather	1	0.001
spin	woman	flower	empty	1	0.001
spin	woman	beauty	woman	1	0.001
spin	woman	flower	dance	1	0.001
spin	woman	beauty	feather	1	0.001
spin	woman	NA	NA	547	0.547
