B_dom	B_cod	A_dom	A_cod	count	probability
dancer	dance	butterfly	dance	202	0.202
dancer	dance	butterfly	beauty	33	0.033
dancer	dance	butterfly	feather	53	0.053
dancer	dance	butterfly	flower	82	0.082
dancer	dance	butterfly	skirt	34	0.034
dancer	dance	butterfly	fly	41	0.041
dancer	dance	butterfly	sky	18	0.018
dancer	dance	butterfly	spin	13	0.013
dancer	dance	NA	NA	524	0.524
dancer	stage	butterfly	spin	108	0.108
dancer	stage	butterfly	sky	22	0.022
dancer	stage	butterfly	dance	133	0.133
dancer	stage	butterfly	beauty	22	0.022
dancer	stage	butterfly	feather	57	0.057
dancer	stage	butterfly	flower	49	0.049
dancer	stage	butterfly	skirt	53	0.053
dancer	stage	butterfly	fly	32	0.032
dancer	stage	NA	NA	524	0.524
stage	dance	spin	dance	76	0.076
stage	dance	sky	dance	7	0.007
stage	dance	dance	beauty	26	0.026
stage	dance	beauty	dance	14	0.014
stage	dance	feather	dance	28	0.028
stage	dance	flower	dance	29	0.029
stage	dance	skirt	feather	8	0.008
stage	dance	fly	dance	14	0.014
stage	dance	flower	feather	10	0.01
stage	dance	beauty	flower	7	0.007
stage	dance	feather	skirt	4	0.004
stage	dance	spin	feather	10	0.01
stage	dance	dance	feather	16	0.016
stage	dance	dance	skirt	26	0.026
stage	dance	feather	flower	10	0.01
stage	dance	spin	fly	10	0.01
stage	dance	sky	feather	3	0.003
stage	dance	dance	fly	18	0.018
stage	dance	dance	flower	31	0.031
stage	dance	skirt	dance	34	0.034
stage	dance	feather	fly	7	0.007
stage	dance	fly	feather	5	0.005
stage	dance	dance	sky	7	0.007
stage	dance	dance	spin	9	0.009
stage	dance	flower	sky	7	0.007
stage	dance	sky	beauty	3	0.003
stage	dance	fly	flower	9	0.009
stage	dance	sky	skirt	4	0.004
stage	dance	fly	spin	4	0.004
stage	dance	skirt	flower	10	0.01
stage	dance	spin	flower	12	0.012
stage	dance	feather	sky	4	0.004
stage	dance	skirt	fly	1	0.001
stage	dance	feather	beauty	4	0.004
stage	dance	sky	flower	3	0.003
stage	dance	flower	fly	3	0.003
stage	dance	beauty	feather	1	0.001
stage	dance	sky	fly	2	0.002
stage	dance	NA	NA	524	0.524
