B_dom	B_cod	A_dom	A_cod	count	probability
stage	feather	spin	feather	51	0.051
stage	feather	spin	skirt	34	0.034
stage	feather	feather	dance	11	0.011
stage	feather	skirt	sky	6	0.006
stage	feather	fly	spin	3	0.003
stage	feather	dance	feather	78	0.078
stage	feather	feather	flower	4	0.004
stage	feather	beauty	fly	4	0.004
stage	feather	dance	spin	11	0.011
stage	feather	flower	feather	23	0.023
stage	feather	spin	sky	14	0.014
stage	feather	dance	sky	43	0.043
stage	feather	flower	sky	7	0.007
stage	feather	dance	skirt	35	0.035
stage	feather	beauty	spin	2	0.002
stage	feather	fly	skirt	8	0.008
stage	feather	sky	skirt	7	0.007
stage	feather	feather	spin	3	0.003
stage	feather	skirt	spin	5	0.005
stage	feather	fly	dance	3	0.003
stage	feather	flower	skirt	12	0.012
stage	feather	feather	skirt	3	0.003
stage	feather	skirt	fly	7	0.007
stage	feather	spin	dance	3	0.003
stage	feather	beauty	feather	6	0.006
stage	feather	sky	feather	8	0.008
stage	feather	skirt	dance	5	0.005
stage	feather	dance	beauty	2	0.002
stage	feather	flower	fly	4	0.004
stage	feather	skirt	feather	17	0.017
stage	feather	spin	beauty	4	0.004
stage	feather	feather	sky	5	0.005
stage	feather	fly	feather	6	0.006
stage	feather	sky	spin	2	0.002
stage	feather	sky	dance	3	0.003
stage	feather	sky	beauty	2	0.002
stage	feather	fly	beauty	1	0.001
stage	feather	beauty	sky	2	0.002
stage	feather	flower	spin	3	0.003
stage	feather	feather	beauty	6	0.006
stage	feather	fly	sky	2	0.002
stage	feather	skirt	beauty	2	0.002
stage	feather	beauty	skirt	1	0.001
stage	feather	flower	dance	1	0.001
stage	feather	NA	NA	541	0.541
dancer	stage	butterfly	spin	106	0.106
dancer	stage	butterfly	feather	32	0.032
dancer	stage	butterfly	skirt	42	0.042
dancer	stage	butterfly	fly	23	0.023
dancer	stage	butterfly	dance	169	0.169
dancer	stage	butterfly	beauty	15	0.015
dancer	stage	butterfly	flower	50	0.05
dancer	stage	butterfly	sky	22	0.022
dancer	stage	NA	NA	541	0.541
dancer	feather	butterfly	feather	189	0.189
dancer	feather	butterfly	skirt	100	0.1
dancer	feather	butterfly	dance	26	0.026
dancer	feather	butterfly	sky	79	0.079
dancer	feather	butterfly	spin	29	0.029
dancer	feather	butterfly	flower	4	0.004
dancer	feather	butterfly	fly	15	0.015
dancer	feather	butterfly	beauty	17	0.017
dancer	feather	NA	NA	541	0.541
