B_dom	B_cod	A_dom	A_cod	count	probability
stage	flower	flower	dance	18	0.018
stage	flower	spin	skirt	33	0.033
stage	flower	spin	beauty	31	0.031
stage	flower	dance	feather	20	0.02
stage	flower	feather	beauty	27	0.027
stage	flower	fly	feather	1	0.001
stage	flower	dance	sky	49	0.049
stage	flower	spin	feather	5	0.005
stage	flower	feather	fly	4	0.004
stage	flower	fly	flower	9	0.009
stage	flower	dance	flower	35	0.035
stage	flower	beauty	flower	4	0.004
stage	flower	feather	sky	3	0.003
stage	flower	dance	beauty	42	0.042
stage	flower	spin	flower	26	0.026
stage	flower	feather	dance	3	0.003
stage	flower	fly	skirt	4	0.004
stage	flower	feather	skirt	4	0.004
stage	flower	dance	spin	2	0.002
stage	flower	skirt	dance	5	0.005
stage	flower	beauty	dance	2	0.002
stage	flower	spin	sky	4	0.004
stage	flower	skirt	fly	6	0.006
stage	flower	sky	flower	8	0.008
stage	flower	spin	dance	7	0.007
stage	flower	fly	beauty	8	0.008
stage	flower	beauty	skirt	7	0.007
stage	flower	flower	beauty	5	0.005
stage	flower	beauty	sky	4	0.004
stage	flower	skirt	beauty	19	0.019
stage	flower	dance	skirt	17	0.017
stage	flower	skirt	sky	8	0.008
stage	flower	flower	fly	3	0.003
stage	flower	feather	flower	11	0.011
stage	flower	flower	sky	9	0.009
stage	flower	sky	dance	8	0.008
stage	flower	sky	feather	3	0.003
stage	flower	flower	feather	1	0.001
stage	flower	sky	beauty	8	0.008
stage	flower	spin	fly	3	0.003
stage	flower	skirt	feather	2	0.002
stage	flower	dance	fly	7	0.007
stage	flower	beauty	fly	4	0.004
stage	flower	flower	skirt	6	0.006
stage	flower	skirt	spin	1	0.001
stage	flower	skirt	flower	6	0.006
stage	flower	beauty	feather	1	0.001
stage	flower	sky	skirt	3	0.003
stage	flower	beauty	spin	1	0.001
stage	flower	sky	fly	1	0.001
stage	flower	flower	spin	2	0.002
stage	flower	fly	sky	1	0.001
stage	flower	NA	NA	499	0.499
dancer	flower	butterfly	dance	43	0.043
dancer	flower	butterfly	skirt	74	0.074
dancer	flower	butterfly	beauty	140	0.14
dancer	flower	butterfly	feather	33	0.033
dancer	flower	butterfly	sky	78	0.078
dancer	flower	butterfly	fly	28	0.028
dancer	flower	butterfly	flower	99	0.099
dancer	flower	butterfly	spin	6	0.006
dancer	flower	NA	NA	499	0.499
dancer	stage	butterfly	flower	44	0.044
dancer	stage	butterfly	spin	109	0.109
dancer	stage	butterfly	dance	172	0.172
dancer	stage	butterfly	feather	52	0.052
dancer	stage	butterfly	fly	23	0.023
dancer	stage	butterfly	beauty	23	0.023
dancer	stage	butterfly	skirt	47	0.047
dancer	stage	butterfly	sky	31	0.031
dancer	stage	NA	NA	499	0.499
