B_dom	B_cod	A_dom	A_cod	count	probability
dancer	stage	butterfly	feather	56	0.056
dancer	stage	butterfly	flower	60	0.06
dancer	stage	butterfly	dance	105	0.105
dancer	stage	butterfly	fly	16	0.016
dancer	stage	butterfly	beauty	18	0.018
dancer	stage	butterfly	empty	15	0.015
dancer	stage	butterfly	sky	20	0.02
dancer	stage	butterfly	woman	29	0.029
dancer	stage	NA	NA	681	0.681
dancer	night	butterfly	fly	42	0.042
dancer	night	butterfly	woman	83	0.083
dancer	night	butterfly	dance	55	0.055
dancer	night	butterfly	empty	47	0.047
dancer	night	butterfly	sky	70	0.07
dancer	night	butterfly	feather	12	0.012
dancer	night	butterfly	flower	3	0.003
dancer	night	butterfly	beauty	7	0.007
dancer	night	NA	NA	681	0.681
stage	night	feather	fly	9	0.009
stage	night	flower	woman	17	0.017
stage	night	dance	fly	17	0.017
stage	night	fly	dance	4	0.004
stage	night	flower	fly	7	0.007
stage	night	beauty	dance	10	0.01
stage	night	empty	dance	4	0.004
stage	night	dance	woman	41	0.041
stage	night	flower	empty	11	0.011
stage	night	flower	dance	12	0.012
stage	night	feather	empty	2	0.002
stage	night	empty	woman	4	0.004
stage	night	dance	sky	20	0.02
stage	night	fly	sky	4	0.004
stage	night	dance	feather	7	0.007
stage	night	fly	feather	2	0.002
stage	night	sky	woman	3	0.003
stage	night	fly	woman	4	0.004
stage	night	woman	empty	11	0.011
stage	night	woman	sky	5	0.005
stage	night	feather	woman	12	0.012
stage	night	feather	sky	21	0.021
stage	night	feather	dance	11	0.011
stage	night	flower	sky	13	0.013
stage	night	woman	dance	8	0.008
stage	night	empty	sky	5	0.005
stage	night	beauty	fly	2	0.002
stage	night	sky	empty	8	0.008
stage	night	dance	empty	11	0.011
stage	night	woman	fly	4	0.004
stage	night	fly	empty	2	0.002
stage	night	sky	dance	6	0.006
stage	night	empty	fly	2	0.002
stage	night	feather	flower	1	0.001
stage	night	beauty	woman	2	0.002
stage	night	dance	beauty	7	0.007
stage	night	dance	flower	2	0.002
stage	night	beauty	empty	2	0.002
stage	night	sky	feather	2	0.002
stage	night	woman	feather	1	0.001
stage	night	beauty	sky	2	0.002
stage	night	sky	fly	1	0.001
stage	night	NA	NA	681	0.681
