B_dom	B_cod	A_dom	A_cod	count	probability
dancer	stage	butterfly	dance	177	0.177
dancer	stage	butterfly	feather	42	0.042
dancer	stage	butterfly	fly	23	0.023
dancer	stage	butterfly	flower	30	0.03
dancer	stage	butterfly	spin	130	0.13
dancer	stage	butterfly	beauty	16	0.016
dancer	stage	butterfly	skirt	27	0.027
dancer	stage	butterfly	sky	23	0.023
dancer	stage	NA	NA	532	0.532
dancer	skirt	butterfly	beauty	39	0.039
dancer	skirt	butterfly	spin	22	0.022
dancer	skirt	butterfly	skirt	194	0.194
dancer	skirt	butterfly	sky	37	0.037
dancer	skirt	butterfly	feather	122	0.122
dancer	skirt	butterfly	dance	18	0.018
dancer	skirt	butterfly	fly	33	0.033
dancer	skirt	butterfly	flower	3	0.003
dancer	skirt	NA	NA	532	0.532
stage	skirt	dance	beauty	12	0.012
stage	skirt	feather	spin	3	0.003
stage	skirt	fly	skirt	20	0.02
stage	skirt	flower	sky	2	0.002
stage	skirt	spin	feather	46	0.046
stage	skirt	beauty	feather	5	0.005
stage	skirt	spin	skirt	60	0.06
stage	skirt	dance	skirt	65	0.065
stage	skirt	skirt	beauty	1	0.001
stage	skirt	dance	feather	59	0.059
stage	skirt	feather	dance	5	0.005
stage	skirt	spin	beauty	12	0.012
stage	skirt	dance	sky	19	0.019
stage	skirt	sky	spin	3	0.003
stage	skirt	fly	beauty	3	0.003
stage	skirt	feather	beauty	6	0.006
stage	skirt	flower	skirt	12	0.012
stage	skirt	feather	skirt	22	0.022
stage	skirt	skirt	dance	5	0.005
stage	skirt	sky	skirt	9	0.009
stage	skirt	feather	sky	2	0.002
stage	skirt	dance	fly	15	0.015
stage	skirt	spin	sky	12	0.012
stage	skirt	skirt	feather	5	0.005
stage	skirt	beauty	skirt	6	0.006
stage	skirt	sky	beauty	5	0.005
stage	skirt	flower	fly	5	0.005
stage	skirt	skirt	fly	6	0.006
stage	skirt	skirt	spin	5	0.005
stage	skirt	skirt	flower	3	0.003
stage	skirt	dance	spin	7	0.007
stage	skirt	flower	spin	2	0.002
stage	skirt	flower	feather	7	0.007
stage	skirt	flower	dance	2	0.002
stage	skirt	sky	dance	6	0.006
stage	skirt	beauty	fly	3	0.003
stage	skirt	beauty	spin	2	0.002
stage	skirt	feather	fly	4	0.004
stage	skirt	skirt	sky	2	0.002
stage	skirt	NA	NA	532	0.532
