B_dom	B_cod	A_dom	A_cod	count	probability
dancer	woman	butterfly	flower	92	0.092
dancer	woman	butterfly	beauty	69	0.069
dancer	woman	butterfly	woman	211	0.211
dancer	woman	butterfly	feather	27	0.027
dancer	woman	butterfly	sky	20	0.02
dancer	woman	butterfly	dance	11	0.011
dancer	woman	butterfly	empty	5	0.005
dancer	woman	butterfly	fly	3	0.003
dancer	woman	NA	NA	562	0.562
dancer	stage	butterfly	dance	189	0.189
dancer	stage	butterfly	feather	70	0.07
dancer	stage	butterfly	empty	20	0.02
dancer	stage	butterfly	flower	56	0.056
dancer	stage	butterfly	beauty	7	0.007
dancer	stage	butterfly	woman	33	0.033
dancer	stage	butterfly	sky	39	0.039
dancer	stage	butterfly	fly	24	0.024
dancer	stage	NA	NA	562	0.562
stage	woman	dance	flower	48	0.048
stage	woman	dance	beauty	32	0.032
stage	woman	feather	woman	34	0.034
stage	woman	empty	woman	11	0.011
stage	woman	dance	woman	79	0.079
stage	woman	flower	woman	42	0.042
stage	woman	feather	flower	12	0.012
stage	woman	beauty	woman	4	0.004
stage	woman	woman	feather	6	0.006
stage	woman	dance	feather	15	0.015
stage	woman	feather	beauty	24	0.024
stage	woman	sky	flower	9	0.009
stage	woman	flower	feather	3	0.003
stage	woman	woman	flower	12	0.012
stage	woman	woman	sky	4	0.004
stage	woman	fly	beauty	4	0.004
stage	woman	empty	flower	4	0.004
stage	woman	sky	woman	29	0.029
stage	woman	fly	woman	12	0.012
stage	woman	empty	beauty	3	0.003
stage	woman	flower	sky	2	0.002
stage	woman	dance	sky	13	0.013
stage	woman	fly	flower	7	0.007
stage	woman	woman	beauty	6	0.006
stage	woman	flower	dance	4	0.004
stage	woman	woman	dance	4	0.004
stage	woman	empty	dance	2	0.002
stage	woman	fly	dance	1	0.001
stage	woman	sky	feather	1	0.001
stage	woman	flower	empty	4	0.004
stage	woman	beauty	feather	2	0.002
stage	woman	dance	fly	2	0.002
stage	woman	flower	fly	1	0.001
stage	woman	beauty	sky	1	0.001
stage	woman	woman	empty	1	0.001
stage	woman	NA	NA	562	0.562
