B_dom	B_cod	A_dom	A_cod	count	probability
dancer	beauty	butterfly	skirt	56	0.056
dancer	beauty	butterfly	sky	26	0.026
dancer	beauty	butterfly	beauty	380	0.38
dancer	beauty	butterfly	fly	39	0.039
dancer	beauty	butterfly	dance	79	0.079
dancer	beauty	butterfly	feather	49	0.049
dancer	beauty	butterfly	flower	20	0.02
dancer	beauty	butterfly	spin	1	0.001
dancer	beauty	NA	NA	350	0.35
dancer	woman	butterfly	flower	223	0.223
dancer	woman	butterfly	beauty	115	0.115
dancer	woman	butterfly	dance	78	0.078
dancer	woman	butterfly	skirt	133	0.133
dancer	woman	butterfly	feather	49	0.049
dancer	woman	butterfly	sky	38	0.038
dancer	woman	butterfly	fly	14	0.014
dancer	woman	NA	NA	350	0.35
woman	beauty	flower	skirt	25	0.025
woman	beauty	beauty	sky	16	0.016
woman	beauty	dance	beauty	72	0.072
woman	beauty	skirt	beauty	77	0.077
woman	beauty	flower	beauty	165	0.165
woman	beauty	feather	sky	10	0.01
woman	beauty	sky	beauty	31	0.031
woman	beauty	skirt	fly	10	0.01
woman	beauty	skirt	dance	26	0.026
woman	beauty	beauty	skirt	20	0.02
woman	beauty	fly	beauty	7	0.007
woman	beauty	feather	beauty	28	0.028
woman	beauty	sky	feather	4	0.004
woman	beauty	beauty	dance	50	0.05
woman	beauty	dance	fly	6	0.006
woman	beauty	flower	fly	14	0.014
woman	beauty	flower	feather	19	0.019
woman	beauty	skirt	feather	20	0.02
woman	beauty	beauty	flower	20	0.02
woman	beauty	beauty	feather	5	0.005
woman	beauty	feather	skirt	8	0.008
woman	beauty	beauty	fly	3	0.003
woman	beauty	fly	skirt	3	0.003
woman	beauty	fly	dance	3	0.003
woman	beauty	fly	feather	1	0.001
woman	beauty	beauty	spin	1	0.001
woman	beauty	sky	fly	3	0.003
woman	beauty	feather	fly	3	0.003
woman	beauty	NA	NA	350	0.35
