B_dom	B_cod	A_dom	A_cod	count	probability
dancer	woman	butterfly	fly	14	0.014
dancer	woman	butterfly	beauty	153	0.153
dancer	woman	butterfly	flower	166	0.166
dancer	woman	butterfly	skirt	113	0.113
dancer	woman	butterfly	dance	84	0.084
dancer	woman	butterfly	feather	58	0.058
dancer	woman	butterfly	sky	51	0.051
dancer	woman	NA	NA	361	0.361
dancer	flower	butterfly	skirt	101	0.101
dancer	flower	butterfly	dance	79	0.079
dancer	flower	butterfly	sky	93	0.093
dancer	flower	butterfly	beauty	135	0.135
dancer	flower	butterfly	flower	130	0.13
dancer	flower	butterfly	feather	62	0.062
dancer	flower	butterfly	fly	35	0.035
dancer	flower	butterfly	spin	4	0.004
dancer	flower	NA	NA	361	0.361
woman	flower	fly	skirt	4	0.004
woman	flower	beauty	dance	34	0.034
woman	flower	flower	dance	26	0.026
woman	flower	flower	sky	30	0.03
woman	flower	beauty	skirt	30	0.03
woman	flower	flower	beauty	42	0.042
woman	flower	flower	skirt	34	0.034
woman	flower	skirt	flower	35	0.035
woman	flower	flower	feather	26	0.026
woman	flower	skirt	sky	17	0.017
woman	flower	dance	sky	4	0.004
woman	flower	feather	skirt	18	0.018
woman	flower	dance	feather	3	0.003
woman	flower	beauty	flower	36	0.036
woman	flower	beauty	fly	11	0.011
woman	flower	sky	dance	2	0.002
woman	flower	fly	flower	5	0.005
woman	flower	beauty	sky	27	0.027
woman	flower	feather	beauty	11	0.011
woman	flower	beauty	feather	13	0.013
woman	flower	skirt	beauty	32	0.032
woman	flower	sky	skirt	4	0.004
woman	flower	feather	flower	9	0.009
woman	flower	sky	flower	18	0.018
woman	flower	feather	sky	13	0.013
woman	flower	dance	beauty	34	0.034
woman	flower	dance	flower	27	0.027
woman	flower	sky	beauty	16	0.016
woman	flower	skirt	feather	11	0.011
woman	flower	dance	skirt	11	0.011
woman	flower	skirt	dance	13	0.013
woman	flower	feather	fly	5	0.005
woman	flower	flower	fly	8	0.008
woman	flower	fly	sky	2	0.002
woman	flower	sky	feather	9	0.009
woman	flower	fly	dance	3	0.003
woman	flower	skirt	fly	5	0.005
woman	flower	dance	fly	4	0.004
woman	flower	beauty	spin	2	0.002
woman	flower	sky	fly	2	0.002
woman	flower	feather	spin	1	0.001
woman	flower	feather	dance	1	0.001
woman	flower	dance	spin	1	0.001
woman	flower	NA	NA	361	0.361
