B_dom	B_cod	A_dom	A_cod	count	probability
woman	music	skirt	beauty	63	0.063
woman	music	skirt	dance	38	0.038
woman	music	sky	dance	22	0.022
woman	music	beauty	skirt	8	0.008
woman	music	flower	dance	89	0.089
woman	music	skirt	flower	9	0.009
woman	music	flower	beauty	18	0.018
woman	music	sky	flower	3	0.003
woman	music	feather	beauty	29	0.029
woman	music	flower	fly	17	0.017
woman	music	feather	sky	3	0.003
woman	music	beauty	dance	52	0.052
woman	music	sky	beauty	14	0.014
woman	music	skirt	fly	4	0.004
woman	music	dance	flower	10	0.01
woman	music	feather	dance	24	0.024
woman	music	skirt	spin	7	0.007
woman	music	dance	feather	3	0.003
woman	music	beauty	flower	10	0.01
woman	music	beauty	sky	20	0.02
woman	music	dance	sky	7	0.007
woman	music	beauty	spin	8	0.008
woman	music	flower	spin	15	0.015
woman	music	feather	spin	2	0.002
woman	music	skirt	sky	7	0.007
woman	music	fly	flower	3	0.003
woman	music	beauty	fly	10	0.01
woman	music	beauty	feather	5	0.005
woman	music	dance	fly	3	0.003
woman	music	dance	beauty	9	0.009
woman	music	dance	skirt	2	0.002
woman	music	flower	feather	3	0.003
woman	music	flower	sky	14	0.014
woman	music	fly	beauty	3	0.003
woman	music	flower	skirt	2	0.002
woman	music	feather	fly	1	0.001
woman	music	feather	flower	6	0.006
woman	music	fly	dance	1	0.001
woman	music	skirt	feather	2	0.002
woman	music	fly	skirt	1	0.001
woman	music	dance	spin	2	0.002
woman	music	sky	skirt	1	0.001
woman	music	sky	fly	1	0.001
woman	music	sky	feather	1	0.001
woman	music	NA	NA	448	0.448
dancer	woman	butterfly	skirt	130	0.13
dancer	woman	butterfly	sky	42	0.042
dancer	woman	butterfly	beauty	113	0.113
dancer	woman	butterfly	flower	158	0.158
dancer	woman	butterfly	feather	65	0.065
dancer	woman	butterfly	dance	36	0.036
dancer	woman	butterfly	fly	8	0.008
dancer	woman	NA	NA	448	0.448
dancer	music	butterfly	beauty	136	0.136
dancer	music	butterfly	dance	226	0.226
dancer	music	butterfly	skirt	14	0.014
dancer	music	butterfly	flower	41	0.041
dancer	music	butterfly	fly	36	0.036
dancer	music	butterfly	sky	51	0.051
dancer	music	butterfly	spin	34	0.034
dancer	music	butterfly	feather	14	0.014
dancer	music	NA	NA	448	0.448
