B_dom	B_cod	A_dom	A_cod	count	probability
woman	skirt	skirt	dance	19	0.019
woman	skirt	flower	sky	14	0.014
woman	skirt	flower	skirt	98	0.098
woman	skirt	skirt	spin	3	0.003
woman	skirt	beauty	dance	40	0.04
woman	skirt	sky	beauty	4	0.004
woman	skirt	skirt	beauty	6	0.006
woman	skirt	beauty	skirt	95	0.095
woman	skirt	dance	beauty	16	0.016
woman	skirt	feather	skirt	53	0.053
woman	skirt	fly	feather	10	0.01
woman	skirt	dance	skirt	72	0.072
woman	skirt	dance	fly	13	0.013
woman	skirt	feather	fly	11	0.011
woman	skirt	flower	feather	59	0.059
woman	skirt	skirt	feather	39	0.039
woman	skirt	skirt	flower	13	0.013
woman	skirt	sky	skirt	25	0.025
woman	skirt	feather	sky	11	0.011
woman	skirt	flower	fly	19	0.019
woman	skirt	skirt	fly	8	0.008
woman	skirt	sky	feather	13	0.013
woman	skirt	skirt	sky	6	0.006
woman	skirt	beauty	sky	23	0.023
woman	skirt	fly	skirt	8	0.008
woman	skirt	sky	fly	5	0.005
woman	skirt	fly	dance	1	0.001
woman	skirt	NA	NA	316	0.316
dancer	woman	butterfly	skirt	94	0.094
dancer	woman	butterfly	flower	190	0.19
dancer	woman	butterfly	beauty	158	0.158
dancer	woman	butterfly	sky	47	0.047
dancer	woman	butterfly	dance	101	0.101
dancer	woman	butterfly	feather	75	0.075
dancer	woman	butterfly	fly	19	0.019
dancer	woman	NA	NA	316	0.316
dancer	skirt	butterfly	dance	60	0.06
dancer	skirt	butterfly	sky	54	0.054
dancer	skirt	butterfly	skirt	351	0.351
dancer	skirt	butterfly	spin	3	0.003
dancer	skirt	butterfly	beauty	26	0.026
dancer	skirt	butterfly	feather	121	0.121
dancer	skirt	butterfly	fly	56	0.056
dancer	skirt	butterfly	flower	13	0.013
dancer	skirt	NA	NA	316	0.316
