B_dom	B_cod	A_dom	A_cod	count	probability
woman	spin	beauty	fly	48	0.048
woman	spin	woman	dance	48	0.048
woman	spin	woman	fly	113	0.113
woman	spin	flower	fly	19	0.019
woman	spin	empty	dance	22	0.022
woman	spin	woman	flower	7	0.007
woman	spin	woman	feather	31	0.031
woman	spin	sky	beauty	1	0.001
woman	spin	flower	feather	9	0.009
woman	spin	woman	sky	38	0.038
woman	spin	feather	dance	8	0.008
woman	spin	flower	dance	37	0.037
woman	spin	woman	empty	11	0.011
woman	spin	empty	feather	8	0.008
woman	spin	flower	empty	10	0.01
woman	spin	beauty	dance	21	0.021
woman	spin	fly	dance	2	0.002
woman	spin	woman	beauty	2	0.002
woman	spin	feather	fly	3	0.003
woman	spin	dance	beauty	1	0.001
woman	spin	beauty	feather	19	0.019
woman	spin	sky	dance	4	0.004
woman	spin	beauty	empty	6	0.006
woman	spin	feather	empty	2	0.002
woman	spin	fly	feather	1	0.001
woman	spin	empty	flower	1	0.001
woman	spin	flower	beauty	1	0.001
woman	spin	flower	sky	1	0.001
woman	spin	NA	NA	526	0.526
dancer	spin	butterfly	fly	183	0.183
dancer	spin	butterfly	dance	142	0.142
dancer	spin	butterfly	flower	8	0.008
dancer	spin	butterfly	feather	68	0.068
dancer	spin	butterfly	beauty	5	0.005
dancer	spin	butterfly	sky	39	0.039
dancer	spin	butterfly	empty	29	0.029
dancer	spin	NA	NA	526	0.526
dancer	woman	butterfly	beauty	94	0.094
dancer	woman	butterfly	woman	250	0.25
dancer	woman	butterfly	flower	77	0.077
dancer	woman	butterfly	empty	31	0.031
dancer	woman	butterfly	sky	5	0.005
dancer	woman	butterfly	feather	13	0.013
dancer	woman	butterfly	fly	3	0.003
dancer	woman	butterfly	dance	1	0.001
dancer	woman	NA	NA	526	0.526
