B_dom	B_cod	A_dom	A_cod	count	probability
woman	stage	flower	feather	16	0.016
woman	stage	beauty	dance	25	0.025
woman	stage	flower	dance	39	0.039
woman	stage	beauty	fly	4	0.004
woman	stage	flower	skirt	5	0.005
woman	stage	flower	fly	2	0.002
woman	stage	flower	spin	23	0.023
woman	stage	feather	fly	2	0.002
woman	stage	dance	skirt	1	0.001
woman	stage	sky	skirt	2	0.002
woman	stage	dance	feather	2	0.002
woman	stage	skirt	feather	5	0.005
woman	stage	beauty	spin	15	0.015
woman	stage	feather	spin	8	0.008
woman	stage	feather	dance	23	0.023
woman	stage	skirt	spin	22	0.022
woman	stage	dance	spin	6	0.006
woman	stage	beauty	sky	10	0.01
woman	stage	beauty	feather	11	0.011
woman	stage	skirt	flower	7	0.007
woman	stage	skirt	dance	22	0.022
woman	stage	feather	flower	4	0.004
woman	stage	feather	beauty	3	0.003
woman	stage	beauty	flower	2	0.002
woman	stage	beauty	skirt	11	0.011
woman	stage	sky	feather	3	0.003
woman	stage	dance	flower	12	0.012
woman	stage	dance	sky	4	0.004
woman	stage	fly	dance	5	0.005
woman	stage	skirt	sky	5	0.005
woman	stage	skirt	beauty	4	0.004
woman	stage	sky	spin	3	0.003
woman	stage	sky	dance	7	0.007
woman	stage	skirt	fly	2	0.002
woman	stage	feather	sky	1	0.001
woman	stage	feather	skirt	1	0.001
woman	stage	dance	beauty	2	0.002
woman	stage	flower	beauty	3	0.003
woman	stage	dance	fly	2	0.002
woman	stage	flower	sky	2	0.002
woman	stage	sky	beauty	1	0.001
woman	stage	NA	NA	673	0.673
dancer	woman	butterfly	flower	90	0.09
dancer	woman	butterfly	beauty	78	0.078
dancer	woman	butterfly	feather	42	0.042
dancer	woman	butterfly	dance	29	0.029
dancer	woman	butterfly	sky	16	0.016
dancer	woman	butterfly	skirt	67	0.067
dancer	woman	butterfly	fly	5	0.005
dancer	woman	NA	NA	673	0.673
dancer	stage	butterfly	feather	37	0.037
dancer	stage	butterfly	dance	121	0.121
dancer	stage	butterfly	fly	12	0.012
dancer	stage	butterfly	skirt	20	0.02
dancer	stage	butterfly	spin	77	0.077
dancer	stage	butterfly	sky	22	0.022
dancer	stage	butterfly	flower	25	0.025
dancer	stage	butterfly	beauty	13	0.013
dancer	stage	NA	NA	673	0.673
