B_dom	B_cod	A_dom	A_cod	count	probability
Has_Changed_Forever	Latest_Advancements	sliced_ham	WITH_RESPECT	158	0.158
Has_Changed_Forever	Latest_Advancements	sliced_ham	puerto	83	0.083
Has_Changed_Forever	Latest_Advancements	sliced_ham	Grupo_Herdez	197	0.197
Has_Changed_Forever	Latest_Advancements	sliced_ham	Mark_Abramson_MEDIANEWS	73	0.073
Has_Changed_Forever	Latest_Advancements	sliced_ham	silks_velvets	193	0.193
Has_Changed_Forever	Latest_Advancements	sliced_ham	visit_www.ewga.com	109	0.109
Has_Changed_Forever	Latest_Advancements	sliced_ham	SIGNIFICANCE_OF	88	0.088
Has_Changed_Forever	Latest_Advancements	sliced_ham	E_CigaretteDirect_LLC	63	0.063
Has_Changed_Forever	Latest_Advancements	NA	NA	36	0.036
Has_Changed_Forever	BOB_DROGIN	sliced_ham	Grupo_Herdez	292	0.292
Has_Changed_Forever	BOB_DROGIN	sliced_ham	silks_velvets	158	0.158
Has_Changed_Forever	BOB_DROGIN	sliced_ham	WITH_RESPECT	174	0.174
Has_Changed_Forever	BOB_DROGIN	sliced_ham	visit_www.ewga.com	60	0.06
Has_Changed_Forever	BOB_DROGIN	sliced_ham	puerto	94	0.094
Has_Changed_Forever	BOB_DROGIN	sliced_ham	SIGNIFICANCE_OF	85	0.085
Has_Changed_Forever	BOB_DROGIN	sliced_ham	E_CigaretteDirect_LLC	57	0.057
Has_Changed_Forever	BOB_DROGIN	sliced_ham	Mark_Abramson_MEDIANEWS	44	0.044
Has_Changed_Forever	BOB_DROGIN	NA	NA	36	0.036
BOB_DROGIN	Latest_Advancements	Grupo_Herdez	WITH_RESPECT	85	0.085
BOB_DROGIN	Latest_Advancements	Grupo_Herdez	puerto	32	0.032
BOB_DROGIN	Latest_Advancements	silks_velvets	Grupo_Herdez	48	0.048
BOB_DROGIN	Latest_Advancements	WITH_RESPECT	Grupo_Herdez	100	0.1
BOB_DROGIN	Latest_Advancements	silks_velvets	Mark_Abramson_MEDIANEWS	20	0.02
BOB_DROGIN	Latest_Advancements	visit_www.ewga.com	puerto	26	0.026
BOB_DROGIN	Latest_Advancements	puerto	Mark_Abramson_MEDIANEWS	28	0.028
BOB_DROGIN	Latest_Advancements	WITH_RESPECT	silks_velvets	27	0.027
BOB_DROGIN	Latest_Advancements	puerto	Grupo_Herdez	20	0.02
BOB_DROGIN	Latest_Advancements	Grupo_Herdez	silks_velvets	85	0.085
BOB_DROGIN	Latest_Advancements	Grupo_Herdez	visit_www.ewga.com	42	0.042
BOB_DROGIN	Latest_Advancements	silks_velvets	SIGNIFICANCE_OF	59	0.059
BOB_DROGIN	Latest_Advancements	visit_www.ewga.com	Grupo_Herdez	18	0.018
BOB_DROGIN	Latest_Advancements	WITH_RESPECT	visit_www.ewga.com	14	0.014
BOB_DROGIN	Latest_Advancements	silks_velvets	WITH_RESPECT	26	0.026
BOB_DROGIN	Latest_Advancements	Grupo_Herdez	E_CigaretteDirect_LLC	22	0.022
BOB_DROGIN	Latest_Advancements	SIGNIFICANCE_OF	silks_velvets	71	0.071
BOB_DROGIN	Latest_Advancements	WITH_RESPECT	E_CigaretteDirect_LLC	24	0.024
BOB_DROGIN	Latest_Advancements	SIGNIFICANCE_OF	visit_www.ewga.com	3	0.003
BOB_DROGIN	Latest_Advancements	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	2	0.002
BOB_DROGIN	Latest_Advancements	Grupo_Herdez	Mark_Abramson_MEDIANEWS	14	0.014
BOB_DROGIN	Latest_Advancements	E_CigaretteDirect_LLC	visit_www.ewga.com	10	0.01
BOB_DROGIN	Latest_Advancements	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	8	0.008
BOB_DROGIN	Latest_Advancements	E_CigaretteDirect_LLC	WITH_RESPECT	27	0.027
BOB_DROGIN	Latest_Advancements	visit_www.ewga.com	WITH_RESPECT	7	0.007
BOB_DROGIN	Latest_Advancements	puerto	visit_www.ewga.com	37	0.037
BOB_DROGIN	Latest_Advancements	Mark_Abramson_MEDIANEWS	puerto	19	0.019
BOB_DROGIN	Latest_Advancements	Grupo_Herdez	SIGNIFICANCE_OF	12	0.012
BOB_DROGIN	Latest_Advancements	Mark_Abramson_MEDIANEWS	WITH_RESPECT	7	0.007
BOB_DROGIN	Latest_Advancements	Mark_Abramson_MEDIANEWS	silks_velvets	9	0.009
BOB_DROGIN	Latest_Advancements	SIGNIFICANCE_OF	puerto	2	0.002
BOB_DROGIN	Latest_Advancements	SIGNIFICANCE_OF	Grupo_Herdez	2	0.002
BOB_DROGIN	Latest_Advancements	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	6	0.006
BOB_DROGIN	Latest_Advancements	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	3	0.003
BOB_DROGIN	Latest_Advancements	silks_velvets	visit_www.ewga.com	2	0.002
BOB_DROGIN	Latest_Advancements	E_CigaretteDirect_LLC	Grupo_Herdez	5	0.005
BOB_DROGIN	Latest_Advancements	silks_velvets	puerto	1	0.001
BOB_DROGIN	Latest_Advancements	Mark_Abramson_MEDIANEWS	Grupo_Herdez	4	0.004
BOB_DROGIN	Latest_Advancements	WITH_RESPECT	Mark_Abramson_MEDIANEWS	3	0.003
BOB_DROGIN	Latest_Advancements	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	7	0.007
BOB_DROGIN	Latest_Advancements	puerto	WITH_RESPECT	6	0.006
BOB_DROGIN	Latest_Advancements	WITH_RESPECT	SIGNIFICANCE_OF	3	0.003
BOB_DROGIN	Latest_Advancements	silks_velvets	E_CigaretteDirect_LLC	2	0.002
BOB_DROGIN	Latest_Advancements	visit_www.ewga.com	E_CigaretteDirect_LLC	4	0.004
BOB_DROGIN	Latest_Advancements	WITH_RESPECT	puerto	3	0.003
BOB_DROGIN	Latest_Advancements	puerto	SIGNIFICANCE_OF	2	0.002
BOB_DROGIN	Latest_Advancements	visit_www.ewga.com	SIGNIFICANCE_OF	3	0.003
BOB_DROGIN	Latest_Advancements	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	1	0.001
BOB_DROGIN	Latest_Advancements	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	1	0.001
BOB_DROGIN	Latest_Advancements	E_CigaretteDirect_LLC	silks_velvets	1	0.001
BOB_DROGIN	Latest_Advancements	puerto	E_CigaretteDirect_LLC	1	0.001
BOB_DROGIN	Latest_Advancements	NA	NA	36	0.036
