B_dom	B_cod	A_dom	A_cod	count	probability
BOB_DROGIN	Preseason_Picks	Mark_Abramson_MEDIANEWS	silks_velvets	10	0.01
BOB_DROGIN	Preseason_Picks	Grupo_Herdez	Mark_Abramson_MEDIANEWS	183	0.183
BOB_DROGIN	Preseason_Picks	WITH_RESPECT	E_CigaretteDirect_LLC	34	0.034
BOB_DROGIN	Preseason_Picks	Grupo_Herdez	SIGNIFICANCE_OF	49	0.049
BOB_DROGIN	Preseason_Picks	puerto	WITH_RESPECT	67	0.067
BOB_DROGIN	Preseason_Picks	Mark_Abramson_MEDIANEWS	Grupo_Herdez	79	0.079
BOB_DROGIN	Preseason_Picks	WITH_RESPECT	puerto	82	0.082
BOB_DROGIN	Preseason_Picks	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	13	0.013
BOB_DROGIN	Preseason_Picks	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	44	0.044
BOB_DROGIN	Preseason_Picks	SIGNIFICANCE_OF	Grupo_Herdez	28	0.028
BOB_DROGIN	Preseason_Picks	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	103	0.103
BOB_DROGIN	Preseason_Picks	Grupo_Herdez	WITH_RESPECT	45	0.045
BOB_DROGIN	Preseason_Picks	puerto	SIGNIFICANCE_OF	15	0.015
BOB_DROGIN	Preseason_Picks	SIGNIFICANCE_OF	visit_www.ewga.com	4	0.004
BOB_DROGIN	Preseason_Picks	WITH_RESPECT	silks_velvets	12	0.012
BOB_DROGIN	Preseason_Picks	E_CigaretteDirect_LLC	visit_www.ewga.com	9	0.009
BOB_DROGIN	Preseason_Picks	visit_www.ewga.com	puerto	2	0.002
BOB_DROGIN	Preseason_Picks	WITH_RESPECT	Mark_Abramson_MEDIANEWS	3	0.003
BOB_DROGIN	Preseason_Picks	Grupo_Herdez	puerto	9	0.009
BOB_DROGIN	Preseason_Picks	visit_www.ewga.com	E_CigaretteDirect_LLC	1	0.001
BOB_DROGIN	Preseason_Picks	Grupo_Herdez	visit_www.ewga.com	16	0.016
BOB_DROGIN	Preseason_Picks	Grupo_Herdez	E_CigaretteDirect_LLC	26	0.026
BOB_DROGIN	Preseason_Picks	Mark_Abramson_MEDIANEWS	puerto	2	0.002
BOB_DROGIN	Preseason_Picks	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	13	0.013
BOB_DROGIN	Preseason_Picks	WITH_RESPECT	visit_www.ewga.com	19	0.019
BOB_DROGIN	Preseason_Picks	WITH_RESPECT	SIGNIFICANCE_OF	2	0.002
BOB_DROGIN	Preseason_Picks	silks_velvets	WITH_RESPECT	8	0.008
BOB_DROGIN	Preseason_Picks	SIGNIFICANCE_OF	puerto	11	0.011
BOB_DROGIN	Preseason_Picks	puerto	visit_www.ewga.com	4	0.004
BOB_DROGIN	Preseason_Picks	E_CigaretteDirect_LLC	WITH_RESPECT	23	0.023
BOB_DROGIN	Preseason_Picks	WITH_RESPECT	Grupo_Herdez	5	0.005
BOB_DROGIN	Preseason_Picks	silks_velvets	SIGNIFICANCE_OF	6	0.006
BOB_DROGIN	Preseason_Picks	puerto	Grupo_Herdez	1	0.001
BOB_DROGIN	Preseason_Picks	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	4	0.004
BOB_DROGIN	Preseason_Picks	silks_velvets	Mark_Abramson_MEDIANEWS	15	0.015
BOB_DROGIN	Preseason_Picks	Grupo_Herdez	silks_velvets	4	0.004
BOB_DROGIN	Preseason_Picks	visit_www.ewga.com	SIGNIFICANCE_OF	2	0.002
BOB_DROGIN	Preseason_Picks	visit_www.ewga.com	Grupo_Herdez	1	0.001
BOB_DROGIN	Preseason_Picks	visit_www.ewga.com	WITH_RESPECT	4	0.004
BOB_DROGIN	Preseason_Picks	puerto	Mark_Abramson_MEDIANEWS	1	0.001
BOB_DROGIN	Preseason_Picks	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	2	0.002
BOB_DROGIN	Preseason_Picks	SIGNIFICANCE_OF	silks_velvets	1	0.001
BOB_DROGIN	Preseason_Picks	E_CigaretteDirect_LLC	puerto	1	0.001
BOB_DROGIN	Preseason_Picks	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	1	0.001
BOB_DROGIN	Preseason_Picks	silks_velvets	visit_www.ewga.com	1	0.001
BOB_DROGIN	Preseason_Picks	NA	NA	35	0.035
Has_Changed_Forever	Preseason_Picks	sliced_ham	silks_velvets	27	0.027
Has_Changed_Forever	Preseason_Picks	sliced_ham	Mark_Abramson_MEDIANEWS	221	0.221
Has_Changed_Forever	Preseason_Picks	sliced_ham	E_CigaretteDirect_LLC	177	0.177
Has_Changed_Forever	Preseason_Picks	sliced_ham	SIGNIFICANCE_OF	118	0.118
Has_Changed_Forever	Preseason_Picks	sliced_ham	WITH_RESPECT	147	0.147
Has_Changed_Forever	Preseason_Picks	sliced_ham	Grupo_Herdez	114	0.114
Has_Changed_Forever	Preseason_Picks	sliced_ham	puerto	107	0.107
Has_Changed_Forever	Preseason_Picks	sliced_ham	visit_www.ewga.com	54	0.054
Has_Changed_Forever	Preseason_Picks	NA	NA	35	0.035
Has_Changed_Forever	BOB_DROGIN	sliced_ham	Mark_Abramson_MEDIANEWS	105	0.105
Has_Changed_Forever	BOB_DROGIN	sliced_ham	Grupo_Herdez	332	0.332
Has_Changed_Forever	BOB_DROGIN	sliced_ham	WITH_RESPECT	157	0.157
Has_Changed_Forever	BOB_DROGIN	sliced_ham	puerto	88	0.088
Has_Changed_Forever	BOB_DROGIN	sliced_ham	E_CigaretteDirect_LLC	90	0.09
Has_Changed_Forever	BOB_DROGIN	sliced_ham	SIGNIFICANCE_OF	149	0.149
Has_Changed_Forever	BOB_DROGIN	sliced_ham	visit_www.ewga.com	14	0.014
Has_Changed_Forever	BOB_DROGIN	sliced_ham	silks_velvets	30	0.03
Has_Changed_Forever	BOB_DROGIN	NA	NA	35	0.035
