B_dom	B_cod	A_dom	A_cod	count	probability
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	Grupo_Herdez	94	0.094
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	E_CigaretteDirect_LLC	122	0.122
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	silks_velvets	115	0.115
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	visit_www.ewga.com	197	0.197
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	puerto	66	0.066
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	Mark_Abramson_MEDIANEWS	75	0.075
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	WITH_RESPECT	255	0.255
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	SIGNIFICANCE_OF	35	0.035
Has_Changed_Forever	rookie_Alex_Prugh	NA	NA	41	0.041
Has_Changed_Forever	BOB_DROGIN	sliced_ham	visit_www.ewga.com	40	0.04
Has_Changed_Forever	BOB_DROGIN	sliced_ham	WITH_RESPECT	262	0.262
Has_Changed_Forever	BOB_DROGIN	sliced_ham	Grupo_Herdez	329	0.329
Has_Changed_Forever	BOB_DROGIN	sliced_ham	Mark_Abramson_MEDIANEWS	41	0.041
Has_Changed_Forever	BOB_DROGIN	sliced_ham	E_CigaretteDirect_LLC	103	0.103
Has_Changed_Forever	BOB_DROGIN	sliced_ham	silks_velvets	111	0.111
Has_Changed_Forever	BOB_DROGIN	sliced_ham	puerto	44	0.044
Has_Changed_Forever	BOB_DROGIN	sliced_ham	SIGNIFICANCE_OF	29	0.029
Has_Changed_Forever	BOB_DROGIN	NA	NA	41	0.041
BOB_DROGIN	rookie_Alex_Prugh	visit_www.ewga.com	Grupo_Herdez	12	0.012
BOB_DROGIN	rookie_Alex_Prugh	WITH_RESPECT	E_CigaretteDirect_LLC	76	0.076
BOB_DROGIN	rookie_Alex_Prugh	WITH_RESPECT	silks_velvets	71	0.071
BOB_DROGIN	rookie_Alex_Prugh	Grupo_Herdez	visit_www.ewga.com	100	0.1
BOB_DROGIN	rookie_Alex_Prugh	Grupo_Herdez	puerto	40	0.04
BOB_DROGIN	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	silks_velvets	27	0.027
BOB_DROGIN	rookie_Alex_Prugh	WITH_RESPECT	Grupo_Herdez	63	0.063
BOB_DROGIN	rookie_Alex_Prugh	E_CigaretteDirect_LLC	visit_www.ewga.com	38	0.038
BOB_DROGIN	rookie_Alex_Prugh	WITH_RESPECT	Mark_Abramson_MEDIANEWS	5	0.005
BOB_DROGIN	rookie_Alex_Prugh	Grupo_Herdez	E_CigaretteDirect_LLC	23	0.023
BOB_DROGIN	rookie_Alex_Prugh	E_CigaretteDirect_LLC	WITH_RESPECT	50	0.05
BOB_DROGIN	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	Grupo_Herdez	6	0.006
BOB_DROGIN	rookie_Alex_Prugh	Grupo_Herdez	WITH_RESPECT	128	0.128
BOB_DROGIN	rookie_Alex_Prugh	silks_velvets	Mark_Abramson_MEDIANEWS	37	0.037
BOB_DROGIN	rookie_Alex_Prugh	silks_velvets	SIGNIFICANCE_OF	10	0.01
BOB_DROGIN	rookie_Alex_Prugh	Grupo_Herdez	SIGNIFICANCE_OF	12	0.012
BOB_DROGIN	rookie_Alex_Prugh	silks_velvets	visit_www.ewga.com	6	0.006
BOB_DROGIN	rookie_Alex_Prugh	puerto	visit_www.ewga.com	14	0.014
BOB_DROGIN	rookie_Alex_Prugh	visit_www.ewga.com	E_CigaretteDirect_LLC	15	0.015
BOB_DROGIN	rookie_Alex_Prugh	visit_www.ewga.com	SIGNIFICANCE_OF	1	0.001
BOB_DROGIN	rookie_Alex_Prugh	Grupo_Herdez	Mark_Abramson_MEDIANEWS	18	0.018
BOB_DROGIN	rookie_Alex_Prugh	visit_www.ewga.com	puerto	5	0.005
BOB_DROGIN	rookie_Alex_Prugh	E_CigaretteDirect_LLC	Grupo_Herdez	1	0.001
BOB_DROGIN	rookie_Alex_Prugh	silks_velvets	WITH_RESPECT	58	0.058
BOB_DROGIN	rookie_Alex_Prugh	SIGNIFICANCE_OF	visit_www.ewga.com	9	0.009
BOB_DROGIN	rookie_Alex_Prugh	WITH_RESPECT	visit_www.ewga.com	27	0.027
BOB_DROGIN	rookie_Alex_Prugh	puerto	Grupo_Herdez	11	0.011
BOB_DROGIN	rookie_Alex_Prugh	WITH_RESPECT	puerto	20	0.02
BOB_DROGIN	rookie_Alex_Prugh	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	7	0.007
BOB_DROGIN	rookie_Alex_Prugh	SIGNIFICANCE_OF	silks_velvets	9	0.009
BOB_DROGIN	rookie_Alex_Prugh	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	7	0.007
BOB_DROGIN	rookie_Alex_Prugh	SIGNIFICANCE_OF	puerto	1	0.001
BOB_DROGIN	rookie_Alex_Prugh	Grupo_Herdez	silks_velvets	8	0.008
BOB_DROGIN	rookie_Alex_Prugh	puerto	SIGNIFICANCE_OF	5	0.005
BOB_DROGIN	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	3	0.003
BOB_DROGIN	rookie_Alex_Prugh	visit_www.ewga.com	WITH_RESPECT	4	0.004
BOB_DROGIN	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	3	0.003
BOB_DROGIN	rookie_Alex_Prugh	puerto	Mark_Abramson_MEDIANEWS	4	0.004
BOB_DROGIN	rookie_Alex_Prugh	puerto	WITH_RESPECT	10	0.01
BOB_DROGIN	rookie_Alex_Prugh	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	5	0.005
BOB_DROGIN	rookie_Alex_Prugh	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	1	0.001
BOB_DROGIN	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	WITH_RESPECT	2	0.002
BOB_DROGIN	rookie_Alex_Prugh	SIGNIFICANCE_OF	WITH_RESPECT	3	0.003
BOB_DROGIN	rookie_Alex_Prugh	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	3	0.003
BOB_DROGIN	rookie_Alex_Prugh	SIGNIFICANCE_OF	Grupo_Herdez	1	0.001
BOB_DROGIN	rookie_Alex_Prugh	NA	NA	41	0.041
