B_dom	B_cod	A_dom	A_cod	count	probability
Complete_Sweep_Of	Latest_Advancements	SIGNIFICANCE_OF	Grupo_Herdez	99	0.099
Complete_Sweep_Of	Latest_Advancements	puerto	visit_www.ewga.com	5	0.005
Complete_Sweep_Of	Latest_Advancements	puerto	WITH_RESPECT	54	0.054
Complete_Sweep_Of	Latest_Advancements	visit_www.ewga.com	WITH_RESPECT	14	0.014
Complete_Sweep_Of	Latest_Advancements	SIGNIFICANCE_OF	puerto	21	0.021
Complete_Sweep_Of	Latest_Advancements	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	49	0.049
Complete_Sweep_Of	Latest_Advancements	SIGNIFICANCE_OF	silks_velvets	5	0.005
Complete_Sweep_Of	Latest_Advancements	Grupo_Herdez	SIGNIFICANCE_OF	93	0.093
Complete_Sweep_Of	Latest_Advancements	WITH_RESPECT	Grupo_Herdez	16	0.016
Complete_Sweep_Of	Latest_Advancements	visit_www.ewga.com	silks_velvets	2	0.002
Complete_Sweep_Of	Latest_Advancements	E_CigaretteDirect_LLC	Grupo_Herdez	12	0.012
Complete_Sweep_Of	Latest_Advancements	puerto	Grupo_Herdez	5	0.005
Complete_Sweep_Of	Latest_Advancements	visit_www.ewga.com	E_CigaretteDirect_LLC	6	0.006
Complete_Sweep_Of	Latest_Advancements	WITH_RESPECT	puerto	42	0.042
Complete_Sweep_Of	Latest_Advancements	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	60	0.06
Complete_Sweep_Of	Latest_Advancements	Grupo_Herdez	WITH_RESPECT	42	0.042
Complete_Sweep_Of	Latest_Advancements	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	44	0.044
Complete_Sweep_Of	Latest_Advancements	Grupo_Herdez	Mark_Abramson_MEDIANEWS	54	0.054
Complete_Sweep_Of	Latest_Advancements	Mark_Abramson_MEDIANEWS	silks_velvets	18	0.018
Complete_Sweep_Of	Latest_Advancements	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	64	0.064
Complete_Sweep_Of	Latest_Advancements	WITH_RESPECT	visit_www.ewga.com	18	0.018
Complete_Sweep_Of	Latest_Advancements	puerto	Mark_Abramson_MEDIANEWS	3	0.003
Complete_Sweep_Of	Latest_Advancements	Grupo_Herdez	E_CigaretteDirect_LLC	12	0.012
Complete_Sweep_Of	Latest_Advancements	Grupo_Herdez	visit_www.ewga.com	7	0.007
Complete_Sweep_Of	Latest_Advancements	E_CigaretteDirect_LLC	visit_www.ewga.com	9	0.009
