B_dom	B_cod	A_dom	A_cod	count	probability
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	Grupo_Herdez	SIGNIFICANCE_OF	187	0.187
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	Grupo_Herdez	Mark_Abramson_MEDIANEWS	93	0.093
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	WITH_RESPECT	128	0.128
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	puerto	SIGNIFICANCE_OF	41	0.041
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	Mark_Abramson_MEDIANEWS	Grupo_Herdez	86	0.086
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	Grupo_Herdez	12	0.012
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	puerto	WITH_RESPECT	8	0.008
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	Grupo_Herdez	120	0.12
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	WITH_RESPECT	puerto	3	0.003
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	39	0.039
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	WITH_RESPECT	visit_www.ewga.com	131	0.131
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	31	0.031
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	puerto	28	0.028
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	5	0.005
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	1	0.001
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	silks_velvets	WITH_RESPECT	5	0.005
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	WITH_RESPECT	Grupo_Herdez	8	0.008
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	silks_velvets	Mark_Abramson_MEDIANEWS	2	0.002
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	puerto	visit_www.ewga.com	1	0.001
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	puerto	Grupo_Herdez	2	0.002
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	5	0.005
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	Mark_Abramson_MEDIANEWS	silks_velvets	5	0.005
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	WITH_RESPECT	E_CigaretteDirect_LLC	3	0.003
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	E_CigaretteDirect_LLC	1	0.001
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	Mark_Abramson_MEDIANEWS	WITH_RESPECT	2	0.002
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	silks_velvets	Grupo_Herdez	3	0.003
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	visit_www.ewga.com	9	0.009
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	WITH_RESPECT	silks_velvets	3	0.003
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	Grupo_Herdez	2	0.002
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	SIGNIFICANCE_OF	3	0.003
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	WITH_RESPECT	Mark_Abramson_MEDIANEWS	3	0.003
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	1	0.001
Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	NA	NA	29	0.029
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	Grupo_Herdez	280	0.28
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	visit_www.ewga.com	135	0.135
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	puerto	52	0.052
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	Mark_Abramson_MEDIANEWS	129	0.129
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	E_CigaretteDirect_LLC	51	0.051
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	SIGNIFICANCE_OF	163	0.163
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	WITH_RESPECT	151	0.151
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	silks_velvets	10	0.01
Has_Changed_Forever	Complete_Sweep_Of	NA	NA	29	0.029
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	SIGNIFICANCE_OF	231	0.231
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	Mark_Abramson_MEDIANEWS	139	0.139
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	WITH_RESPECT	143	0.143
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	Grupo_Herdez	233	0.233
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	puerto	31	0.031
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	visit_www.ewga.com	146	0.146
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	E_CigaretteDirect_LLC	40	0.04
