B_dom	B_cod	A_dom	A_cod	count	probability
Complete_Sweep_Of	Preseason_Picks	SIGNIFICANCE_OF	visit_www.ewga.com	62	0.062
Complete_Sweep_Of	Preseason_Picks	WITH_RESPECT	SIGNIFICANCE_OF	10	0.01
Complete_Sweep_Of	Preseason_Picks	WITH_RESPECT	Mark_Abramson_MEDIANEWS	226	0.226
Complete_Sweep_Of	Preseason_Picks	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	8	0.008
Complete_Sweep_Of	Preseason_Picks	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	88	0.088
Complete_Sweep_Of	Preseason_Picks	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	6	0.006
Complete_Sweep_Of	Preseason_Picks	Mark_Abramson_MEDIANEWS	WITH_RESPECT	141	0.141
Complete_Sweep_Of	Preseason_Picks	SIGNIFICANCE_OF	Grupo_Herdez	13	0.013
Complete_Sweep_Of	Preseason_Picks	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	18	0.018
Complete_Sweep_Of	Preseason_Picks	Grupo_Herdez	silks_velvets	4	0.004
Complete_Sweep_Of	Preseason_Picks	SIGNIFICANCE_OF	WITH_RESPECT	10	0.01
Complete_Sweep_Of	Preseason_Picks	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	127	0.127
Complete_Sweep_Of	Preseason_Picks	Grupo_Herdez	SIGNIFICANCE_OF	16	0.016
Complete_Sweep_Of	Preseason_Picks	visit_www.ewga.com	WITH_RESPECT	13	0.013
Complete_Sweep_Of	Preseason_Picks	visit_www.ewga.com	E_CigaretteDirect_LLC	7	0.007
Complete_Sweep_Of	Preseason_Picks	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	22	0.022
Complete_Sweep_Of	Preseason_Picks	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	12	0.012
Complete_Sweep_Of	Preseason_Picks	Grupo_Herdez	WITH_RESPECT	6	0.006
Complete_Sweep_Of	Preseason_Picks	visit_www.ewga.com	SIGNIFICANCE_OF	41	0.041
Complete_Sweep_Of	Preseason_Picks	Grupo_Herdez	Mark_Abramson_MEDIANEWS	12	0.012
Complete_Sweep_Of	Preseason_Picks	WITH_RESPECT	visit_www.ewga.com	23	0.023
Complete_Sweep_Of	Preseason_Picks	puerto	E_CigaretteDirect_LLC	1	0.001
