B_dom	B_cod	A_dom	A_cod	count	probability
Complete_Sweep_Of	visit_www.ewga.com	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	11	0.011
Complete_Sweep_Of	visit_www.ewga.com	WITH_RESPECT	visit_www.ewga.com	91	0.091
Complete_Sweep_Of	visit_www.ewga.com	SIGNIFICANCE_OF	puerto	122	0.122
Complete_Sweep_Of	visit_www.ewga.com	Grupo_Herdez	SIGNIFICANCE_OF	153	0.153
Complete_Sweep_Of	visit_www.ewga.com	visit_www.ewga.com	WITH_RESPECT	28	0.028
Complete_Sweep_Of	visit_www.ewga.com	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	91	0.091
Complete_Sweep_Of	visit_www.ewga.com	WITH_RESPECT	puerto	49	0.049
Complete_Sweep_Of	visit_www.ewga.com	Grupo_Herdez	Mark_Abramson_MEDIANEWS	73	0.073
Complete_Sweep_Of	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	94	0.094
Complete_Sweep_Of	visit_www.ewga.com	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	5	0.005
Complete_Sweep_Of	visit_www.ewga.com	puerto	SIGNIFICANCE_OF	107	0.107
Complete_Sweep_Of	visit_www.ewga.com	silks_velvets	WITH_RESPECT	4	0.004
Complete_Sweep_Of	visit_www.ewga.com	Grupo_Herdez	visit_www.ewga.com	6	0.006
Complete_Sweep_Of	visit_www.ewga.com	puerto	WITH_RESPECT	34	0.034
Complete_Sweep_Of	visit_www.ewga.com	E_CigaretteDirect_LLC	visit_www.ewga.com	13	0.013
Complete_Sweep_Of	visit_www.ewga.com	Grupo_Herdez	WITH_RESPECT	24	0.024
Complete_Sweep_Of	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	6	0.006
Complete_Sweep_Of	visit_www.ewga.com	visit_www.ewga.com	SIGNIFICANCE_OF	10	0.01
Complete_Sweep_Of	visit_www.ewga.com	visit_www.ewga.com	E_CigaretteDirect_LLC	4	0.004
Complete_Sweep_Of	visit_www.ewga.com	visit_www.ewga.com	Grupo_Herdez	1	0.001
Complete_Sweep_Of	visit_www.ewga.com	SIGNIFICANCE_OF	Grupo_Herdez	12	0.012
Complete_Sweep_Of	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	Grupo_Herdez	6	0.006
Complete_Sweep_Of	visit_www.ewga.com	SIGNIFICANCE_OF	visit_www.ewga.com	5	0.005
Complete_Sweep_Of	visit_www.ewga.com	SIGNIFICANCE_OF	silks_velvets	3	0.003
Complete_Sweep_Of	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	silks_velvets	3	0.003
Complete_Sweep_Of	visit_www.ewga.com	puerto	visit_www.ewga.com	3	0.003
Complete_Sweep_Of	visit_www.ewga.com	Grupo_Herdez	E_CigaretteDirect_LLC	9	0.009
Complete_Sweep_Of	visit_www.ewga.com	silks_velvets	SIGNIFICANCE_OF	4	0.004
Complete_Sweep_Of	visit_www.ewga.com	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	4	0.004
Complete_Sweep_Of	visit_www.ewga.com	visit_www.ewga.com	puerto	1	0.001
Complete_Sweep_Of	visit_www.ewga.com	E_CigaretteDirect_LLC	WITH_RESPECT	2	0.002
Complete_Sweep_Of	visit_www.ewga.com	silks_velvets	Mark_Abramson_MEDIANEWS	1	0.001
Complete_Sweep_Of	visit_www.ewga.com	silks_velvets	visit_www.ewga.com	2	0.002
Complete_Sweep_Of	visit_www.ewga.com	puerto	Grupo_Herdez	1	0.001
Complete_Sweep_Of	visit_www.ewga.com	Grupo_Herdez	puerto	1	0.001
Complete_Sweep_Of	visit_www.ewga.com	NA	NA	17	0.017
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	E_CigaretteDirect_LLC	117	0.117
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	WITH_RESPECT	140	0.14
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	SIGNIFICANCE_OF	147	0.147
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	Grupo_Herdez	266	0.266
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	visit_www.ewga.com	48	0.048
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	Mark_Abramson_MEDIANEWS	109	0.109
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	puerto	145	0.145
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	silks_velvets	11	0.011
Has_Changed_Forever	Complete_Sweep_Of	NA	NA	17	0.017
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	SIGNIFICANCE_OF	285	0.285
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	visit_www.ewga.com	126	0.126
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	puerto	173	0.173
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	WITH_RESPECT	92	0.092
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	Mark_Abramson_MEDIANEWS	169	0.169
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	E_CigaretteDirect_LLC	112	0.112
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	Grupo_Herdez	20	0.02
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	silks_velvets	6	0.006
Has_Changed_Forever	visit_www.ewga.com	NA	NA	17	0.017
