B_dom	B_cod	A_dom	A_cod	count	probability
Latest_Advancements	BOB_DROGIN	WITH_RESPECT	E_CigaretteDirect_LLC	35	0.035
Latest_Advancements	BOB_DROGIN	Mark_Abramson_MEDIANEWS	puerto	35	0.035
Latest_Advancements	BOB_DROGIN	Grupo_Herdez	silks_velvets	50	0.05
Latest_Advancements	BOB_DROGIN	silks_velvets	SIGNIFICANCE_OF	89	0.089
Latest_Advancements	BOB_DROGIN	visit_www.ewga.com	WITH_RESPECT	15	0.015
Latest_Advancements	BOB_DROGIN	Grupo_Herdez	Mark_Abramson_MEDIANEWS	1	0.001
Latest_Advancements	BOB_DROGIN	puerto	Mark_Abramson_MEDIANEWS	12	0.012
Latest_Advancements	BOB_DROGIN	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	16	0.016
Latest_Advancements	BOB_DROGIN	WITH_RESPECT	Grupo_Herdez	92	0.092
Latest_Advancements	BOB_DROGIN	WITH_RESPECT	puerto	6	0.006
Latest_Advancements	BOB_DROGIN	SIGNIFICANCE_OF	silks_velvets	46	0.046
Latest_Advancements	BOB_DROGIN	WITH_RESPECT	Mark_Abramson_MEDIANEWS	6	0.006
Latest_Advancements	BOB_DROGIN	puerto	visit_www.ewga.com	37	0.037
Latest_Advancements	BOB_DROGIN	WITH_RESPECT	visit_www.ewga.com	12	0.012
Latest_Advancements	BOB_DROGIN	puerto	Grupo_Herdez	25	0.025
Latest_Advancements	BOB_DROGIN	E_CigaretteDirect_LLC	WITH_RESPECT	30	0.03
Latest_Advancements	BOB_DROGIN	silks_velvets	WITH_RESPECT	27	0.027
Latest_Advancements	BOB_DROGIN	silks_velvets	Grupo_Herdez	77	0.077
Latest_Advancements	BOB_DROGIN	Grupo_Herdez	E_CigaretteDirect_LLC	13	0.013
Latest_Advancements	BOB_DROGIN	visit_www.ewga.com	E_CigaretteDirect_LLC	9	0.009
Latest_Advancements	BOB_DROGIN	Mark_Abramson_MEDIANEWS	silks_velvets	19	0.019
Latest_Advancements	BOB_DROGIN	Grupo_Herdez	WITH_RESPECT	86	0.086
Latest_Advancements	BOB_DROGIN	Grupo_Herdez	puerto	22	0.022
Latest_Advancements	BOB_DROGIN	WITH_RESPECT	SIGNIFICANCE_OF	1	0.001
Latest_Advancements	BOB_DROGIN	Mark_Abramson_MEDIANEWS	Grupo_Herdez	16	0.016
Latest_Advancements	BOB_DROGIN	E_CigaretteDirect_LLC	Grupo_Herdez	13	0.013
Latest_Advancements	BOB_DROGIN	SIGNIFICANCE_OF	puerto	5	0.005
Latest_Advancements	BOB_DROGIN	WITH_RESPECT	silks_velvets	28	0.028
Latest_Advancements	BOB_DROGIN	visit_www.ewga.com	Grupo_Herdez	28	0.028
Latest_Advancements	BOB_DROGIN	visit_www.ewga.com	puerto	33	0.033
Latest_Advancements	BOB_DROGIN	E_CigaretteDirect_LLC	visit_www.ewga.com	7	0.007
Latest_Advancements	BOB_DROGIN	E_CigaretteDirect_LLC	silks_velvets	1	0.001
Latest_Advancements	BOB_DROGIN	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	6	0.006
Latest_Advancements	BOB_DROGIN	puerto	WITH_RESPECT	5	0.005
Latest_Advancements	BOB_DROGIN	Grupo_Herdez	visit_www.ewga.com	12	0.012
Latest_Advancements	BOB_DROGIN	SIGNIFICANCE_OF	Grupo_Herdez	6	0.006
Latest_Advancements	BOB_DROGIN	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	2	0.002
Latest_Advancements	BOB_DROGIN	silks_velvets	Mark_Abramson_MEDIANEWS	2	0.002
Latest_Advancements	BOB_DROGIN	SIGNIFICANCE_OF	visit_www.ewga.com	4	0.004
Latest_Advancements	BOB_DROGIN	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	1	0.001
Latest_Advancements	BOB_DROGIN	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	6	0.006
Latest_Advancements	BOB_DROGIN	visit_www.ewga.com	silks_velvets	2	0.002
Latest_Advancements	BOB_DROGIN	visit_www.ewga.com	SIGNIFICANCE_OF	3	0.003
