B_dom	B_cod	A_dom	A_cod	count	probability
Latest_Advancements	Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	47	0.047
Latest_Advancements	Complete_Sweep_Of	Grupo_Herdez	E_CigaretteDirect_LLC	17	0.017
Latest_Advancements	Complete_Sweep_Of	Grupo_Herdez	Mark_Abramson_MEDIANEWS	51	0.051
Latest_Advancements	Complete_Sweep_Of	silks_velvets	Mark_Abramson_MEDIANEWS	13	0.013
Latest_Advancements	Complete_Sweep_Of	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	26	0.026
Latest_Advancements	Complete_Sweep_Of	Grupo_Herdez	SIGNIFICANCE_OF	97	0.097
Latest_Advancements	Complete_Sweep_Of	silks_velvets	WITH_RESPECT	21	0.021
Latest_Advancements	Complete_Sweep_Of	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	74	0.074
Latest_Advancements	Complete_Sweep_Of	SIGNIFICANCE_OF	Grupo_Herdez	89	0.089
Latest_Advancements	Complete_Sweep_Of	WITH_RESPECT	puerto	72	0.072
Latest_Advancements	Complete_Sweep_Of	puerto	SIGNIFICANCE_OF	19	0.019
Latest_Advancements	Complete_Sweep_Of	E_CigaretteDirect_LLC	WITH_RESPECT	7	0.007
Latest_Advancements	Complete_Sweep_Of	WITH_RESPECT	visit_www.ewga.com	14	0.014
Latest_Advancements	Complete_Sweep_Of	Grupo_Herdez	visit_www.ewga.com	5	0.005
Latest_Advancements	Complete_Sweep_Of	WITH_RESPECT	E_CigaretteDirect_LLC	19	0.019
Latest_Advancements	Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	Grupo_Herdez	64	0.064
Latest_Advancements	Complete_Sweep_Of	WITH_RESPECT	SIGNIFICANCE_OF	3	0.003
Latest_Advancements	Complete_Sweep_Of	puerto	WITH_RESPECT	35	0.035
Latest_Advancements	Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	silks_velvets	7	0.007
Latest_Advancements	Complete_Sweep_Of	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	59	0.059
Latest_Advancements	Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	4	0.004
Latest_Advancements	Complete_Sweep_Of	WITH_RESPECT	Grupo_Herdez	31	0.031
Latest_Advancements	Complete_Sweep_Of	E_CigaretteDirect_LLC	Grupo_Herdez	9	0.009
Latest_Advancements	Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	7	0.007
Latest_Advancements	Complete_Sweep_Of	visit_www.ewga.com	E_CigaretteDirect_LLC	7	0.007
Latest_Advancements	Complete_Sweep_Of	silks_velvets	SIGNIFICANCE_OF	9	0.009
Latest_Advancements	Complete_Sweep_Of	visit_www.ewga.com	Grupo_Herdez	8	0.008
Latest_Advancements	Complete_Sweep_Of	silks_velvets	Grupo_Herdez	5	0.005
Latest_Advancements	Complete_Sweep_Of	visit_www.ewga.com	WITH_RESPECT	8	0.008
Latest_Advancements	Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	puerto	2	0.002
Latest_Advancements	Complete_Sweep_Of	WITH_RESPECT	silks_velvets	9	0.009
Latest_Advancements	Complete_Sweep_Of	silks_velvets	E_CigaretteDirect_LLC	1	0.001
Latest_Advancements	Complete_Sweep_Of	puerto	visit_www.ewga.com	1	0.001
Latest_Advancements	Complete_Sweep_Of	SIGNIFICANCE_OF	puerto	11	0.011
Latest_Advancements	Complete_Sweep_Of	Grupo_Herdez	WITH_RESPECT	18	0.018
Latest_Advancements	Complete_Sweep_Of	puerto	E_CigaretteDirect_LLC	2	0.002
Latest_Advancements	Complete_Sweep_Of	Grupo_Herdez	puerto	3	0.003
