B_dom	B_cod	A_dom	A_cod	count	probability
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	visit_www.ewga.com	237	0.237
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	E_CigaretteDirect_LLC	103	0.103
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	Mark_Abramson_MEDIANEWS	74	0.074
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	Grupo_Herdez	75	0.075
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	puerto	134	0.134
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	WITH_RESPECT	109	0.109
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	silks_velvets	160	0.16
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	SIGNIFICANCE_OF	37	0.037
Has_Changed_Forever	rookie_Alex_Prugh	NA	NA	71	0.071
Has_Changed_Forever	Latest_Advancements	sliced_ham	silks_velvets	222	0.222
Has_Changed_Forever	Latest_Advancements	sliced_ham	puerto	137	0.137
Has_Changed_Forever	Latest_Advancements	sliced_ham	WITH_RESPECT	92	0.092
Has_Changed_Forever	Latest_Advancements	sliced_ham	SIGNIFICANCE_OF	65	0.065
Has_Changed_Forever	Latest_Advancements	sliced_ham	visit_www.ewga.com	98	0.098
Has_Changed_Forever	Latest_Advancements	sliced_ham	Grupo_Herdez	157	0.157
Has_Changed_Forever	Latest_Advancements	sliced_ham	E_CigaretteDirect_LLC	102	0.102
Has_Changed_Forever	Latest_Advancements	sliced_ham	Mark_Abramson_MEDIANEWS	56	0.056
Has_Changed_Forever	Latest_Advancements	NA	NA	71	0.071
Latest_Advancements	rookie_Alex_Prugh	silks_velvets	visit_www.ewga.com	118	0.118
Latest_Advancements	rookie_Alex_Prugh	puerto	E_CigaretteDirect_LLC	36	0.036
Latest_Advancements	rookie_Alex_Prugh	silks_velvets	Mark_Abramson_MEDIANEWS	9	0.009
Latest_Advancements	rookie_Alex_Prugh	WITH_RESPECT	Grupo_Herdez	30	0.03
Latest_Advancements	rookie_Alex_Prugh	WITH_RESPECT	E_CigaretteDirect_LLC	19	0.019
Latest_Advancements	rookie_Alex_Prugh	silks_velvets	puerto	43	0.043
Latest_Advancements	rookie_Alex_Prugh	SIGNIFICANCE_OF	Grupo_Herdez	11	0.011
Latest_Advancements	rookie_Alex_Prugh	puerto	WITH_RESPECT	6	0.006
Latest_Advancements	rookie_Alex_Prugh	visit_www.ewga.com	WITH_RESPECT	13	0.013
Latest_Advancements	rookie_Alex_Prugh	silks_velvets	E_CigaretteDirect_LLC	20	0.02
Latest_Advancements	rookie_Alex_Prugh	visit_www.ewga.com	silks_velvets	35	0.035
Latest_Advancements	rookie_Alex_Prugh	puerto	Mark_Abramson_MEDIANEWS	37	0.037
Latest_Advancements	rookie_Alex_Prugh	silks_velvets	WITH_RESPECT	8	0.008
Latest_Advancements	rookie_Alex_Prugh	Grupo_Herdez	E_CigaretteDirect_LLC	4	0.004
Latest_Advancements	rookie_Alex_Prugh	E_CigaretteDirect_LLC	WITH_RESPECT	20	0.02
Latest_Advancements	rookie_Alex_Prugh	Grupo_Herdez	silks_velvets	33	0.033
Latest_Advancements	rookie_Alex_Prugh	Grupo_Herdez	WITH_RESPECT	53	0.053
Latest_Advancements	rookie_Alex_Prugh	WITH_RESPECT	silks_velvets	9	0.009
Latest_Advancements	rookie_Alex_Prugh	E_CigaretteDirect_LLC	puerto	31	0.031
Latest_Advancements	rookie_Alex_Prugh	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	3	0.003
Latest_Advancements	rookie_Alex_Prugh	visit_www.ewga.com	E_CigaretteDirect_LLC	11	0.011
Latest_Advancements	rookie_Alex_Prugh	Grupo_Herdez	Mark_Abramson_MEDIANEWS	12	0.012
Latest_Advancements	rookie_Alex_Prugh	E_CigaretteDirect_LLC	visit_www.ewga.com	24	0.024
Latest_Advancements	rookie_Alex_Prugh	SIGNIFICANCE_OF	silks_velvets	24	0.024
Latest_Advancements	rookie_Alex_Prugh	Grupo_Herdez	visit_www.ewga.com	35	0.035
Latest_Advancements	rookie_Alex_Prugh	puerto	silks_velvets	41	0.041
Latest_Advancements	rookie_Alex_Prugh	silks_velvets	SIGNIFICANCE_OF	19	0.019
Latest_Advancements	rookie_Alex_Prugh	visit_www.ewga.com	SIGNIFICANCE_OF	5	0.005
Latest_Advancements	rookie_Alex_Prugh	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	8	0.008
Latest_Advancements	rookie_Alex_Prugh	visit_www.ewga.com	puerto	12	0.012
Latest_Advancements	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	Grupo_Herdez	7	0.007
Latest_Advancements	rookie_Alex_Prugh	SIGNIFICANCE_OF	visit_www.ewga.com	15	0.015
Latest_Advancements	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	5	0.005
Latest_Advancements	rookie_Alex_Prugh	visit_www.ewga.com	Grupo_Herdez	15	0.015
Latest_Advancements	rookie_Alex_Prugh	E_CigaretteDirect_LLC	silks_velvets	13	0.013
Latest_Advancements	rookie_Alex_Prugh	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	7	0.007
Latest_Advancements	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	4	0.004
Latest_Advancements	rookie_Alex_Prugh	silks_velvets	Grupo_Herdez	5	0.005
Latest_Advancements	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	puerto	26	0.026
Latest_Advancements	rookie_Alex_Prugh	WITH_RESPECT	visit_www.ewga.com	27	0.027
Latest_Advancements	rookie_Alex_Prugh	Grupo_Herdez	SIGNIFICANCE_OF	5	0.005
Latest_Advancements	rookie_Alex_Prugh	SIGNIFICANCE_OF	puerto	3	0.003
Latest_Advancements	rookie_Alex_Prugh	Grupo_Herdez	puerto	15	0.015
Latest_Advancements	rookie_Alex_Prugh	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	4	0.004
Latest_Advancements	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	WITH_RESPECT	9	0.009
Latest_Advancements	rookie_Alex_Prugh	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	6	0.006
Latest_Advancements	rookie_Alex_Prugh	puerto	visit_www.ewga.com	14	0.014
Latest_Advancements	rookie_Alex_Prugh	WITH_RESPECT	puerto	4	0.004
Latest_Advancements	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	silks_velvets	5	0.005
Latest_Advancements	rookie_Alex_Prugh	puerto	SIGNIFICANCE_OF	1	0.001
Latest_Advancements	rookie_Alex_Prugh	E_CigaretteDirect_LLC	Grupo_Herdez	5	0.005
Latest_Advancements	rookie_Alex_Prugh	puerto	Grupo_Herdez	2	0.002
Latest_Advancements	rookie_Alex_Prugh	WITH_RESPECT	Mark_Abramson_MEDIANEWS	2	0.002
Latest_Advancements	rookie_Alex_Prugh	WITH_RESPECT	SIGNIFICANCE_OF	1	0.001
Latest_Advancements	rookie_Alex_Prugh	NA	NA	71	0.071
