B_dom	B_cod	A_dom	A_cod	count	probability
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	WITH_RESPECT	277	0.277
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	puerto	73	0.073
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	visit_www.ewga.com	180	0.18
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	Mark_Abramson_MEDIANEWS	56	0.056
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	silks_velvets	136	0.136
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	Grupo_Herdez	128	0.128
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	E_CigaretteDirect_LLC	71	0.071
Has_Changed_Forever	visit_www.ewga.com	sliced_ham	SIGNIFICANCE_OF	27	0.027
Has_Changed_Forever	visit_www.ewga.com	NA	NA	52	0.052
Has_Changed_Forever	Latest_Advancements	sliced_ham	silks_velvets	194	0.194
Has_Changed_Forever	Latest_Advancements	sliced_ham	E_CigaretteDirect_LLC	80	0.08
Has_Changed_Forever	Latest_Advancements	sliced_ham	Mark_Abramson_MEDIANEWS	70	0.07
Has_Changed_Forever	Latest_Advancements	sliced_ham	Grupo_Herdez	193	0.193
Has_Changed_Forever	Latest_Advancements	sliced_ham	puerto	59	0.059
Has_Changed_Forever	Latest_Advancements	sliced_ham	SIGNIFICANCE_OF	53	0.053
Has_Changed_Forever	Latest_Advancements	sliced_ham	visit_www.ewga.com	84	0.084
Has_Changed_Forever	Latest_Advancements	sliced_ham	WITH_RESPECT	215	0.215
Has_Changed_Forever	Latest_Advancements	NA	NA	52	0.052
Latest_Advancements	visit_www.ewga.com	silks_velvets	WITH_RESPECT	112	0.112
Latest_Advancements	visit_www.ewga.com	E_CigaretteDirect_LLC	WITH_RESPECT	46	0.046
Latest_Advancements	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	puerto	17	0.017
Latest_Advancements	visit_www.ewga.com	Grupo_Herdez	puerto	26	0.026
Latest_Advancements	visit_www.ewga.com	Grupo_Herdez	visit_www.ewga.com	44	0.044
Latest_Advancements	visit_www.ewga.com	Grupo_Herdez	WITH_RESPECT	107	0.107
Latest_Advancements	visit_www.ewga.com	silks_velvets	Mark_Abramson_MEDIANEWS	56	0.056
Latest_Advancements	visit_www.ewga.com	Grupo_Herdez	silks_velvets	16	0.016
Latest_Advancements	visit_www.ewga.com	puerto	visit_www.ewga.com	41	0.041
Latest_Advancements	visit_www.ewga.com	SIGNIFICANCE_OF	silks_velvets	20	0.02
Latest_Advancements	visit_www.ewga.com	visit_www.ewga.com	Grupo_Herdez	27	0.027
Latest_Advancements	visit_www.ewga.com	visit_www.ewga.com	E_CigaretteDirect_LLC	18	0.018
Latest_Advancements	visit_www.ewga.com	WITH_RESPECT	visit_www.ewga.com	37	0.037
Latest_Advancements	visit_www.ewga.com	WITH_RESPECT	Grupo_Herdez	66	0.066
Latest_Advancements	visit_www.ewga.com	SIGNIFICANCE_OF	visit_www.ewga.com	16	0.016
Latest_Advancements	visit_www.ewga.com	WITH_RESPECT	E_CigaretteDirect_LLC	42	0.042
Latest_Advancements	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	Grupo_Herdez	6	0.006
Latest_Advancements	visit_www.ewga.com	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	7	0.007
Latest_Advancements	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	5	0.005
Latest_Advancements	visit_www.ewga.com	silks_velvets	SIGNIFICANCE_OF	21	0.021
Latest_Advancements	visit_www.ewga.com	WITH_RESPECT	silks_velvets	62	0.062
Latest_Advancements	visit_www.ewga.com	visit_www.ewga.com	SIGNIFICANCE_OF	6	0.006
Latest_Advancements	visit_www.ewga.com	visit_www.ewga.com	WITH_RESPECT	12	0.012
Latest_Advancements	visit_www.ewga.com	silks_velvets	visit_www.ewga.com	3	0.003
Latest_Advancements	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	silks_velvets	38	0.038
Latest_Advancements	visit_www.ewga.com	SIGNIFICANCE_OF	Grupo_Herdez	9	0.009
Latest_Advancements	visit_www.ewga.com	visit_www.ewga.com	puerto	21	0.021
Latest_Advancements	visit_www.ewga.com	SIGNIFICANCE_OF	puerto	1	0.001
Latest_Advancements	visit_www.ewga.com	puerto	Grupo_Herdez	18	0.018
Latest_Advancements	visit_www.ewga.com	E_CigaretteDirect_LLC	visit_www.ewga.com	34	0.034
Latest_Advancements	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	4	0.004
Latest_Advancements	visit_www.ewga.com	WITH_RESPECT	puerto	8	0.008
Latest_Advancements	visit_www.ewga.com	silks_velvets	Grupo_Herdez	2	0.002
Latest_Advancements	visit_www.ewga.com	NA	NA	52	0.052
