B_dom	B_cod	A_dom	A_cod	count	probability
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	Grupo_Herdez	274	0.274
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	puerto	55	0.055
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	visit_www.ewga.com	187	0.187
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	SIGNIFICANCE_OF	179	0.179
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	Mark_Abramson_MEDIANEWS	114	0.114
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	WITH_RESPECT	98	0.098
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	E_CigaretteDirect_LLC	62	0.062
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	silks_velvets	8	0.008
Has_Changed_Forever	Complete_Sweep_Of	NA	NA	23	0.023
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	SIGNIFICANCE_OF	247	0.247
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	WITH_RESPECT	184	0.184
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	Grupo_Herdez	249	0.249
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	Mark_Abramson_MEDIANEWS	144	0.144
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	visit_www.ewga.com	90	0.09
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	puerto	21	0.021
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	silks_velvets	10	0.01
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	E_CigaretteDirect_LLC	32	0.032
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	NA	NA	23	0.023
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	SIGNIFICANCE_OF	Grupo_Herdez	190	0.19
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	SIGNIFICANCE_OF	puerto	50	0.05
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	WITH_RESPECT	visit_www.ewga.com	170	0.17
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	Grupo_Herdez	SIGNIFICANCE_OF	144	0.144
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	Grupo_Herdez	Mark_Abramson_MEDIANEWS	80	0.08
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	Grupo_Herdez	84	0.084
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	Grupo_Herdez	WITH_RESPECT	8	0.008
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	52	0.052
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	visit_www.ewga.com	WITH_RESPECT	79	0.079
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	puerto	SIGNIFICANCE_OF	16	0.016
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	silks_velvets	Mark_Abramson_MEDIANEWS	6	0.006
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	puerto	WITH_RESPECT	5	0.005
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	visit_www.ewga.com	SIGNIFICANCE_OF	9	0.009
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	22	0.022
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	silks_velvets	SIGNIFICANCE_OF	2	0.002
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	Grupo_Herdez	E_CigaretteDirect_LLC	10	0.01
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	Grupo_Herdez	visit_www.ewga.com	6	0.006
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	Grupo_Herdez	silks_velvets	1	0.001
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	WITH_RESPECT	silks_velvets	6	0.006
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	E_CigaretteDirect_LLC	visit_www.ewga.com	1	0.001
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	SIGNIFICANCE_OF	visit_www.ewga.com	6	0.006
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	2	0.002
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	WITH_RESPECT	puerto	5	0.005
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	WITH_RESPECT	3	0.003
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	WITH_RESPECT	Mark_Abramson_MEDIANEWS	3	0.003
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	8	0.008
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	silks_velvets	WITH_RESPECT	2	0.002
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	4	0.004
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	1	0.001
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	silks_velvets	1	0.001
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	E_CigaretteDirect_LLC	WITH_RESPECT	1	0.001
Mark_Abramson_MEDIANEWS	Complete_Sweep_Of	NA	NA	23	0.023
