B_dom	B_cod	A_dom	A_cod	count	probability
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	WITH_RESPECT	puerto	66	0.066
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	silks_velvets	WITH_RESPECT	10	0.01
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	Grupo_Herdez	SIGNIFICANCE_OF	155	0.155
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	38	0.038
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	puerto	SIGNIFICANCE_OF	22	0.022
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	Grupo_Herdez	Mark_Abramson_MEDIANEWS	97	0.097
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	103	0.103
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	Grupo_Herdez	E_CigaretteDirect_LLC	24	0.024
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	Grupo_Herdez	visit_www.ewga.com	29	0.029
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	WITH_RESPECT	silks_velvets	15	0.015
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	Grupo_Herdez	19	0.019
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	SIGNIFICANCE_OF	visit_www.ewga.com	5	0.005
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	E_CigaretteDirect_LLC	visit_www.ewga.com	14	0.014
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	58	0.058
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	puerto	WITH_RESPECT	61	0.061
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	silks_velvets	Mark_Abramson_MEDIANEWS	10	0.01
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	visit_www.ewga.com	WITH_RESPECT	7	0.007
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	WITH_RESPECT	visit_www.ewga.com	32	0.032
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	27	0.027
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	SIGNIFICANCE_OF	Grupo_Herdez	54	0.054
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	Grupo_Herdez	WITH_RESPECT	42	0.042
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	Grupo_Herdez	puerto	12	0.012
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	E_CigaretteDirect_LLC	WITH_RESPECT	5	0.005
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	puerto	visit_www.ewga.com	3	0.003
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	WITH_RESPECT	Mark_Abramson_MEDIANEWS	3	0.003
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	SIGNIFICANCE_OF	puerto	12	0.012
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	Grupo_Herdez	silks_velvets	10	0.01
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	1	0.001
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	2	0.002
Mark_Abramson_MEDIANEWS	rookie_Alex_Prugh	visit_www.ewga.com	SIGNIFICANCE_OF	3	0.003
