B_dom	B_cod	A_dom	A_cod	count	probability
Preseason_Picks	Latest_Advancements	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	59	0.059
Preseason_Picks	Latest_Advancements	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	51	0.051
Preseason_Picks	Latest_Advancements	WITH_RESPECT	Grupo_Herdez	34	0.034
Preseason_Picks	Latest_Advancements	WITH_RESPECT	puerto	78	0.078
Preseason_Picks	Latest_Advancements	SIGNIFICANCE_OF	Grupo_Herdez	79	0.079
Preseason_Picks	Latest_Advancements	visit_www.ewga.com	E_CigaretteDirect_LLC	6	0.006
Preseason_Picks	Latest_Advancements	SIGNIFICANCE_OF	puerto	22	0.022
Preseason_Picks	Latest_Advancements	puerto	WITH_RESPECT	56	0.056
Preseason_Picks	Latest_Advancements	Grupo_Herdez	SIGNIFICANCE_OF	85	0.085
Preseason_Picks	Latest_Advancements	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	4	0.004
Preseason_Picks	Latest_Advancements	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	3	0.003
Preseason_Picks	Latest_Advancements	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	29	0.029
Preseason_Picks	Latest_Advancements	silks_velvets	WITH_RESPECT	16	0.016
Preseason_Picks	Latest_Advancements	Grupo_Herdez	E_CigaretteDirect_LLC	3	0.003
Preseason_Picks	Latest_Advancements	WITH_RESPECT	E_CigaretteDirect_LLC	15	0.015
Preseason_Picks	Latest_Advancements	Grupo_Herdez	puerto	1	0.001
Preseason_Picks	Latest_Advancements	E_CigaretteDirect_LLC	visit_www.ewga.com	18	0.018
Preseason_Picks	Latest_Advancements	Mark_Abramson_MEDIANEWS	Grupo_Herdez	66	0.066
Preseason_Picks	Latest_Advancements	WITH_RESPECT	silks_velvets	25	0.025
Preseason_Picks	Latest_Advancements	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	41	0.041
Preseason_Picks	Latest_Advancements	E_CigaretteDirect_LLC	Grupo_Herdez	23	0.023
Preseason_Picks	Latest_Advancements	visit_www.ewga.com	Grupo_Herdez	13	0.013
Preseason_Picks	Latest_Advancements	E_CigaretteDirect_LLC	WITH_RESPECT	28	0.028
Preseason_Picks	Latest_Advancements	Grupo_Herdez	Mark_Abramson_MEDIANEWS	38	0.038
Preseason_Picks	Latest_Advancements	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	11	0.011
Preseason_Picks	Latest_Advancements	Grupo_Herdez	WITH_RESPECT	9	0.009
Preseason_Picks	Latest_Advancements	puerto	SIGNIFICANCE_OF	7	0.007
Preseason_Picks	Latest_Advancements	silks_velvets	Mark_Abramson_MEDIANEWS	4	0.004
Preseason_Picks	Latest_Advancements	puerto	Grupo_Herdez	9	0.009
Preseason_Picks	Latest_Advancements	SIGNIFICANCE_OF	visit_www.ewga.com	4	0.004
Preseason_Picks	Latest_Advancements	WITH_RESPECT	visit_www.ewga.com	12	0.012
Preseason_Picks	Latest_Advancements	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	6	0.006
Preseason_Picks	Latest_Advancements	visit_www.ewga.com	WITH_RESPECT	21	0.021
Preseason_Picks	Latest_Advancements	visit_www.ewga.com	SIGNIFICANCE_OF	7	0.007
Preseason_Picks	Latest_Advancements	WITH_RESPECT	Mark_Abramson_MEDIANEWS	4	0.004
Preseason_Picks	Latest_Advancements	silks_velvets	Grupo_Herdez	2	0.002
Preseason_Picks	Latest_Advancements	puerto	visit_www.ewga.com	3	0.003
Preseason_Picks	Latest_Advancements	visit_www.ewga.com	puerto	6	0.006
Preseason_Picks	Latest_Advancements	Mark_Abramson_MEDIANEWS	silks_velvets	14	0.014
Preseason_Picks	Latest_Advancements	SIGNIFICANCE_OF	silks_velvets	4	0.004
Preseason_Picks	Latest_Advancements	WITH_RESPECT	SIGNIFICANCE_OF	3	0.003
Preseason_Picks	Latest_Advancements	puerto	Mark_Abramson_MEDIANEWS	3	0.003
Preseason_Picks	Latest_Advancements	visit_www.ewga.com	silks_velvets	3	0.003
Preseason_Picks	Latest_Advancements	silks_velvets	SIGNIFICANCE_OF	5	0.005
Preseason_Picks	Latest_Advancements	Grupo_Herdez	visit_www.ewga.com	3	0.003
Preseason_Picks	Latest_Advancements	Mark_Abramson_MEDIANEWS	WITH_RESPECT	3	0.003
Preseason_Picks	Latest_Advancements	NA	NA	64	0.064
Has_Changed_Forever	Preseason_Picks	sliced_ham	E_CigaretteDirect_LLC	157	0.157
Has_Changed_Forever	Preseason_Picks	sliced_ham	SIGNIFICANCE_OF	164	0.164
Has_Changed_Forever	Preseason_Picks	sliced_ham	WITH_RESPECT	171	0.171
Has_Changed_Forever	Preseason_Picks	sliced_ham	visit_www.ewga.com	67	0.067
Has_Changed_Forever	Preseason_Picks	sliced_ham	puerto	78	0.078
Has_Changed_Forever	Preseason_Picks	sliced_ham	Grupo_Herdez	139	0.139
Has_Changed_Forever	Preseason_Picks	sliced_ham	Mark_Abramson_MEDIANEWS	133	0.133
Has_Changed_Forever	Preseason_Picks	sliced_ham	silks_velvets	27	0.027
Has_Changed_Forever	Preseason_Picks	NA	NA	64	0.064
Has_Changed_Forever	Latest_Advancements	sliced_ham	SIGNIFICANCE_OF	172	0.172
Has_Changed_Forever	Latest_Advancements	sliced_ham	E_CigaretteDirect_LLC	116	0.116
Has_Changed_Forever	Latest_Advancements	sliced_ham	Grupo_Herdez	226	0.226
Has_Changed_Forever	Latest_Advancements	sliced_ham	puerto	107	0.107
Has_Changed_Forever	Latest_Advancements	sliced_ham	WITH_RESPECT	133	0.133
Has_Changed_Forever	Latest_Advancements	sliced_ham	Mark_Abramson_MEDIANEWS	93	0.093
Has_Changed_Forever	Latest_Advancements	sliced_ham	visit_www.ewga.com	43	0.043
Has_Changed_Forever	Latest_Advancements	sliced_ham	silks_velvets	46	0.046
Has_Changed_Forever	Latest_Advancements	NA	NA	64	0.064
